Name,Date,Last Observation (%),Last Observation (ML)
Atkinson,4/3/17,5.4,1655.39
Atkinson,5/3/17,5.4,1655.39
Atkinson,6/3/17,5.4,1655.39
Atkinson,7/3/17,5.4,1655.39
Atkinson,8/3/17,5.4,1655.39
Atkinson,9/3/17,5.4,1655.39
Atkinson,10/3/17,5.4,1655.39
Atkinson,11/3/17,5.4,1655.39
Atkinson,12/3/17,5.4,1655.39
Atkinson,13/3/17,5.4,1655.39
Atkinson,14/3/17,5.4,1655.39
Atkinson,15/3/17,5.4,1655.39
Atkinson,16/3/17,5.4,1655.39
Atkinson,17/3/17,5.4,1655.39
Atkinson,18/3/17,5.4,1655.39
Atkinson,19/3/17,5.4,1655.39
Atkinson,20/3/17,5.4,1655.39
Atkinson,21/3/17,5.4,1655.39
Atkinson,22/3/17,5.4,1655.39
Atkinson,23/3/17,5.4,1655.39
Atkinson,24/3/17,5.4,1655.39
Atkinson,25/3/17,5.4,1655.39
Atkinson,26/3/17,5.4,1655.39
Atkinson,27/3/17,5.4,1655.39
Atkinson,28/3/17,5.4,1655.39
Atkinson,29/3/17,5.4,1655.39
Atkinson,30/3/17,5.4,1655.39
Atkinson,31/3/17,8.4,2563.41
Atkinson,1/4/17,9.1,2753.35
Atkinson,2/4/17,9.2,2804.48
Atkinson,3/4/17,9.3,2833.07
Atkinson,4/4/17,9.4,2852.18
Atkinson,5/4/17,9.4,2856.01
Atkinson,6/4/17,9.4,2861.76
Atkinson,7/4/17,9.4,2861.76
Atkinson,8/4/17,9.4,2856.01
Atkinson,9/4/17,9.4,2861.76
Atkinson,10/4/17,9.4,2852.18
Atkinson,11/4/17,9.2,2798.78
Atkinson,12/4/17,9.1,2760.89
Atkinson,13/4/17,9,2734.54
Atkinson,14/4/17,8.8,2682.26
Atkinson,15/4/17,8.6,2627
Atkinson,16/4/17,8.5,2586.94
Atkinson,17/4/17,8.4,2550.78
Atkinson,18/4/17,8.3,2509.46
Atkinson,19/4/17,8.1,2461.24
Atkinson,20/4/17,7.9,2411.47
Atkinson,21/4/17,7.8,2379.58
Atkinson,22/4/17,7.7,2354.87
Atkinson,23/4/17,7.7,2326.75
Atkinson,24/4/17,7.6,2302.27
Atkinson,25/4/17,7.5,2288.34
Atkinson,26/4/17,7.5,2274.46
Atkinson,27/4/17,7.4,2250.3
Atkinson,28/4/17,7.3,2216.03
Atkinson,29/4/17,7.2,2193.89
Atkinson,30/4/17,7.1,2168.45
Atkinson,1/5/17,7.1,2151.54
Atkinson,2/5/17,7,2131.3
Atkinson,3/5/17,6.9,2104.36
Atkinson,4/5/17,6.9,2092.6
Atkinson,5/5/17,6.8,2080.84
Atkinson,6/5/17,6.8,2067.42
Atkinson,7/5/17,6.8,2059.05
Atkinson,8/5/17,6.7,2050.69
Atkinson,9/5/17,6.8,2054.03
Atkinson,10/5/17,6.7,2050.69
Atkinson,11/5/17,6.7,2037.33
Atkinson,12/5/17,6.6,2020.67
Atkinson,13/5/17,6.6,2020.67
Atkinson,14/5/17,6.6,2014.02
Atkinson,15/5/17,6.6,2000.75
Atkinson,16/5/17,6.5,1987.51
Atkinson,17/5/17,6.5,1971.02
Atkinson,18/5/17,6.4,1959.52
Atkinson,19/5/17,6.5,1967.73
Atkinson,20/5/17,6.5,1967.73
Atkinson,21/5/17,6.5,1964.45
Atkinson,22/5/17,6.4,1954.6
Atkinson,23/5/17,6.4,1948.06
Atkinson,24/5/17,6.4,1938.26
Atkinson,25/5/17,6.4,1935
Atkinson,26/5/17,6.4,1931.74
Atkinson,27/5/17,6.3,1926.87
Atkinson,28/5/17,6.3,1926.87
Atkinson,29/5/17,6.3,1922
Atkinson,30/5/17,6.3,1918.76
Atkinson,31/5/17,6.3,1915.52
Atkinson,1/6/17,6.2,1899.4
Atkinson,2/6/17,6.3,1902.62
Atkinson,3/6/17,6.2,1894.58
Atkinson,4/6/17,6.2,1894.58
Atkinson,5/6/17,6.2,1889.76
Atkinson,6/6/17,6.2,1886.56
Atkinson,7/6/17,6.2,1883.36
Atkinson,8/6/17,6.2,1878.56
Atkinson,9/6/17,6.2,1870.58
Atkinson,10/6/17,6.1,1867.4
Atkinson,11/6/17,6.2,1883.36
Atkinson,12/6/17,6.2,1878.56
Atkinson,13/6/17,6.3,1905.84
Atkinson,14/6/17,6.3,1902.62
Atkinson,15/6/17,6.2,1899.4
Atkinson,16/6/17,6.3,1902.62
Atkinson,17/6/17,6.3,1915.52
Atkinson,18/6/17,6.3,1915.52
Atkinson,19/6/17,6.3,1905.84
Atkinson,20/6/17,6.3,1902.62
Atkinson,21/6/17,6.3,1902.62
Atkinson,22/6/17,6.3,1902.62
Atkinson,23/6/17,6.2,1899.4
Atkinson,24/6/17,6.2,1894.58
Atkinson,25/6/17,6.2,1889.76
Atkinson,26/6/17,6.2,1889.76
Atkinson,27/6/17,6.2,1886.56
Atkinson,28/6/17,6.2,1886.56
Atkinson,29/6/17,6.2,1886.56
Atkinson,30/6/17,6.2,1886.56
Atkinson,1/7/17,6.2,1883.36
Atkinson,2/7/17,6.2,1878.56
Atkinson,3/7/17,6.2,1873.77
Atkinson,4/7/17,6.2,1873.77
Atkinson,5/7/17,6.2,1873.77
Atkinson,6/7/17,6.2,1873.77
Atkinson,7/7/17,6.3,1905.84
Atkinson,8/7/17,6.2,1894.58
Atkinson,9/7/17,6.2,1889.76
Atkinson,10/7/17,6.2,1886.56
Atkinson,11/7/17,6.2,1886.56
Atkinson,12/7/17,6.2,1883.36
Atkinson,13/7/17,6.2,1878.56
Atkinson,14/7/17,6.2,1878.56
Atkinson,15/7/17,6.2,1883.36
Atkinson,16/7/17,6.2,1894.58
Atkinson,17/7/17,6.2,1889.76
Atkinson,18/7/17,6.2,1889.76
Atkinson,19/7/17,6.2,1886.56
Atkinson,20/7/17,6.2,1873.77
Atkinson,21/7/17,6.1,1867.4
Atkinson,22/7/17,6.1,1862.62
Atkinson,23/7/17,6.1,1857.85
Atkinson,24/7/17,6.1,1857.85
Atkinson,25/7/17,6.1,1851.5
Atkinson,26/7/17,6.1,1846.75
Atkinson,27/7/17,6.1,1842
Atkinson,28/7/17,6.1,1842
Atkinson,29/7/17,6,1838.84
Atkinson,30/7/17,6,1835.68
Atkinson,31/7/17,6,1830.94
Atkinson,1/8/17,6,1826.21
Atkinson,2/8/17,6,1823.06
Atkinson,3/8/17,6,1819.91
Atkinson,4/8/17,6,1819.91
Atkinson,5/8/17,6,1810.47
Atkinson,6/8/17,5.9,1807.33
Atkinson,7/8/17,5.9,1807.33
Atkinson,8/8/17,5.9,1794.78
Atkinson,9/8/17,5.9,1791.65
Atkinson,10/8/17,5.9,1783.82
Atkinson,11/8/17,5.9,1783.82
Atkinson,12/8/17,5.8,1776
Atkinson,13/8/17,5.8,1776
Atkinson,14/8/17,5.8,1772.87
Atkinson,15/8/17,5.8,1768.19
Atkinson,16/8/17,5.8,1768.19
Atkinson,17/8/17,5.8,1763.51
Atkinson,18/8/17,5.8,1749.2
Atkinson,19/8/17,5.7,1741.7
Atkinson,20/8/17,5.7,1721.52
Atkinson,21/8/17,5.6,1716.87
Atkinson,22/8/17,5.6,1716.87
Atkinson,23/8/17,5.6,1716.87
Atkinson,24/8/17,5.6,1716.87
Atkinson,25/8/17,5.6,1710.69
Atkinson,26/8/17,5.6,1710.69
Atkinson,27/8/17,5.6,1706.05
Atkinson,28/8/17,5.6,1698.34
Atkinson,29/8/17,5.6,1690.63
Atkinson,30/8/17,5.5,1686.02
Atkinson,31/8/17,5.5,1675.27
Atkinson,1/9/17,5.5,1670.68
Atkinson,2/9/17,5.5,1670.68
Atkinson,3/9/17,5.5,1667.61
Atkinson,4/9/17,5.5,1667.61
Atkinson,5/9/17,5.4,1655.39
Atkinson,6/9/17,5.4,1644.73
Atkinson,7/9/17,5.4,1644.73
Atkinson,8/9/17,5.4,1644.73
Atkinson,9/9/17,5.4,1644.73
Atkinson,10/9/17,5.4,1644.73
Atkinson,11/9/17,5.4,1644.73
Atkinson,12/9/17,5.4,1644.73
Atkinson,13/9/17,5.4,1644.73
Atkinson,14/9/17,5.4,1644.73
Atkinson,15/9/17,5.4,1644.73
Atkinson,16/9/17,5.4,1644.73
Atkinson,17/9/17,5.4,1644.73
Atkinson,18/9/17,5.4,1644.73
