Name,Date,Last Observation (%),Last Observation (ML)
"Cooloolabin","04-03-2017","51.7","4230.63"
"Cooloolabin","05-03-2017","51.4","4209.72"
"Cooloolabin","06-03-2017","51.4","4207.6"
"Cooloolabin","07-03-2017","51.2","4189.56"
"Cooloolabin","08-03-2017","50.9","4166.68"
"Cooloolabin","09-03-2017","50.7","4147.14"
"Cooloolabin","10-03-2017","50.4","4126.04"
"Cooloolabin","11-03-2017","50.1","4101.37"
"Cooloolabin","12-03-2017","50.1","4096.1"
"Cooloolabin","13-03-2017","49.9","4080.71"
"Cooloolabin","14-03-2017","52.7","4315.16"
"Cooloolabin","15-03-2017","53.5","4380.28"
"Cooloolabin","16-03-2017","54.7","4479.26"
"Cooloolabin","17-03-2017","55.5","4539.72"
"Cooloolabin","18-03-2017","56","4579.99"
"Cooloolabin","19-03-2017","56","4585.02"
"Cooloolabin","20-03-2017","57.2","4683.71"
"Cooloolabin","21-03-2017","57.7","4720.41"
"Cooloolabin","22-03-2017","59.6","4875.26"
"Cooloolabin","23-03-2017","60","4910.18"
"Cooloolabin","24-03-2017","60.4","4940.12"
"Cooloolabin","25-03-2017","60.7","4970.06"
"Cooloolabin","26-03-2017","60.8","4976.72"
"Cooloolabin","27-03-2017","60.8","4975.05"
"Cooloolabin","28-03-2017","60.7","4970.06"
"Cooloolabin","29-03-2017","61.1","5003.34"
"Cooloolabin","30-03-2017","76.3","6243.34"
"Cooloolabin","31-03-2017","77.3","6328.34"
"Cooloolabin","01-04-2017","77.5","6340.01"
"Cooloolabin","02-04-2017","77.4","6335.01"
"Cooloolabin","03-04-2017","77.4","6330.01"
"Cooloolabin","04-04-2017","77.2","6320.01"
"Cooloolabin","05-04-2017","77.2","6316.67"
"Cooloolabin","06-04-2017","77.2","6316.67"
"Cooloolabin","07-04-2017","77.1","6306.67"
"Cooloolabin","08-04-2017","77","6300.01"
"Cooloolabin","09-04-2017","77","6298.34"
"Cooloolabin","10-04-2017","76.9","6290.01"
"Cooloolabin","11-04-2017","76.7","6280.01"
"Cooloolabin","12-04-2017","76.5","6260.01"
"Cooloolabin","13-04-2017","76.2","6238.34"
"Cooloolabin","14-04-2017","76","6216.67"
"Cooloolabin","15-04-2017","75.7","6191.67"
"Cooloolabin","16-04-2017","75.4","6166.67"
"Cooloolabin","17-04-2017","75.1","6143.33"
"Cooloolabin","18-04-2017","74.7","6115"
"Cooloolabin","19-04-2017","74.5","6095"
"Cooloolabin","20-04-2017","74.5","6095"
"Cooloolabin","21-04-2017","74.4","6090"
"Cooloolabin","22-04-2017","74.2","6073.33"
"Cooloolabin","23-04-2017","74","6053.33"
"Cooloolabin","24-04-2017","73.7","6031.67"
"Cooloolabin","25-04-2017","73.5","6018.33"
"Cooloolabin","26-04-2017","73.2","5988.33"
"Cooloolabin","27-04-2017","73","5974.38"
"Cooloolabin","28-04-2017","72.9","5961.67"
"Cooloolabin","29-04-2017","72.6","5938.33"
"Cooloolabin","30-04-2017","72.4","5923.33"
"Cooloolabin","01-05-2017","72.2","5906.67"
"Cooloolabin","02-05-2017","72","5890"
"Cooloolabin","03-05-2017","71.8","5871.67"
"Cooloolabin","04-05-2017","71.4","5841.67"
"Cooloolabin","05-05-2017","71.1","5820.01"
