Name,Date,Last Observation (%),Last Observation (ML)
Atkinson,4/03/17,5.4,1655.39
Atkinson,5/03/17,5.4,1655.39
Atkinson,6/03/17,5.4,1655.39
Atkinson,7/03/17,5.4,1655.39
Atkinson,8/03/17,5.4,1655.39
Atkinson,9/03/17,5.4,1655.39
Atkinson,10/03/17,5.4,1655.39
Atkinson,11/03/17,5.4,1655.39
Atkinson,12/03/17,5.4,1655.39
Atkinson,13/03/17,5.4,1655.39
Atkinson,14/03/17,5.4,1655.39
Atkinson,15/03/17,5.4,1655.39
Atkinson,16/03/17,5.4,1655.39
Atkinson,17/03/17,5.4,1655.39
Atkinson,18/03/17,5.4,1655.39
Atkinson,19/03/17,5.4,1655.39
Atkinson,20/03/17,5.4,1655.39
Atkinson,21/03/17,5.4,1655.39
Atkinson,22/03/17,5.4,1655.39
Atkinson,23/03/17,5.4,1655.39
Atkinson,24/03/17,5.4,1655.39
Atkinson,25/03/17,5.4,1655.39
Atkinson,26/03/17,5.4,1655.39
Atkinson,27/03/17,5.4,1655.39
Atkinson,28/03/17,5.4,1655.39
Atkinson,29/03/17,5.4,1655.39
Atkinson,30/03/17,5.4,1655.39
Atkinson,31/03/17,8.4,2563.41
Atkinson,1/04/17,9.1,2753.35
Atkinson,2/04/17,9.2,2804.48
Atkinson,3/04/17,9.3,2833.07
Atkinson,4/04/17,9.4,2852.18
Atkinson,5/04/17,9.4,2856.01
Atkinson,6/04/17,9.4,2861.76
Atkinson,7/04/17,9.4,2861.76
Atkinson,8/04/17,9.4,2856.01
Atkinson,9/04/17,9.4,2861.76
Atkinson,10/04/17,9.4,2852.18
Atkinson,11/04/17,9.2,2798.78
Atkinson,12/04/17,9.1,2760.89
Atkinson,13/04/17,9,2734.54
Atkinson,14/04/17,8.8,2682.26
Atkinson,15/04/17,8.6,2627
Atkinson,16/04/17,8.5,2586.94
Atkinson,17/04/17,8.4,2550.78
Atkinson,18/04/17,8.3,2509.46
Atkinson,19/04/17,8.1,2461.24
Atkinson,20/04/17,7.9,2411.47
Atkinson,21/04/17,7.8,2379.58
Atkinson,22/04/17,7.7,2354.87
Atkinson,23/04/17,7.7,2326.75
Atkinson,24/04/17,7.6,2302.27
Atkinson,25/04/17,7.5,2288.34
Atkinson,26/04/17,7.5,2274.46
Atkinson,27/04/17,7.4,2250.3
Atkinson,28/04/17,7.3,2216.03
Atkinson,29/04/17,7.2,2193.89
Atkinson,30/04/17,7.1,2168.45
Atkinson,1/05/17,7.1,2151.54
Atkinson,2/05/17,7,2131.3
Atkinson,3/05/17,6.9,2104.36
Atkinson,4/05/17,6.9,2092.6
Atkinson,5/05/17,6.8,2080.84
Atkinson,6/05/17,6.8,2067.42
Atkinson,7/05/17,6.8,2059.05
Atkinson,8/05/17,6.7,2050.69
Atkinson,9/05/17,6.8,2054.03
Atkinson,10/05/17,6.7,2050.69
Atkinson,11/05/17,6.7,2037.33
Atkinson,12/05/17,6.6,2020.67
Atkinson,13/05/17,6.6,2020.67
Atkinson,14/05/17,6.6,2014.02
Atkinson,15/05/17,6.6,2000.75
Atkinson,16/05/17,6.5,1987.51
Atkinson,17/05/17,6.5,1971.02
Atkinson,18/05/17,6.4,1959.52
Atkinson,19/05/17,6.5,1967.73
Atkinson,20/05/17,6.5,1967.73
Atkinson,21/05/17,6.5,1964.45
Atkinson,22/05/17,6.4,1954.6
Atkinson,23/05/17,6.4,1948.06
Atkinson,24/05/17,6.4,1938.26
Atkinson,25/05/17,6.4,1935
Atkinson,26/05/17,6.4,1931.74
Atkinson,27/05/17,6.3,1926.87
Atkinson,28/05/17,6.3,1926.87
Atkinson,29/05/17,6.3,1922
Atkinson,30/05/17,6.3,1918.76
Atkinson,31/05/17,6.3,1915.52
Atkinson,1/06/17,6.2,1899.4
Atkinson,2/06/17,6.3,1902.62
Atkinson,3/06/17,6.2,1894.58
Atkinson,4/06/17,6.2,1894.58
Atkinson,5/06/17,6.2,1889.76
Atkinson,6/06/17,6.2,1886.56
Atkinson,7/06/17,6.2,1883.36
Atkinson,8/06/17,6.2,1878.56
Atkinson,9/06/17,6.2,1870.58
Atkinson,10/06/17,6.1,1867.4
Atkinson,11/06/17,6.2,1883.36
Atkinson,12/06/17,6.2,1878.56
Atkinson,13/06/17,6.3,1905.84
Atkinson,14/06/17,6.3,1902.62
Atkinson,15/06/17,6.2,1899.4
Atkinson,16/06/17,6.3,1902.62
Atkinson,17/06/17,6.3,1915.52
Atkinson,18/06/17,6.3,1915.52
Atkinson,19/06/17,6.3,1905.84
Atkinson,20/06/17,6.3,1902.62
Atkinson,21/06/17,6.3,1902.62
Atkinson,22/06/17,6.3,1902.62
Atkinson,23/06/17,6.2,1899.4
Atkinson,24/06/17,6.2,1894.58
Atkinson,25/06/17,6.2,1889.76
Atkinson,26/06/17,6.2,1889.76
Atkinson,27/06/17,6.2,1886.56
Atkinson,28/06/17,6.2,1886.56
Atkinson,29/06/17,6.2,1886.56
Atkinson,30/06/17,6.2,1886.56
Atkinson,1/07/17,6.2,1883.36
Atkinson,2/07/17,6.2,1878.56
Atkinson,3/07/17,6.2,1873.77
Atkinson,4/07/17,6.2,1873.77
Atkinson,5/07/17,6.2,1873.77
Atkinson,6/07/17,6.2,1873.77
Atkinson,7/07/17,6.3,1905.84
Atkinson,8/07/17,6.2,1894.58
Atkinson,9/07/17,6.2,1889.76
Atkinson,10/07/17,6.2,1886.56
Atkinson,11/07/17,6.2,1886.56
Atkinson,12/07/17,6.2,1883.36
Atkinson,13/07/17,6.2,1878.56
Atkinson,14/07/17,6.2,1878.56
Atkinson,15/07/17,6.2,1883.36
Atkinson,16/07/17,6.2,1894.58
Atkinson,17/07/17,6.2,1889.76
Atkinson,18/07/17,6.2,1889.76
Atkinson,19/07/17,6.2,1886.56
Atkinson,20/07/17,6.2,1873.77
Atkinson,21/07/17,6.1,1867.4
Atkinson,22/07/17,6.1,1862.62
Atkinson,23/07/17,6.1,1857.85
Atkinson,24/07/17,6.1,1857.85
Atkinson,25/07/17,6.1,1851.5
Atkinson,26/07/17,6.1,1846.75
Atkinson,27/07/17,6.1,1842
Atkinson,28/07/17,6.1,1842
Atkinson,29/07/17,6,1838.84
Atkinson,30/07/17,6,1835.68
Atkinson,31/07/17,6,1830.94
Atkinson,1/08/17,6,1826.21
Atkinson,2/08/17,6,1823.06
Atkinson,3/08/17,6,1819.91
Atkinson,4/08/17,6,1819.91
Atkinson,5/08/17,6,1810.47
Atkinson,6/08/17,5.9,1807.33
Atkinson,7/08/17,5.9,1807.33
Atkinson,8/08/17,5.9,1794.78
Atkinson,9/08/17,5.9,1791.65
Atkinson,10/08/17,5.9,1783.82
Atkinson,11/08/17,5.9,1783.82
Atkinson,12/08/17,5.8,1776
Atkinson,13/08/17,5.8,1776
Atkinson,14/08/17,5.8,1772.87
Atkinson,15/08/17,5.8,1768.19
Atkinson,16/08/17,5.8,1768.19
Atkinson,17/08/17,5.8,1763.51
Atkinson,18/08/17,5.8,1749.2
Atkinson,19/08/17,5.7,1741.7
Atkinson,20/08/17,5.7,1721.52
Atkinson,21/08/17,5.6,1716.87
Atkinson,22/08/17,5.6,1716.87
Atkinson,23/08/17,5.6,1716.87
Atkinson,24/08/17,5.6,1716.87
Atkinson,25/08/17,5.6,1710.69
Atkinson,26/08/17,5.6,1710.69
Atkinson,27/08/17,5.6,1706.05
Atkinson,28/08/17,5.6,1698.34
Atkinson,29/08/17,5.6,1690.63
Atkinson,30/08/17,5.5,1686.02
Atkinson,31/08/17,5.5,1675.27
Atkinson,1/09/17,5.5,1670.68
Atkinson,2/09/17,5.5,1670.68
Atkinson,3/09/17,5.5,1667.61
Atkinson,4/09/17,5.5,1667.61
Atkinson,5/09/17,5.4,1655.39
Atkinson,6/09/17,5.4,1644.73
Atkinson,7/09/17,5.4,1644.73
Atkinson,8/09/17,5.4,1644.73
Atkinson,9/09/17,5.4,1644.73
Atkinson,10/09/17,5.4,1644.73
Atkinson,11/09/17,5.4,1644.73
Atkinson,12/09/17,5.4,1644.73
Atkinson,13/09/17,5.4,1644.73
Atkinson,14/09/17,5.4,1644.73
Atkinson,15/09/17,5.4,1644.73
Atkinson,16/09/17,5.4,1644.73
Atkinson,17/09/17,5.4,1644.73
Atkinson,18/09/17,5.4,1644.73
Atkinson,19/09/17,5.4,1644.73
Atkinson,20/09/17,5.4,1644.73
Atkinson,21/09/17,5.4,1644.73
Atkinson,22/09/17,5.4,1644.73
Atkinson,23/09/17,5.4,1644.73
Atkinson,24/09/17,5.4,1644.73
Atkinson,25/09/17,5.4,1644.73
Atkinson,26/09/17,5.4,1644.73
Atkinson,27/09/17,5.4,1644.73
Atkinson,28/09/17,5.4,1644.73
Atkinson,29/09/17,5.4,1644.73
Atkinson,30/09/17,5.4,1644.73
Atkinson,1/10/17,5.4,1644.73
Atkinson,2/10/17,5.4,1644.73
Atkinson,3/10/17,5.4,1644.73
Atkinson,4/10/17,5.4,1644.73
Atkinson,5/10/17,5.4,1644.73
Atkinson,6/10/17,5.4,1644.73
Atkinson,7/10/17,5.4,1644.73
