Name,Date,Last Observation (%),Last Observation (ML)
"Baroon Pocket","04-03-2017","46","28077.76"
"Baroon Pocket","05-03-2017","46","28049.25"
"Baroon Pocket","06-03-2017","45.9","27978.81"
"Baroon Pocket","07-03-2017","45.8","27908.4"
"Baroon Pocket","08-03-2017","45.6","27792.77"
"Baroon Pocket","09-03-2017","45.4","27719.03"
"Baroon Pocket","10-03-2017","45.3","27636.05"
"Baroon Pocket","11-03-2017","45.2","27552.99"
"Baroon Pocket","12-03-2017","45.1","27499.94"
"Baroon Pocket","13-03-2017","44.9","27404.45"
"Baroon Pocket","14-03-2017","45","27421.05"
"Baroon Pocket","15-03-2017","45","27434.6"
"Baroon Pocket","16-03-2017","44.9","27381.43"
"Baroon Pocket","17-03-2017","44.8","27334.11"
"Baroon Pocket","18-03-2017","44.8","27350.91"
"Baroon Pocket","19-03-2017","44.8","27352.33"
"Baroon Pocket","20-03-2017","44.9","27399.29"
"Baroon Pocket","21-03-2017","45","27461.36"
"Baroon Pocket","22-03-2017","45.2","27589.8"
"Baroon Pocket","23-03-2017","45.3","27636.48"
"Baroon Pocket","24-03-2017","45.3","27604.74"
"Baroon Pocket","25-03-2017","45.2","27597.11"
"Baroon Pocket","26-03-2017","45.2","27553.22"
"Baroon Pocket","27-03-2017","45.1","27503.24"
"Baroon Pocket","28-03-2017","45","27477.44"
"Baroon Pocket","29-03-2017","45.4","27693.68"
"Baroon Pocket","30-03-2017","59.9","36525.76"
"Baroon Pocket","31-03-2017","61.3","37412.61"
"Baroon Pocket","01-04-2017","61.7","37612.15"
"Baroon Pocket","02-04-2017","61.8","37722.37"
"Baroon Pocket","03-04-2017","61.9","37776.01"
"Baroon Pocket","04-04-2017","62","37814.75"
"Baroon Pocket","05-04-2017","62","37841.57"
"Baroon Pocket","06-04-2017","62.2","37945.89"
"Baroon Pocket","07-04-2017","62.2","37965.34"
"Baroon Pocket","08-04-2017","62.3","37977.43"
"Baroon Pocket","09-04-2017","62.3","37986.58"
"Baroon Pocket","10-04-2017","62.3","37979.64"
"Baroon Pocket","11-04-2017","62.2","37933.26"
"Baroon Pocket","12-04-2017","62.1","37906.08"
"Baroon Pocket","13-04-2017","62.1","37882.96"
"Baroon Pocket","14-04-2017","62.1","37859.27"
"Baroon Pocket","15-04-2017","62","37841.57"
"Baroon Pocket","16-04-2017","62","37794.08"
"Baroon Pocket","17-04-2017","61.9","37752.53"
"Baroon Pocket","18-04-2017","61.8","37725.89"
"Baroon Pocket","19-04-2017","61.8","37700.7"
