Name,Date,Last Observation (%),Last Observation (ML)
Bill Gunn,4/3/17,6.9,477.35
Bill Gunn,5/3/17,6.9,477.35
Bill Gunn,6/3/17,6.9,477.35
Bill Gunn,7/3/17,6.9,476.19
Bill Gunn,8/3/17,6.9,476.19
Bill Gunn,9/3/17,6.9,476.19
Bill Gunn,10/3/17,6.9,476.19
Bill Gunn,11/3/17,6.9,476.19
Bill Gunn,12/3/17,6.9,476.19
Bill Gunn,13/3/17,6.9,476.19
Bill Gunn,14/3/17,6.9,476.19
Bill Gunn,15/3/17,6.9,476.19
Bill Gunn,16/3/17,6.9,476.19
Bill Gunn,17/3/17,6.9,476.19
Bill Gunn,18/3/17,6.9,476.19
Bill Gunn,19/3/17,6.9,476.19
Bill Gunn,20/3/17,6.8,475.43
Bill Gunn,21/3/17,6.8,475.43
Bill Gunn,22/3/17,7.4,515.56
Bill Gunn,23/3/17,9,622.55
Bill Gunn,24/3/17,9,623.4
Bill Gunn,25/3/17,9,623.4
Bill Gunn,26/3/17,9,623.4
Bill Gunn,27/3/17,9,623.4
Bill Gunn,28/3/17,9,624.68
Bill Gunn,29/3/17,9,624.68
Bill Gunn,30/3/17,10.3,712.97
Bill Gunn,31/3/17,10.2,711.73
Bill Gunn,1/4/17,12.5,869.16
Bill Gunn,2/4/17,15.3,1064.93
Bill Gunn,3/4/17,17.5,1213.41
Bill Gunn,4/4/17,18.8,1307.1
Bill Gunn,5/4/17,19.3,1343.48
Bill Gunn,6/4/17,19.4,1347.23
Bill Gunn,7/4/17,19.6,1361.68
Bill Gunn,8/4/17,19.9,1382.28
Bill Gunn,9/4/17,19.9,1383.36
Bill Gunn,10/4/17,19.9,1384.99
Bill Gunn,11/4/17,19.9,1383.36
Bill Gunn,12/4/17,19.9,1381.2
Bill Gunn,13/4/17,19.5,1357.93
Bill Gunn,14/4/17,19,1323.15
Bill Gunn,15/4/17,18.6,1290.17
Bill Gunn,16/4/17,18.1,1256.85
Bill Gunn,17/4/17,17.6,1225.44
Bill Gunn,18/4/17,17.2,1192.61
