Name,Date,Last Observation (%),Last Observation (ML)
"Borumba","04-03-2017","67.9","31231.23"
"Borumba","05-03-2017","67.8","31179.19"
"Borumba","06-03-2017","67.6","31097.56"
"Borumba","07-03-2017","67.5","31027.2"
"Borumba","08-03-2017","67.2","30920.05"
"Borumba","09-03-2017","67","30827.9"
"Borumba","10-03-2017","66.9","30761.68"
"Borumba","11-03-2017","66.7","30699.23"
"Borumba","12-03-2017","66.6","30644.21"
"Borumba","13-03-2017","66.5","30570.96"
"Borumba","14-03-2017","66.6","30636.88"
"Borumba","15-03-2017","66.7","30677.21"
"Borumba","16-03-2017","66.7","30699.23"
"Borumba","17-03-2017","66.8","30717.59"
"Borumba","18-03-2017","66.7","30688.22"
"Borumba","19-03-2017","66.8","30728.6"
"Borumba","20-03-2017","67","30831.58"
"Borumba","21-03-2017","67.2","30908.98"
"Borumba","22-03-2017","67.6","31116.09"
"Borumba","23-03-2017","67.8","31175.47"
"Borumba","24-03-2017","67.9","31231.23"
"Borumba","25-03-2017","68","31264.72"
"Borumba","26-03-2017","68","31298.24"
"Borumba","27-03-2017","68","31294.51"
"Borumba","28-03-2017","68","31294.51"
"Borumba","29-03-2017","68.3","31402.72"
"Borumba","30-03-2017","73.9","33995.36"
"Borumba","31-03-2017","79.1","36381.94"
"Borumba","01-04-2017","80.6","37071.31"
"Borumba","02-04-2017","81.4","37463.91"
"Borumba","03-04-2017","81.8","37638.11"
"Borumba","04-04-2017","82","37714.93"
"Borumba","05-04-2017","82.1","37770.65"
"Borumba","06-04-2017","82.2","37826.42"
"Borumba","07-04-2017","82.3","37869.46"
"Borumba","08-04-2017","82.4","37895.49"
"Borumba","09-04-2017","82.4","37917.27"
"Borumba","10-04-2017","82.5","37960.38"
"Borumba","11-04-2017","82.5","37956.58"
"Borumba","12-04-2017","82.5","37952.79"
"Borumba","13-04-2017","82.4","37897.84"
"Borumba","14-04-2017","82.4","37911.1"
"Borumba","15-04-2017","82.4","37915.83"
"Borumba","16-04-2017","82.4","37916.3"
