Name,Date,Last Observation (%),Last Observation (ML)
"Cedar Pocket","04-03-2017","28.8","211.35"
"Cedar Pocket","05-03-2017","28.2","207.49"
"Cedar Pocket","06-03-2017","27.5","201.83"
"Cedar Pocket","07-03-2017","26.7","196.32"
"Cedar Pocket","08-03-2017","26","190.87"
"Cedar Pocket","09-03-2017","25.2","185.47"
"Cedar Pocket","10-03-2017","24.5","180.13"
"Cedar Pocket","11-03-2017","23.9","175.55"
"Cedar Pocket","12-03-2017","23.3","170.99"
"Cedar Pocket","13-03-2017","22.6","166.23"
"Cedar Pocket","14-03-2017","22.1","162.23"
"Cedar Pocket","15-03-2017","23.7","173.92"
"Cedar Pocket","16-03-2017","24","176.33"
"Cedar Pocket","17-03-2017","24.3","178.3"
"Cedar Pocket","18-03-2017","24.3","178.78"
"Cedar Pocket","19-03-2017","24.6","180.45"
"Cedar Pocket","20-03-2017","25.8","189.53"
"Cedar Pocket","21-03-2017","26.7","196.41"
"Cedar Pocket","22-03-2017","27.1","199.28"
"Cedar Pocket","23-03-2017","27.5","201.92"
"Cedar Pocket","24-03-2017","27.7","203.88"
"Cedar Pocket","25-03-2017","28","205.5"
"Cedar Pocket","26-03-2017","28.1","206.86"
"Cedar Pocket","27-03-2017","28.3","208.04"
"Cedar Pocket","28-03-2017","28.5","209.23"
"Cedar Pocket","29-03-2017","33","242.73"
"Cedar Pocket","30-03-2017","116.8","858.48"
"Cedar Pocket","31-03-2017","105.2","773.58"
"Cedar Pocket","01-04-2017","103.5","760.84"
"Cedar Pocket","02-04-2017","102.2","751"
"Cedar Pocket","03-04-2017","101.7","747.79"
"Cedar Pocket","04-04-2017","101.3","744.8"
"Cedar Pocket","05-04-2017","101.1","743.19"
"Cedar Pocket","06-04-2017","101","742.28"
"Cedar Pocket","07-04-2017","100.8","741.13"
"Cedar Pocket","08-04-2017","100.7","740.21"
"Cedar Pocket","09-04-2017","100.6","739.74"
"Cedar Pocket","10-04-2017","100.6","739.5"
"Cedar Pocket","11-04-2017","100.5","738.81"
"Cedar Pocket","12-04-2017","100.5","738.8"
"Cedar Pocket","13-04-2017","100.5","739.01"
"Cedar Pocket","14-04-2017","100.6","739.23"
"Cedar Pocket","15-04-2017","100.5","738.76"
"Cedar Pocket","16-04-2017","100.5","738.52"
"Cedar Pocket","17-04-2017","100.5","738.97"
"Cedar Pocket","18-04-2017","100.5","738.73"
"Cedar Pocket","19-04-2017","100.4","738.26"
"Cedar Pocket","20-04-2017","100.4","738.25"
"Cedar Pocket","21-04-2017","100.6","739.06"
