Name,Date,Last Observation (%),Last Observation (ML)
Clarendon,04/03/2017,7.2,1740.52
Clarendon,05/03/2017,7.1,1734.55
Clarendon,06/03/2017,7.1,1727.74
Clarendon,07/03/2017,7.1,1718.66
Clarendon,08/03/2017,7.1,1715.43
Clarendon,09/03/2017,7,1703.49
Clarendon,10/03/2017,7,1691.54
Clarendon,11/03/2017,6.9,1676.02
Clarendon,12/03/2017,6.9,1676.02
Clarendon,13/03/2017,6.9,1677.21
Clarendon,14/03/2017,6.9,1673.63
Clarendon,15/03/2017,6.9,1676.02
Clarendon,16/03/2017,6.9,1669.68
Clarendon,17/03/2017,6.9,1668.85
Clarendon,18/03/2017,6.9,1664.07
Clarendon,19/03/2017,6.8,1653.32
Clarendon,20/03/2017,6.9,1673.63
Clarendon,21/03/2017,6.9,1680.79
Clarendon,22/03/2017,6.9,1679.6
Clarendon,23/03/2017,6.9,1676.02
Clarendon,24/03/2017,6.9,1675.9
Clarendon,25/03/2017,6.9,1677.21
Clarendon,26/03/2017,6.9,1672.43
Clarendon,27/03/2017,6.9,1668.97
Clarendon,28/03/2017,6.9,1665.26
Clarendon,29/03/2017,6.8,1662.88
Clarendon,30/03/2017,7.9,1916.64
Clarendon,31/03/2017,8.6,2080.8
Clarendon,01/04/2017,9.9,2405.5
Clarendon,02/04/2017,10.7,2599.62
Clarendon,03/04/2017,11,2663.39
Clarendon,04/04/2017,11,2670.36
Clarendon,05/04/2017,11,2659.21
Clarendon,06/04/2017,11,2668.97
Clarendon,07/04/2017,11,2662
Clarendon,08/04/2017,11,2658.51
Clarendon,09/04/2017,10.9,2653.63
Clarendon,10/04/2017,10.9,2646.66
Clarendon,11/04/2017,10.9,2636.9
Clarendon,12/04/2017,10.8,2629.92
Clarendon,13/04/2017,10.8,2611.79
Clarendon,14/04/2017,10.8,2614.58
Clarendon,15/04/2017,10.7,2608.38
Clarendon,16/04/2017,10.7,2602.18
Clarendon,17/04/2017,10.7,2590.72
Clarendon,18/04/2017,10.6,2580.61
Clarendon,19/04/2017,10.6,2574
Clarendon,20/04/2017,10.6,2561.87
Clarendon,21/04/2017,10.5,2555.13
Clarendon,22/04/2017,10.5,2547.04
Clarendon,23/04/2017,10.5,2537.61
Clarendon,24/04/2017,10.4,2530.87
Clarendon,25/04/2017,10.4,2532.22
Clarendon,26/04/2017,10.4,2526.82
Clarendon,27/04/2017,10.3,2512
Clarendon,28/04/2017,10.3,2495.82
Clarendon,29/04/2017,10.3,2491.78
Clarendon,30/04/2017,10.2,2478.3
Clarendon,01/05/2017,10.2,2472.9
Clarendon,02/05/2017,10.2,2464.82
Clarendon,03/05/2017,10.1,2454.03
Clarendon,04/05/2017,10.1,2447.29
Clarendon,05/05/2017,10,2439.2
Clarendon,06/05/2017,10,2425.72
Clarendon,07/05/2017,10,2417.64
Clarendon,08/05/2017,9.9,2414.94
Clarendon,09/05/2017,10,2424.38
Clarendon,10/05/2017,10,2418.98
Clarendon,11/05/2017,9.9,2414.94
Clarendon,12/05/2017,9.9,2410.9
Clarendon,13/05/2017,9.9,2410.9
Clarendon,14/05/2017,9.9,2408.2
Clarendon,15/05/2017,9.9,2404.16
Clarendon,16/05/2017,9.9,2398.76
Clarendon,17/05/2017,9.9,2393.37
Clarendon,18/05/2017,9.8,2386.63
Clarendon,19/05/2017,9.9,2401.46
Clarendon,20/05/2017,9.9,2405.23
Clarendon,21/05/2017,9.9,2402.13
Clarendon,22/05/2017,9.9,2395.12
Clarendon,23/05/2017,9.9,2392.02
Clarendon,24/05/2017,9.8,2383.67
Clarendon,25/05/2017,9.8,2384.61
Clarendon,26/05/2017,9.8,2378.95
Clarendon,27/05/2017,9.8,2371.94
Clarendon,28/05/2017,9.8,2368.84
Clarendon,29/05/2017,9.7,2365.87
Clarendon,30/05/2017,9.7,2353.34
Clarendon,31/05/2017,9.6,2339.63
Clarendon,01/06/2017,9.6,2330.27
Clarendon,02/06/2017,9.6,2322.08
Clarendon,03/06/2017,9.5,2315.32
Clarendon,04/06/2017,9.5,2304.53
Clarendon,05/06/2017,9.5,2299.07
Clarendon,06/06/2017,9.4,2283.08
Clarendon,07/06/2017,9.4,2276.32
Clarendon,08/06/2017,9.3,2265.66
Clarendon,09/06/2017,9.3,2258.77
Clarendon,10/06/2017,9.3,2249.41
Clarendon,11/06/2017,9.3,2250.32
Clarendon,12/06/2017,9.3,2253.96
Clarendon,13/06/2017,9.3,2252.4
Clarendon,14/06/2017,9.3,2248.11
Clarendon,15/06/2017,9.3,2247.85
Clarendon,16/06/2017,9.2,2240.96
Clarendon,17/06/2017,9.2,2240.7
Clarendon,18/06/2017,9.2,2233.81
Clarendon,19/06/2017,9.2,2229.65
Clarendon,20/06/2017,9.1,2218.99
Clarendon,21/06/2017,9.1,2217.3
Clarendon,22/06/2017,9.1,2210.54
Clarendon,23/06/2017,9.1,2206.25
Clarendon,24/06/2017,9.1,2200.79
Clarendon,25/06/2017,9,2194.03
Clarendon,26/06/2017,9,2185.84
Clarendon,27/06/2017,8.9,2172.58
Clarendon,28/06/2017,8.9,2160.49
Clarendon,29/06/2017,8.9,2164.13
Clarendon,30/06/2017,8.9,2159.84
Clarendon,01/07/2017,8.9,2150.48
Clarendon,02/07/2017,8.8,2143.72
Clarendon,03/07/2017,8.8,2134.23
Clarendon,04/07/2017,8.8,2128.9
Clarendon,05/07/2017,8.7,2123.7
Clarendon,06/07/2017,8.7,2121.1
Clarendon,07/07/2017,8.8,2126.3
Clarendon,08/07/2017,8.8,2125
Clarendon,09/07/2017,8.7,2122.4
Clarendon,10/07/2017,8.7,2119.8
Clarendon,11/07/2017,8.7,2114.6
Clarendon,12/07/2017,8.7,2109.4
Clarendon,13/07/2017,8.7,2102.9
Clarendon,14/07/2017,8.7,2101.6
Clarendon,15/07/2017,8.6,2092.5
Clarendon,16/07/2017,8.6,2097.7
Clarendon,17/07/2017,8.6,2091.2
Clarendon,18/07/2017,8.6,2086
Clarendon,19/07/2017,8.6,2080.3
Clarendon,20/07/2017,8.6,2080.16
Clarendon,21/07/2017,8.5,2074.76
Clarendon,22/07/2017,8.5,2072.15
Clarendon,23/07/2017,8.5,2065.6
Clarendon,24/07/2017,8.5,2064.29
Clarendon,25/07/2017,8.5,2059.06
Clarendon,26/07/2017,8.4,2051.2
Clarendon,27/07/2017,8.4,2042.04
Clarendon,28/07/2017,8.4,2038.11
Clarendon,29/07/2017,8.4,2030.26
Clarendon,30/07/2017,8.3,2015.86
Clarendon,31/07/2017,8.3,2005.39
Clarendon,01/08/2017,8.2,1997.54
Clarendon,02/08/2017,8.2,1989.68
Clarendon,03/08/2017,8.1,1975.28
Clarendon,04/08/2017,8.1,1964.81
Clarendon,05/08/2017,8,1953.03
Clarendon,06/08/2017,8,1938.63
Clarendon,07/08/2017,8,1930.78
Clarendon,08/08/2017,7.9,1924.24
Clarendon,09/08/2017,7.9,1912.45
Clarendon,10/08/2017,7.8,1900.67
Clarendon,11/08/2017,7.8,1891.51
Clarendon,12/08/2017,7.8,1882.35
Clarendon,13/08/2017,7.7,1874.5
Clarendon,14/08/2017,7.7,1864.02
Clarendon,15/08/2017,7.6,1854.86
Clarendon,16/08/2017,7.6,1833.92
Clarendon,17/08/2017,7.5,1832.61
Clarendon,18/08/2017,7.5,1813.38
Clarendon,19/08/2017,7.4,1791.05
Clarendon,20/08/2017,7.3,1782.33
Clarendon,21/08/2017,7.3,1773.96
Clarendon,22/08/2017,7.3,1769.19
Clarendon,23/08/2017,7.2,1754.85
Clarendon,24/08/2017,7.2,1740.52
Clarendon,25/08/2017,7.1,1728.57
Clarendon,26/08/2017,7.1,1720.21
Clarendon,27/08/2017,7.1,1711.85
Clarendon,28/08/2017,7,1703.49
Clarendon,29/08/2017,7,1692.74
Clarendon,30/08/2017,6.9,1680.79
Clarendon,31/08/2017,6.9,1666.46
Clarendon,01/09/2017,6.8,1648.54
Clarendon,02/09/2017,6.8,1647.35
Clarendon,03/09/2017,6.7,1636.6
Clarendon,04/09/2017,6.7,1629.43
Clarendon,05/09/2017,6.6,1610.32
Clarendon,06/09/2017,6.5,1589.33
Clarendon,07/09/2017,6.5,1574.2
Clarendon,08/09/2017,6.4,1557.14
Clarendon,09/09/2017,6.4,1545.76
Clarendon,10/09/2017,6.3,1534.39
Clarendon,11/09/2017,6.3,1525.29
Clarendon,12/09/2017,6.2,1509.36
Clarendon,13/09/2017,6.1,1483.2
Clarendon,14/09/2017,6,1461.82
Clarendon,15/09/2017,6,1452.49
Clarendon,16/09/2017,5.9,1437.7
Clarendon,17/09/2017,5.9,1425.19
Clarendon,18/09/2017,5.9,1420.64
Clarendon,19/09/2017,5.8,1412.68
Clarendon,20/09/2017,5.7,1391.06
Clarendon,21/09/2017,5.7,1383.1
Clarendon,22/09/2017,5.7,1371.73
Clarendon,23/09/2017,5.6,1364.9
Clarendon,24/09/2017,5.6,1361.68
Clarendon,25/09/2017,5.5,1341.29
Clarendon,26/09/2017,5.5,1329.49
Clarendon,27/09/2017,5.4,1314.47
Clarendon,28/09/2017,5.4,1305.89
Clarendon,29/09/2017,5.3,1294.08
Clarendon,30/09/2017,5.3,1283.35
Clarendon,01/10/2017,5.3,1275.84
Clarendon,02/10/2017,5.5,1326.27
Clarendon,03/10/2017,5.6,1360.61
Clarendon,04/10/2017,5.6,1357.39
Clarendon,05/10/2017,5.6,1357.39
Clarendon,06/10/2017,5.6,1353.1
Clarendon,07/10/2017,5.6,1352.02
Clarendon,08/10/2017,5.6,1352.02
Clarendon,09/10/2017,5.6,1347.73
Clarendon,10/10/2017,5.5,1341.29
Clarendon,11/10/2017,5.5,1341.29
Clarendon,12/10/2017,5.5,1339.15
Clarendon,13/10/2017,5.5,1329.49
Clarendon,14/10/2017,5.6,1350.95
Clarendon,15/10/2017,5.7,1385.38
Clarendon,16/10/2017,5.8,1413.81
Clarendon,17/10/2017,5.8,1413.81
Clarendon,18/10/2017,5.8,1413.81
Clarendon,19/10/2017,5.8,1412.68
Clarendon,20/10/2017,5.8,1410.4
Clarendon,21/10/2017,6,1445.66
Clarendon,22/10/2017,6,1446.8
Clarendon,23/10/2017,6,1463.86
Clarendon,24/10/2017,6,1463.86
Clarendon,25/10/2017,6,1460.45
Clarendon,26/10/2017,6,1453.63
Clarendon,27/10/2017,6,1452.49
Clarendon,28/10/2017,6,1447.94
Clarendon,29/10/2017,6,1450.21
Clarendon,30/10/2017,5.9,1439.98
Clarendon,31/10/2017,5.9,1427.46
Clarendon,01/11/2017,5.9,1424.05
Clarendon,02/11/2017,5.8,1416.09
Clarendon,03/11/2017,5.8,1404.71
Clarendon,04/11/2017,5.8,1399.03
Clarendon,05/11/2017,5.7,1386.51
Clarendon,06/11/2017,5.7,1374
Clarendon,07/11/2017,5.6,1363.83
Clarendon,08/11/2017,5.6,1353.1
Clarendon,09/11/2017,5.5,1337
Clarendon,10/11/2017,5.5,1335.93
Clarendon,11/11/2017,5.5,1337
Clarendon,12/11/2017,5.5,1327.35
Clarendon,13/11/2017,5.4,1314.47
Clarendon,14/11/2017,5.4,1313.4
Clarendon,15/11/2017,5.4,1303.74
Clarendon,16/11/2017,5.3,1293.01
Clarendon,17/11/2017,5.3,1287.64
Clarendon,18/11/2017,5.4,1299.45
Clarendon,19/11/2017,5.4,1300.31
Clarendon,20/11/2017,5.4,1300.09
Clarendon,21/11/2017,5.3,1297.3
Clarendon,22/11/2017,5.3,1291.94
Clarendon,23/11/2017,5.3,1288.72
Clarendon,24/11/2017,5.3,1281.21
Clarendon,25/11/2017,5.3,1275.63
Clarendon,26/11/2017,5.2,1269.72
Clarendon,27/11/2017,5.2,1260.18
Clarendon,28/11/2017,5.2,1253.84
Clarendon,29/11/2017,5.1,1249.02
Clarendon,30/11/2017,5.3,1275.84
Clarendon,01/12/2017,5.3,1284.43
Clarendon,02/12/2017,5.3,1280.45
Clarendon,03/12/2017,5.3,1287.64
Clarendon,04/12/2017,5.3,1297.62
Clarendon,05/12/2017,5.3,1297.3
Clarendon,06/12/2017,5.3,1289.79
Clarendon,07/12/2017,5.3,1286.57
Clarendon,08/12/2017,5.3,1283.24
Clarendon,09/12/2017,5.2,1273.7
Clarendon,10/12/2017,5.2,1272.62
Clarendon,11/12/2017,5.2,1261.36
Clarendon,12/12/2017,5.2,1254.38
Clarendon,13/12/2017,5.2,1252.24
Clarendon,14/12/2017,5.1,1240
