Name,Date,Last Observation (%),Last Observation (ML)
"Enoggera","04-03-2017","94.5","4029.38"
"Enoggera","05-03-2017","94.5","4029.39"
"Enoggera","06-03-2017","94.5","4026.8"
"Enoggera","07-03-2017","94.4","4022.89"
"Enoggera","08-03-2017","94.3","4018.99"
"Enoggera","09-03-2017","94.2","4015.75"
"Enoggera","10-03-2017","94.1","4010.54"
"Enoggera","11-03-2017","94","4007.94"
"Enoggera","12-03-2017","93.9","4004.04"
"Enoggera","13-03-2017","93.9","4000.14"
"Enoggera","14-03-2017","93.8","3998.2"
"Enoggera","15-03-2017","93.9","4002.13"
"Enoggera","16-03-2017","93.9","4000.18"
"Enoggera","17-03-2017","93.8","3998.89"
"Enoggera","18-03-2017","93.8","3995.64"
"Enoggera","19-03-2017","93.9","4002.18"
"Enoggera","20-03-2017","94.3","4019.81"
"Enoggera","21-03-2017","94.6","4033.52"
"Enoggera","22-03-2017","94.9","4045.28"
"Enoggera","23-03-2017","94.9","4044.64"
"Enoggera","24-03-2017","95","4047.92"
"Enoggera","25-03-2017","94.9","4045.97"
"Enoggera","26-03-2017","94.9","4043.37"
"Enoggera","27-03-2017","94.8","4040.78"
"Enoggera","28-03-2017","94.8","4038.83"
"Enoggera","29-03-2017","94.8","4038.85"
"Enoggera","30-03-2017","144.5","6158.31"
"Enoggera","31-03-2017","118.2","5038.11"
"Enoggera","01-04-2017","108.3","4613.97"
"Enoggera","02-04-2017","104.8","4467.84"
"Enoggera","03-04-2017","103.2","4400.43"
"Enoggera","04-04-2017","102.4","4365.62"
"Enoggera","05-04-2017","101.8","4340.31"
"Enoggera","06-04-2017","101.4","4323.51"
"Enoggera","07-04-2017","101.1","4310.95"
"Enoggera","08-04-2017","100.9","4301.19"
"Enoggera","09-04-2017","100.8","4294.89"
"Enoggera","10-04-2017","100.6","4289.28"
"Enoggera","11-04-2017","100.5","4282.99"
"Enoggera","12-04-2017","100.4","4278.09"
"Enoggera","13-04-2017","100.3","4275.23"
"Enoggera","14-04-2017","100.3","4273.06"
"Enoggera","15-04-2017","100.2","4270.2"
"Enoggera","16-04-2017","100.1","4268.03"
"Enoggera","17-04-2017","100.1","4265.86"
"Enoggera","18-04-2017","100.1","4264.37"
"Enoggera","19-04-2017","100","4261.52"
"Enoggera","20-04-2017","100","4260.03"
"Enoggera","21-04-2017","99.9","4259.23"
"Enoggera","22-04-2017","99.9","4258.32"
"Enoggera","23-04-2017","99.9","4256.73"
"Enoggera","24-04-2017","99.8","4255.15"
"Enoggera","25-04-2017","99.8","4252.88"
"Enoggera","26-04-2017","99.8","4253.31"
"Enoggera","27-04-2017","99.7","4249.03"
"Enoggera","28-04-2017","99.6","4246.77"
"Enoggera","29-04-2017","99.6","4243.16"
"Enoggera","30-04-2017","99.5","4240.91"
"Enoggera","01-05-2017","99.5","4238.65"
"Enoggera","02-05-2017","99.4","4237.07"
"Enoggera","03-05-2017","99.4","4234.82"
"Enoggera","04-05-2017","99.3","4233.24"
"Enoggera","05-05-2017","99.3","4231.64"
"Enoggera","06-05-2017","99.2","4229.62"
"Enoggera","07-05-2017","99.2","4227.61"
"Enoggera","08-05-2017","99.2","4228.28"
"Enoggera","09-05-2017","99.4","4234.33"
"Enoggera","10-05-2017","99.4","4235"
"Enoggera","11-05-2017","99.3","4232.98"
"Enoggera","12-05-2017","99.3","4230.97"
"Enoggera","13-05-2017","99.3","4232.31"
"Enoggera","14-05-2017","99.3","4232.31"
"Enoggera","15-05-2017","99.3","4230.97"
"Enoggera","16-05-2017","99.2","4228.95"
"Enoggera","17-05-2017","99.3","4230.97"
"Enoggera","18-05-2017","99.2","4229.62"
"Enoggera","19-05-2017","99.6","4243.08"
"Enoggera","20-05-2017","99.6","4243.75"
"Enoggera","21-05-2017","99.5","4242.4"
"Enoggera","22-05-2017","99.5","4241.73"
"Enoggera","23-05-2017","99.5","4240.38"
"Enoggera","24-05-2017","99.5","4239.04"
"Enoggera","25-05-2017","99.4","4237.69"
"Enoggera","26-05-2017","99.4","4236.34"
"Enoggera","27-05-2017","99.4","4235"
"Enoggera","28-05-2017","99.3","4233.65"
"Enoggera","29-05-2017","99.3","4231.64"
"Enoggera","30-05-2017","99.2","4229.62"
"Enoggera","31-05-2017","99.2","4226.94"
"Enoggera","01-06-2017","99.1","4224.26"
"Enoggera","02-06-2017","99.1","4222.25"
"Enoggera","03-06-2017","99","4219.57"
"Enoggera","04-06-2017","99","4218.23"
"Enoggera","05-06-2017","98.9","4216.89"
"Enoggera","06-06-2017","98.9","4213.54"
"Enoggera","07-06-2017","98.8","4211.54"
"Enoggera","08-06-2017","98.8","4209.53"
"Enoggera","09-06-2017","98.7","4207.53"
"Enoggera","10-06-2017","98.7","4206.19"
"Enoggera","11-06-2017","99.2","4229.62"
"Enoggera","12-06-2017","99.4","4235.67"
"Enoggera","13-06-2017","99.5","4240.38"
"Enoggera","14-06-2017","99.9","4257.26"
"Enoggera","15-06-2017","100.1","4267.43"
"Enoggera","16-06-2017","100.3","4272.86"
"Enoggera","17-06-2017","100.3","4274.9"
"Enoggera","18-06-2017","100.3","4274.9"
"Enoggera","19-06-2017","100.3","4274.9"
"Enoggera","20-06-2017","100.3","4274.22"
"Enoggera","21-06-2017","100.2","4272.18"
"Enoggera","22-06-2017","100.2","4271.5"
"Enoggera","23-06-2017","100.2","4270.14"
"Enoggera","24-06-2017","100.2","4269.46"
