Name,Date,Last Observation (%),Last Observation (ML)
"Ewen Maddock","04-03-2017","88.6","14689.19"
"Ewen Maddock","05-03-2017","88.4","14661.62"
"Ewen Maddock","06-03-2017","88.3","14651.29"
"Ewen Maddock","07-03-2017","88.2","14634.06"
"Ewen Maddock","08-03-2017","88.1","14613.4"
"Ewen Maddock","09-03-2017","88","14592.75"
"Ewen Maddock","10-03-2017","87.9","14575.53"
"Ewen Maddock","11-03-2017","87.7","14551.44"
"Ewen Maddock","12-03-2017","87.7","14541.12"
"Ewen Maddock","13-03-2017","87.6","14523.91"
"Ewen Maddock","14-03-2017","89.2","14796.15"
"Ewen Maddock","15-03-2017","89.8","14903.39"
"Ewen Maddock","16-03-2017","89.8","14903.39"
"Ewen Maddock","17-03-2017","90","14920.73"
"Ewen Maddock","18-03-2017","90","14920.73"
"Ewen Maddock","19-03-2017","90.3","14979.72"
"Ewen Maddock","20-03-2017","90.7","15038.81"
"Ewen Maddock","21-03-2017","90.9","15077.09"
"Ewen Maddock","22-03-2017","91.7","15209.58"
"Ewen Maddock","23-03-2017","91.8","15234.02"
"Ewen Maddock","24-03-2017","92.1","15275.93"
"Ewen Maddock","25-03-2017","92.5","15338.85"
"Ewen Maddock","26-03-2017","92.5","15335.35"
"Ewen Maddock","27-03-2017","92.4","15328.36"
"Ewen Maddock","28-03-2017","92.4","15321.36"
"Ewen Maddock","29-03-2017","93.3","15482.34"
"Ewen Maddock","30-03-2017","112.4","18650.58"
"Ewen Maddock","31-03-2017","109.3","18125.03"
"Ewen Maddock","01-04-2017","106.4","17641.79"
"Ewen Maddock","02-04-2017","104.6","17346.22"
"Ewen Maddock","03-04-2017","103.7","17197.33"
"Ewen Maddock","04-04-2017","102.7","17041.97"
"Ewen Maddock","05-04-2017","102.3","16963.03"
"Ewen Maddock","06-04-2017","101.9","16893.91"
"Ewen Maddock","07-04-2017","101.4","16821.81"
"Ewen Maddock","08-04-2017","101.1","16776.65"
"Ewen Maddock","09-04-2017","100.9","16740.06"
"Ewen Maddock","10-04-2017","100.8","16711.87"
"Ewen Maddock","11-04-2017","100.5","16668.14"
"Ewen Maddock","12-04-2017","100.3","16644.62"
"Ewen Maddock","13-04-2017","100.3","16629.08"
"Ewen Maddock","14-04-2017","100.2","16617.5"
"Ewen Maddock","15-04-2017","100.1","16606"
"Ewen Maddock","16-04-2017","100","16590.78"
"Ewen Maddock","17-04-2017","100","16579.46"
"Ewen Maddock","18-04-2017","99.9","16568.21"
"Ewen Maddock","19-04-2017","99.8","16560.75"
"Ewen Maddock","20-04-2017","99.8","16549.62"
"Ewen Maddock","21-04-2017","99.7","16542.24"
"Ewen Maddock","22-04-2017","99.8","16560.75"
"Ewen Maddock","23-04-2017","99.8","16549.62"
"Ewen Maddock","24-04-2017","99.7","16542.24"
"Ewen Maddock","25-04-2017","99.7","16531.22"
"Ewen Maddock","26-04-2017","99.7","16531.22"
"Ewen Maddock","27-04-2017","99.6","16512.98"
"Ewen Maddock","28-04-2017","99.5","16498.5"
"Ewen Maddock","29-04-2017","99.3","16476.94"
"Ewen Maddock","30-04-2017","99.3","16466.23"
"Ewen Maddock","01-05-2017","99.2","16455.55"
"Ewen Maddock","02-05-2017","99.1","16443.83"
"Ewen Maddock","03-05-2017","99.1","16432.98"
"Ewen Maddock","04-05-2017","99","16425.66"
"Ewen Maddock","05-05-2017","98.9","16411.34"
"Ewen Maddock","06-05-2017","98.9","16397.03"
"Ewen Maddock","07-05-2017","98.9","16396.78"
"Ewen Maddock","08-05-2017","99","16421.12"
"Ewen Maddock","09-05-2017","99.2","16453.77"
"Ewen Maddock","10-05-2017","99.4","16484.54"
"Ewen Maddock","11-05-2017","99.3","16477.12"
"Ewen Maddock","12-05-2017","99.3","16469.7"
"Ewen Maddock","13-05-2017","99.4","16480.18"
"Ewen Maddock","14-05-2017","99.3","16469.2"
"Ewen Maddock","15-05-2017","99.3","16468.93"
"Ewen Maddock","16-05-2017","99.2","16458"
"Ewen Maddock","17-05-2017","99.2","16447.09"
"Ewen Maddock","18-05-2017","99.1","16443.29"
"Ewen Maddock","19-05-2017","99.7","16536.6"
"Ewen Maddock","20-05-2017","99.8","16547.4"
"Ewen Maddock","21-05-2017","99.7","16543.43"
"Ewen Maddock","22-05-2017","99.7","16539.48"
"Ewen Maddock","23-05-2017","99.7","16531.87"
"Ewen Maddock","24-05-2017","99.6","16527.95"
"Ewen Maddock","25-05-2017","99.6","16516.74"
"Ewen Maddock","26-05-2017","99.5","16509.23"
"Ewen Maddock","27-05-2017","99.5","16498.11"
"Ewen Maddock","28-05-2017","99.4","16490.65"
"Ewen Maddock","29-05-2017","99.4","16486.8"
"Ewen Maddock","30-05-2017","99.3","16468.63"
"Ewen Maddock","31-05-2017","99.2","16450.59"
"Ewen Maddock","01-06-2017","99","16429.11"
"Ewen Maddock","02-06-2017","98.9","16411.26"
"Ewen Maddock","03-06-2017","98.9","16400.45"
"Ewen Maddock","04-06-2017","98.8","16389.68"
"Ewen Maddock","05-06-2017","98.7","16378.92"
"Ewen Maddock","06-06-2017","98.7","16375.15"
"Ewen Maddock","07-06-2017","98.6","16353.93"
"Ewen Maddock","08-06-2017","98.5","16339.66"
"Ewen Maddock","09-06-2017","98.4","16328.9"
"Ewen Maddock","10-06-2017","98.4","16325.14"
"Ewen Maddock","11-06-2017","98.4","16324.89"
"Ewen Maddock","12-06-2017","98.4","16321.14"
"Ewen Maddock","13-06-2017","98.8","16394.41"
"Ewen Maddock","14-06-2017","99.1","16437.87"
"Ewen Maddock","15-06-2017","99.3","16475.21"
"Ewen Maddock","16-06-2017","99.3","16478.53"
"Ewen Maddock","17-06-2017","99.4","16485.44"
"Ewen Maddock","18-06-2017","99.4","16488.77"
"Ewen Maddock","19-06-2017","99.3","16474.19"
"Ewen Maddock","20-06-2017","99.3","16466.78"
"Ewen Maddock","21-06-2017","99.2","16455.84"
"Ewen Maddock","22-06-2017","99.1","16444.94"
"Ewen Maddock","23-06-2017","99.1","16434.08"
"Ewen Maddock","24-06-2017","99","16426.78"
"Ewen Maddock","25-06-2017","99","16419.47"
"Ewen Maddock","26-06-2017","98.9","16408.67"
"Ewen Maddock","27-06-2017","98.8","16390.86"
"Ewen Maddock","28-06-2017","98.6","16362.6"
"Ewen Maddock","29-06-2017","98.6","16348.35"
"Ewen Maddock","30-06-2017","98.6","16351.59"
"Ewen Maddock","01-07-2017","98.5","16337.35"
"Ewen Maddock","02-07-2017","98.4","16326.57"
"Ewen Maddock","03-07-2017","98.4","16315.82"
"Ewen Maddock","04-07-2017","98.3","16297.99"
"Ewen Maddock","05-07-2017","98.2","16287.17"
"Ewen Maddock","06-07-2017","98.1","16279.75"
"Ewen Maddock","07-07-2017","98.1","16274.79"
"Ewen Maddock","08-07-2017","98.1","16263.82"
"Ewen Maddock","09-07-2017","97.9","16238.63"
"Ewen Maddock","10-07-2017","97.8","16224.09"
"Ewen Maddock","11-07-2017","97.8","16216.59"
"Ewen Maddock","12-07-2017","97.7","16198.96"
"Ewen Maddock","13-07-2017","97.5","16178.26"
"Ewen Maddock","14-07-2017","97.4","16157.48"
"Ewen Maddock","15-07-2017","97.3","16136.69"
"Ewen Maddock","16-07-2017","97.2","16123.04"
"Ewen Maddock","17-07-2017","97","16091.62"
"Ewen Maddock","18-07-2017","96.9","16073.43"
"Ewen Maddock","19-07-2017","96.7","16045.74"
"Ewen Maddock","20-07-2017","96.5","16008.36"
"Ewen Maddock","21-07-2017","96.3","15979.43"
"Ewen Maddock","22-07-2017","96.2","15957.73"
"Ewen Maddock","23-07-2017","96.1","15936.05"
"Ewen Maddock","24-07-2017","95.9","15914.4"
