Name,Date,Last Observation (%),Last Observation (ML)
Gold Creek,04/03/2017,84.1,673.49
Gold Creek,05/03/2017,84.1,673.34
Gold Creek,06/03/2017,83.9,672.32
Gold Creek,07/03/2017,83.7,670.72
Gold Creek,08/03/2017,83.6,670
Gold Creek,09/03/2017,83.6,669.42
Gold Creek,10/03/2017,83.4,667.84
Gold Creek,11/03/2017,83.2,666.42
Gold Creek,12/03/2017,83.2,666.13
Gold Creek,13/03/2017,83.2,666.27
Gold Creek,14/03/2017,83.4,668.27
Gold Creek,15/03/2017,83.4,667.84
Gold Creek,16/03/2017,83.3,667.42
Gold Creek,17/03/2017,83.3,666.84
Gold Creek,18/03/2017,83.1,665.71
Gold Creek,19/03/2017,83.2,666.7
Gold Creek,20/03/2017,83.5,669.14
Gold Creek,21/03/2017,83.8,671.3
Gold Creek,22/03/2017,83.9,672.03
Gold Creek,23/03/2017,83.8,671.59
Gold Creek,24/03/2017,83.8,671.59
Gold Creek,25/03/2017,83.8,670.87
Gold Creek,26/03/2017,83.7,670.58
Gold Creek,27/03/2017,83.6,669.42
Gold Creek,28/03/2017,83.5,668.99
Gold Creek,29/03/2017,83.4,667.99
Gold Creek,30/03/2017,178.1,1426.2
Gold Creek,31/03/2017,166.5,1333.82
Gold Creek,01/04/2017,146.5,1173.16
Gold Creek,02/04/2017,129.5,1037.45
Gold Creek,03/04/2017,119.4,956.01
Gold Creek,04/04/2017,114.2,914.53
Gold Creek,05/04/2017,111.2,890.87
Gold Creek,06/04/2017,109.8,879.29
Gold Creek,07/04/2017,109,873.47
Gold Creek,08/04/2017,108.7,870.77
Gold Creek,09/04/2017,108.3,867.63
Gold Creek,10/04/2017,108.1,865.82
Gold Creek,11/04/2017,107.9,864.02
Gold Creek,12/04/2017,107.6,862.21
Gold Creek,13/04/2017,107.4,860.17
Gold Creek,14/04/2017,107.2,858.59
Gold Creek,15/04/2017,107,857
Gold Creek,16/04/2017,106.8,855.64
Gold Creek,17/04/2017,106.7,854.73
Gold Creek,18/04/2017,106.5,853.13
Gold Creek,19/04/2017,106.3,851.54
Gold Creek,20/04/2017,106.1,849.94
Gold Creek,21/04/2017,105.9,848.58
Gold Creek,22/04/2017,105.9,848.58
Gold Creek,23/04/2017,105.7,846.52
Gold Creek,24/04/2017,105.5,845.38
Gold Creek,25/04/2017,105.4,844.01
Gold Creek,26/04/2017,105.4,844.01
Gold Creek,27/04/2017,105.1,841.73
Gold Creek,28/04/2017,104.9,840.13
Gold Creek,29/04/2017,104.7,838.77
Gold Creek,30/04/2017,104.6,837.85
Gold Creek,01/05/2017,104.3,835.81
Gold Creek,02/05/2017,104.2,834.9
Gold Creek,03/05/2017,104.1,833.99
Gold Creek,04/05/2017,103.9,832.62
Gold Creek,05/05/2017,103.8,831.49
Gold Creek,06/05/2017,103.6,829.68
Gold Creek,07/05/2017,103.5,828.77
Gold Creek,08/05/2017,103.5,829.22
Gold Creek,09/05/2017,103.7,830.58
Gold Creek,10/05/2017,103.6,829.45
Gold Creek,11/05/2017,103.4,828.54
Gold Creek,12/05/2017,103.2,826.29
Gold Creek,13/05/2017,103.2,826.74
Gold Creek,14/05/2017,103.2,826.51
Gold Creek,15/05/2017,103,824.93
Gold Creek,16/05/2017,102.9,824.03
Gold Creek,17/05/2017,102.6,822.01
Gold Creek,18/05/2017,102.6,821.57
Gold Creek,19/05/2017,103.1,826.06
Gold Creek,20/05/2017,103.1,825.83
Gold Creek,21/05/2017,103,824.71
Gold Creek,22/05/2017,102.8,823.58
Gold Creek,23/05/2017,102.7,822.91
Gold Creek,24/05/2017,102.6,822.01
Gold Creek,25/05/2017,102.5,820.67
Gold Creek,26/05/2017,102.3,819.11
Gold Creek,27/05/2017,102.1,818.22
Gold Creek,28/05/2017,102,816.66
Gold Creek,29/05/2017,101.8,815.77
Gold Creek,30/05/2017,101.8,815.11
Gold Creek,31/05/2017,101.5,813.35
Gold Creek,01/06/2017,101.4,812.03
Gold Creek,02/06/2017,101.3,811.15
Gold Creek,03/06/2017,101,808.96
Gold Creek,04/06/2017,100.9,808.09
Gold Creek,05/06/2017,100.9,808.09
Gold Creek,06/06/2017,100.6,805.93
Gold Creek,07/06/2017,100.5,805.06
Gold Creek,08/06/2017,100.3,803.56
Gold Creek,09/06/2017,100.2,802.49
Gold Creek,10/06/2017,100.3,803.78
Gold Creek,11/06/2017,100.9,808.31
Gold Creek,12/06/2017,101.3,811.81
Gold Creek,13/06/2017,101.4,812.25
Gold Creek,14/06/2017,101.9,816.22
Gold Creek,15/06/2017,102.2,818.66
Gold Creek,16/06/2017,102.3,819.55
Gold Creek,17/06/2017,102.4,820.45
Gold Creek,18/06/2017,102.4,820.22
Gold Creek,19/06/2017,102.3,819.33
Gold Creek,20/06/2017,102.2,818.44
Gold Creek,21/06/2017,102,817.11
Gold Creek,22/06/2017,102,816.88
Gold Creek,23/06/2017,101.9,816
Gold Creek,24/06/2017,101.7,814.23
Gold Creek,25/06/2017,101.6,813.57
Gold Creek,26/06/2017,101.5,812.9
Gold Creek,27/06/2017,101.4,812.03
Gold Creek,28/06/2017,101.4,812.03
Gold Creek,29/06/2017,101.2,810.71
Gold Creek,30/06/2017,101.2,810.93
Gold Creek,01/07/2017,101.1,809.62
Gold Creek,02/07/2017,101,808.96
Gold Creek,03/07/2017,100.9,807.88
Gold Creek,04/07/2017,100.9,807.88
Gold Creek,05/07/2017,100.8,807.44
Gold Creek,06/07/2017,100.7,806.79
Gold Creek,07/07/2017,101,808.75
Gold Creek,08/07/2017,100.9,808.31
Gold Creek,09/07/2017,100.7,806.36
Gold Creek,10/07/2017,100.6,805.5
Gold Creek,11/07/2017,100.6,805.93
Gold Creek,12/07/2017,100.3,803.78
Gold Creek,13/07/2017,100.3,803.35
Gold Creek,14/07/2017,100.2,802.92
Gold Creek,15/07/2017,100.2,802.49
Gold Creek,16/07/2017,100.3,803.13
Gold Creek,17/07/2017,100.2,802.28
Gold Creek,18/07/2017,100.1,801.43
Gold Creek,19/07/2017,100.1,801.43
Gold Creek,20/07/2017,99.8,799.52
Gold Creek,21/07/2017,99.7,798.88
Gold Creek,22/07/2017,99.5,796.99
Gold Creek,23/07/2017,99.4,795.95
Gold Creek,24/07/2017,99.3,795.32
Gold Creek,25/07/2017,99.2,794.28
Gold Creek,26/07/2017,99,793.04
Gold Creek,27/07/2017,98.9,792.01
Gold Creek,28/07/2017,98.8,791.19
Gold Creek,29/07/2017,98.6,790.16
Gold Creek,30/07/2017,98.6,789.75
Gold Creek,31/07/2017,98.4,788.12
Gold Creek,01/08/2017,98.4,787.96
Gold Creek,02/08/2017,98.2,786.3
Gold Creek,03/08/2017,98.1,785.69
Gold Creek,04/08/2017,98,785.09
Gold Creek,05/08/2017,97.8,783.69
Gold Creek,06/08/2017,97.8,783.49
Gold Creek,07/08/2017,97.7,782.49
Gold Creek,08/08/2017,97.7,782.49
Gold Creek,09/08/2017,97.4,780.5
Gold Creek,10/08/2017,97.4,779.9
Gold Creek,11/08/2017,97.2,778.92
Gold Creek,12/08/2017,97,777.34
Gold Creek,13/08/2017,96.9,776.36
Gold Creek,14/08/2017,96.8,775.39
Gold Creek,15/08/2017,96.7,774.42
Gold Creek,16/08/2017,96.6,773.83
Gold Creek,17/08/2017,96.5,773.16
Gold Creek,18/08/2017,96.3,771.34
Gold Creek,19/08/2017,96.2,770.17
Gold Creek,20/08/2017,96,769.02
Gold Creek,21/08/2017,95.8,767.49
Gold Creek,22/08/2017,95.7,766.35
Gold Creek,23/08/2017,95.6,765.59
Gold Creek,24/08/2017,95.7,766.16
Gold Creek,25/08/2017,95.5,765.21
Gold Creek,26/08/2017,95.3,763.7
Gold Creek,27/08/2017,95.2,762.76
Gold Creek,28/08/2017,95,761.26
Gold Creek,29/08/2017,94.9,759.95
Gold Creek,30/08/2017,94.8,759.39
Gold Creek,31/08/2017,94.6,757.71
Gold Creek,01/09/2017,94.5,756.6
Gold Creek,02/09/2017,94.4,756.05
Gold Creek,03/09/2017,94.2,754.57
Gold Creek,04/09/2017,94.2,754.2
Gold Creek,05/09/2017,94,752.55
Gold Creek,06/09/2017,93.8,751.45
Gold Creek,07/09/2017,93.6,749.44
Gold Creek,08/09/2017,93.4,748.17
Gold Creek,09/09/2017,93.3,747.26
Gold Creek,10/09/2017,93.2,746.18
Gold Creek,11/09/2017,93,744.91
Gold Creek,12/09/2017,92.9,743.83
Gold Creek,13/09/2017,92.8,742.94
Gold Creek,14/09/2017,92.6,741.74
Gold Creek,15/09/2017,92.3,739.54
Gold Creek,16/09/2017,92.2,738.83
Gold Creek,17/09/2017,92,737.23
Gold Creek,18/09/2017,91.9,736.35
Gold Creek,19/09/2017,91.8,735.29
Gold Creek,20/09/2017,91.6,734.06
Gold Creek,21/09/2017,91.5,732.83
