Name,Date,Last Observation (%),Last Observation (ML)
"Hinze","04-03-2017","92.1","286034.99"
"Hinze","05-03-2017","92","285974.79"
"Hinze","06-03-2017","92","285898.06"
"Hinze","07-03-2017","91.8","285370.9"
"Hinze","08-03-2017","91.8","285150.33"
"Hinze","09-03-2017","91.7","284888.49"
"Hinze","10-03-2017","91.6","284705.81"
"Hinze","11-03-2017","91.6","284488.84"
"Hinze","12-03-2017","91.5","284316.5"
"Hinze","13-03-2017","91.5","284233.34"
"Hinze","14-03-2017","91.5","284420.08"
"Hinze","15-03-2017","92.2","286475.56"
"Hinze","16-03-2017","92.6","287809.49"
"Hinze","17-03-2017","92.7","287992.52"
"Hinze","18-03-2017","92.7","288184.75"
"Hinze","19-03-2017","93.9","291853.55"
"Hinze","20-03-2017","97.6","303216.93"
"Hinze","21-03-2017","99.3","308631.2"
"Hinze","22-03-2017","100.4","311921.07"
"Hinze","23-03-2017","101","313871.6"
"Hinze","24-03-2017","101.3","314781.67"
"Hinze","25-03-2017","101.5","315443.56"
"Hinze","26-03-2017","101.6","315698.85"
"Hinze","27-03-2017","101.6","315665.44"
"Hinze","28-03-2017","101.6","315566.92"
"Hinze","29-03-2017","101.9","316609.94"
"Hinze","30-03-2017","126.8","394043.2"
"Hinze","31-03-2017","126","391365.37"
"Hinze","01-04-2017","120.6","374586.68"
"Hinze","02-04-2017","116.5","362123.73"
"Hinze","03-04-2017","113.5","352684.95"
"Hinze","04-04-2017","111.1","345351.44"
"Hinze","05-04-2017","109.4","339992.56"
"Hinze","06-04-2017","108","335659.13"
"Hinze","07-04-2017","107","332343.62"
"Hinze","08-04-2017","106.1","329742.64"
"Hinze","09-04-2017","105.4","327430.83"
"Hinze","10-04-2017","104.7","325447.02"
"Hinze","11-04-2017","104.3","324031.16"
"Hinze","12-04-2017","103.8","322566.63"
"Hinze","13-04-2017","103.4","321274.47"
"Hinze","14-04-2017","103.1","320268.42"
"Hinze","15-04-2017","102.8","319315.31"
"Hinze","16-04-2017","102.5","318635.76"
"Hinze","17-04-2017","102.3","317784.19"
"Hinze","18-04-2017","102.1","317262.81"
"Hinze","19-04-2017","101.9","316595.13"
"Hinze","20-04-2017","101.7","316092.38"
"Hinze","21-04-2017","101.6","315708.76"
"Hinze","22-04-2017","101.5","315349.35"
"Hinze","23-04-2017","101.4","314987.44"
"Hinze","24-04-2017","101.3","314644.5"
"Hinze","25-04-2017","101.2","314363.46"
"Hinze","26-04-2017","101.1","314079.22"
"Hinze","27-04-2017","101","313856.93"
"Hinze","28-04-2017","100.9","313387.69"
"Hinze","29-04-2017","100.8","313192.67"
"Hinze","30-04-2017","100.7","312899.07"
"Hinze","01-05-2017","100.7","312752.47"
"Hinze","02-05-2017","100.6","312536.01"
"Hinze","03-05-2017","100.5","312199.91"
"Hinze","04-05-2017","100.4","312023.82"
"Hinze","05-05-2017","100.4","311935.75"
"Hinze","06-05-2017","100.4","311818.29"
"Hinze","07-05-2017","100.3","311568.6"
"Hinze","08-05-2017","100.3","311700.81"
"Hinze","09-05-2017","100.3","311553.91"
"Hinze","10-05-2017","100.2","311362.84"
"Hinze","11-05-2017","100.2","311406.94"
"Hinze","12-05-2017","100.2","311282.02"
"Hinze","13-05-2017","100.2","311465.74"
"Hinze","14-05-2017","100.2","311297.87"
"Hinze","15-05-2017","100.2","311291.19"
"Hinze","16-05-2017","100.1","311156.96"
"Hinze","17-05-2017","100.1","311067.55"
"Hinze","18-05-2017","100.1","311009.81"
"Hinze","19-05-2017","100.3","311671.43"
"Hinze","20-05-2017","100.4","312097.2"
"Hinze","21-05-2017","100.4","311999.13"
"Hinze","22-05-2017","100.3","311744.87"
"Hinze","23-05-2017","100.3","311717.3"
"Hinze","24-05-2017","100.3","311715.5"
"Hinze","25-05-2017","100.3","311612.67"
"Hinze","26-05-2017","100.2","311417.54"
"Hinze","27-05-2017","100.2","311320.37"
"Hinze","28-05-2017","100.2","311289.33"
"Hinze","29-05-2017","100.1","311090.07"
"Hinze","30-05-2017","100.1","311099.76"
"Hinze","31-05-2017","100.1","310906.75"
"Hinze","01-06-2017","100","310717.33"
"Hinze","02-06-2017","100","310745.42"
"Hinze","03-06-2017","99.9","310524.22"
"Hinze","04-06-2017","99.9","310331.85"
"Hinze","05-06-2017","99.9","310458.07"
"Hinze","06-06-2017","99.8","310228.54"
"Hinze","07-06-2017","99.8","310169.48"
"Hinze","08-06-2017","99.8","310036.57"
"Hinze","09-06-2017","99.7","309770.6"
"Hinze","10-06-2017","99.7","309755.82"
"Hinze","11-06-2017","100.6","312669.28"
"Hinze","12-06-2017","100.8","313255.74"
"Hinze","13-06-2017","101.5","315502.47"
"Hinze","14-06-2017","101.9","316595.13"
"Hinze","15-06-2017","102.2","317679.76"
"Hinze","16-06-2017","102.2","317575.41"
"Hinze","17-06-2017","102.2","317504.93"
"Hinze","18-06-2017","102.1","317185.47"
"Hinze","19-06-2017","102","316936.04"
"Hinze","20-06-2017","101.9","316595.13"
"Hinze","21-06-2017","101.8","316210.55"
"Hinze","22-06-2017","101.7","315930"
"Hinze","23-06-2017","101.6","315620.33"
"Hinze","24-06-2017","101.5","315318.77"
"Hinze","25-06-2017","101.3","314752.28"
