Name,Date,Last Observation (%),Last Observation (ML)
Lake Kurwongbah,04/03/2017,41.7,5913.63
Lake Kurwongbah,05/03/2017,42,5957.42
Lake Kurwongbah,06/03/2017,41.8,5931.43
Lake Kurwongbah,07/03/2017,41.6,5902.34
Lake Kurwongbah,08/03/2017,41.4,5871.78
Lake Kurwongbah,09/03/2017,41.2,5841.36
Lake Kurwongbah,10/03/2017,41,5812.66
Lake Kurwongbah,11/03/2017,40.8,5787.24
Lake Kurwongbah,12/03/2017,40.6,5766.65
Lake Kurwongbah,13/03/2017,40.4,5738.2
Lake Kurwongbah,14/03/2017,41,5819.03
Lake Kurwongbah,15/03/2017,41,5819.03
Lake Kurwongbah,16/03/2017,40.8,5795.18
Lake Kurwongbah,17/03/2017,40.6,5768.23
Lake Kurwongbah,18/03/2017,40.5,5753.99
Lake Kurwongbah,19/03/2017,40.5,5746.1
Lake Kurwongbah,20/03/2017,40.4,5738.2
Lake Kurwongbah,21/03/2017,40.9,5799.94
Lake Kurwongbah,22/03/2017,41.1,5831.78
Lake Kurwongbah,23/03/2017,41.2,5854.15
Lake Kurwongbah,24/03/2017,41.7,5918.48
Lake Kurwongbah,25/03/2017,41.8,5926.57
Lake Kurwongbah,26/03/2017,41.7,5916.87
Lake Kurwongbah,27/03/2017,41.6,5900.72
Lake Kurwongbah,28/03/2017,41.5,5891.06
Lake Kurwongbah,29/03/2017,41.4,5879.8
Lake Kurwongbah,30/03/2017,76,10781.91
Lake Kurwongbah,31/03/2017,84.9,12049.29
Lake Kurwongbah,01/04/2017,83.1,11789.85
Lake Kurwongbah,02/04/2017,80.7,11459.62
Lake Kurwongbah,03/04/2017,78.5,11144.54
Lake Kurwongbah,04/04/2017,76.7,10884.96
Lake Kurwongbah,05/04/2017,75.2,10674.2
Lake Kurwongbah,06/04/2017,73.8,10478.15
Lake Kurwongbah,07/04/2017,72.5,10291.24
Lake Kurwongbah,08/04/2017,71.4,10133.62
Lake Kurwongbah,09/04/2017,70.4,9996.55
Lake Kurwongbah,10/04/2017,69.6,9871.63
Lake Kurwongbah,11/04/2017,68.7,9753.15
Lake Kurwongbah,12/04/2017,68,9650.13
Lake Kurwongbah,13/04/2017,67.5,9583.38
Lake Kurwongbah,14/04/2017,67,9504.97
Lake Kurwongbah,15/04/2017,66.4,9429.2
Lake Kurwongbah,16/04/2017,65.9,9356.1
Lake Kurwongbah,17/04/2017,65.5,9295.02
Lake Kurwongbah,18/04/2017,65,9231.85
Lake Kurwongbah,19/04/2017,64.5,9152.71
