Name,Date,Last Observation (%),Last Observation (ML)
Lake Manchester,04/03/2017,91.7,24042.15
Lake Manchester,05/03/2017,91.7,24034.71
Lake Manchester,06/03/2017,91.6,24024.79
Lake Manchester,07/03/2017,91.6,24017.35
Lake Manchester,08/03/2017,91.5,23992.57
Lake Manchester,09/03/2017,91.5,23980.19
Lake Manchester,10/03/2017,91.4,23967.81
Lake Manchester,11/03/2017,91.4,23955.44
Lake Manchester,12/03/2017,91.3,23935.65
Lake Manchester,13/03/2017,91.3,23943.07
Lake Manchester,14/03/2017,91.3,23935.65
Lake Manchester,15/03/2017,91.4,23950.49
Lake Manchester,16/03/2017,91.4,23950.49
Lake Manchester,17/03/2017,91.3,23935.65
Lake Manchester,18/03/2017,91.3,23925.76
Lake Manchester,19/03/2017,91.3,23925.76
Lake Manchester,20/03/2017,91.5,23980.19
Lake Manchester,21/03/2017,91.5,23985.14
Lake Manchester,22/03/2017,91.7,24029.75
Lake Manchester,23/03/2017,91.7,24029.75
Lake Manchester,24/03/2017,91.6,24024.79
Lake Manchester,25/03/2017,91.6,24017.35
Lake Manchester,26/03/2017,91.6,24004.96
Lake Manchester,27/03/2017,91.5,23992.57
Lake Manchester,28/03/2017,91.5,23985.14
Lake Manchester,29/03/2017,91.5,23980.19
Lake Manchester,30/03/2017,110.5,28964.77
Lake Manchester,31/03/2017,103.8,27214.69
Lake Manchester,01/04/2017,101.7,26652.38
Lake Manchester,02/04/2017,100.9,26444.68
Lake Manchester,03/04/2017,100.6,26372.18
Lake Manchester,04/04/2017,100.4,26323.94
Lake Manchester,05/04/2017,100.3,26297.17
Lake Manchester,06/04/2017,100.3,26297.17
Lake Manchester,07/04/2017,100.2,26275.77
Lake Manchester,08/04/2017,100.2,26265.08
Lake Manchester,09/04/2017,100.2,26257.06
Lake Manchester,10/04/2017,100.1,26238.36
Lake Manchester,11/04/2017,100.1,26230.35
Lake Manchester,12/04/2017,100,26222.34
Lake Manchester,13/04/2017,100,26211.66
Lake Manchester,14/04/2017,100,26217
Lake Manchester,15/04/2017,100,26211.66
Lake Manchester,16/04/2017,99.9,26195.66
Lake Manchester,17/04/2017,99.9,26190.32
Lake Manchester,18/04/2017,99.8,26176.99
Lake Manchester,19/04/2017,99.8,26169
Lake Manchester,20/04/2017,99.8,26158.34
Lake Manchester,21/04/2017,99.7,26150.35
Lake Manchester,22/04/2017,99.7,26150.35
Lake Manchester,23/04/2017,99.7,26142.36
Lake Manchester,24/04/2017,99.7,26137.04
Lake Manchester,25/04/2017,99.7,26131.72
Lake Manchester,26/04/2017,99.7,26131.72
Lake Manchester,27/04/2017,99.6,26115.75
Lake Manchester,28/04/2017,99.6,26105.11
Lake Manchester,29/04/2017,99.5,26097.14
Lake Manchester,30/04/2017,99.5,26089.16
Lake Manchester,01/05/2017,99.5,26083.85
Lake Manchester,02/05/2017,99.5,26078.53
Lake Manchester,03/05/2017,99.4,26070.56
Lake Manchester,04/05/2017,99.4,26057.29
Lake Manchester,05/05/2017,99.4,26051.98
Lake Manchester,06/05/2017,99.3,26044.01
Lake Manchester,07/05/2017,99.3,26036.05
Lake Manchester,08/05/2017,99.3,26036.05
Lake Manchester,09/05/2017,99.4,26057.29
Lake Manchester,10/05/2017,99.4,26051.98
Lake Manchester,11/05/2017,99.3,26044.01
Lake Manchester,12/05/2017,99.3,26036.05
Lake Manchester,13/05/2017,99.3,26036.05
Lake Manchester,14/05/2017,99.3,26036.05
Lake Manchester,15/05/2017,99.3,26036.05
Lake Manchester,16/05/2017,99.3,26025.44
Lake Manchester,17/05/2017,99.2,26017.49
Lake Manchester,18/05/2017,99.2,26009.53
Lake Manchester,19/05/2017,99.3,26030.75
Lake Manchester,20/05/2017,99.3,26036.05
Lake Manchester,21/05/2017,99.3,26036.05
Lake Manchester,22/05/2017,99.3,26030.75
Lake Manchester,23/05/2017,99.3,26025.44
Lake Manchester,24/05/2017,99.3,26025.44
Lake Manchester,25/05/2017,99.2,26017.49
Lake Manchester,26/05/2017,99.2,26009.53
Lake Manchester,27/05/2017,99.2,26004.23
Lake Manchester,28/05/2017,99.2,25998.93
Lake Manchester,29/05/2017,99.1,25990.98
Lake Manchester,30/05/2017,99.1,25983.04
Lake Manchester,31/05/2017,99.1,25972.44
Lake Manchester,01/06/2017,99,25956.56
Lake Manchester,02/06/2017,99,25945.98
Lake Manchester,03/06/2017,98.9,25938.04
Lake Manchester,04/06/2017,98.9,25930.11
Lake Manchester,05/06/2017,98.9,25924.82
Lake Manchester,06/06/2017,98.9,25919.54
Lake Manchester,07/06/2017,98.8,25903.68
Lake Manchester,08/06/2017,98.8,25893.12
Lake Manchester,09/06/2017,98.7,25885.19
Lake Manchester,10/06/2017,98.8,25911.61
Lake Manchester,11/06/2017,99,25956.56
Lake Manchester,12/06/2017,99.1,25990.98
Lake Manchester,13/06/2017,99.3,26025.44
Lake Manchester,14/06/2017,99.4,26057.29
Lake Manchester,15/06/2017,99.5,26078.53
Lake Manchester,16/06/2017,99.5,26097.14
Lake Manchester,17/06/2017,99.6,26105.11
Lake Manchester,18/06/2017,99.6,26110.43
Lake Manchester,19/06/2017,99.6,26105.11
Lake Manchester,20/06/2017,99.6,26105.11
Lake Manchester,21/06/2017,99.6,26105.11
Lake Manchester,22/06/2017,99.5,26097.14
Lake Manchester,23/06/2017,99.5,26097.14
Lake Manchester,24/06/2017,99.5,26089.16
Lake Manchester,25/06/2017,99.5,26089.16
Lake Manchester,26/06/2017,99.5,26083.85
Lake Manchester,27/06/2017,99.5,26083.85
Lake Manchester,28/06/2017,99.5,26078.53
Lake Manchester,29/06/2017,99.5,26078.53
Lake Manchester,30/06/2017,99.5,26083.85
Lake Manchester,01/07/2017,99.5,26078.53
Lake Manchester,02/07/2017,99.4,26070.56
Lake Manchester,03/07/2017,99.4,26062.6
Lake Manchester,04/07/2017,99.4,26062.6
Lake Manchester,05/07/2017,99.5,26078.53
Lake Manchester,06/07/2017,99.5,26078.53
