Name,Date,Last Observation (%),Last Observation (ML)
Lake Samsonvale,4/3/17,51.9,111280.14
Lake Samsonvale,5/3/17,52,111486.68
Lake Samsonvale,6/3/17,51.9,111307.66
Lake Samsonvale,7/3/17,51.8,111115.1
Lake Samsonvale,8/3/17,51.7,110895.3
Lake Samsonvale,9/3/17,51.7,110730.65
Lake Samsonvale,10/3/17,51.6,110525.07
Lake Samsonvale,11/3/17,51.5,110319.76
Lake Samsonvale,12/3/17,51.4,110210.37
Lake Samsonvale,13/3/17,51.4,110073.73
Lake Samsonvale,14/3/17,51.6,110608.52
Lake Samsonvale,15/3/17,51.6,110662.09
Lake Samsonvale,16/3/17,51.6,110525.07
Lake Samsonvale,17/3/17,51.5,110456.61
Lake Samsonvale,18/3/17,51.5,110319.76
Lake Samsonvale,19/3/17,51.4,110251.38
Lake Samsonvale,20/3/17,51.6,110593.57
Lake Samsonvale,21/3/17,51.6,110662.09
Lake Samsonvale,22/3/17,51.7,110840.4
Lake Samsonvale,23/3/17,51.7,110703.22
Lake Samsonvale,24/3/17,51.7,110895.3
Lake Samsonvale,25/3/17,51.7,110758.08
Lake Samsonvale,26/3/17,51.6,110620.98
Lake Samsonvale,27/3/17,51.6,110483.99
Lake Samsonvale,28/3/17,51.5,110347.12
Lake Samsonvale,29/3/17,51.5,110429.23
Lake Samsonvale,30/3/17,68.5,146853.55
Lake Samsonvale,31/3/17,72.8,156097.55
Lake Samsonvale,1/4/17,73.2,156935.02
Lake Samsonvale,2/4/17,73.4,157202.62
Lake Samsonvale,3/4/17,73.4,157249.86
Lake Samsonvale,4/4/17,73.4,157197.36
Lake Samsonvale,5/4/17,73.3,157109.88
Lake Samsonvale,6/4/17,73.3,157074.89
Lake Samsonvale,7/4/17,73.3,157074.89
Lake Samsonvale,8/4/17,73.3,157022.43
Lake Samsonvale,9/4/17,73.2,156969.98
Lake Samsonvale,10/4/17,73.2,156935.02
Lake Samsonvale,11/4/17,73.1,156620.61
Lake Samsonvale,12/4/17,73,156498.46
Lake Samsonvale,13/4/17,73,156376.37
Lake Samsonvale,14/4/17,72.9,156271.77
Lake Samsonvale,15/4/17,72.8,156097.55
Lake Samsonvale,16/4/17,72.8,156027.9
Lake Samsonvale,17/4/17,72.7,155888.67
Lake Samsonvale,18/4/17,72.7,155714.74
Lake Samsonvale,19/4/17,72.6,155540.95
Lake Samsonvale,20/4/17,72.5,155402.01
Lake Samsonvale,21/4/17,72.4,155228.46
Lake Samsonvale,22/4/17,72.4,155159.08
Lake Samsonvale,23/4/17,72.3,155020.38
Lake Samsonvale,24/4/17,72.3,154881.76
