Name,Date,Last Observation (%),Last Observation (ML)
Leslie Harrison,04/03/2017,65.8,8692.86
Leslie Harrison,05/03/2017,66,8709.62
Leslie Harrison,06/03/2017,65.8,8695.93
Leslie Harrison,07/03/2017,65.7,8677.4
Leslie Harrison,08/03/2017,65.5,8644.61
Leslie Harrison,09/03/2017,65.4,8633.59
Leslie Harrison,10/03/2017,65.2,8607.59
Leslie Harrison,11/03/2017,64.9,8568.85
Leslie Harrison,12/03/2017,64.8,8558.24
Leslie Harrison,13/03/2017,64.8,8561.14
Leslie Harrison,14/03/2017,64.6,8530.85
Leslie Harrison,15/03/2017,64.7,8537.88
Leslie Harrison,16/03/2017,64.5,8522.12
Leslie Harrison,17/03/2017,64.7,8549.9
Leslie Harrison,18/03/2017,64.8,8559.04
Leslie Harrison,19/03/2017,65.1,8595.23
Leslie Harrison,20/03/2017,65.6,8667.04
Leslie Harrison,21/03/2017,66.6,8794.54
Leslie Harrison,22/03/2017,66.7,8808.11
Leslie Harrison,23/03/2017,66.8,8817.45
Leslie Harrison,24/03/2017,67.5,8907.89
Leslie Harrison,25/03/2017,67.7,8934.46
Leslie Harrison,26/03/2017,67.8,8958.95
Leslie Harrison,27/03/2017,67.7,8940.46
Leslie Harrison,28/03/2017,67.6,8928.43
Leslie Harrison,29/03/2017,67.7,8937.86
Leslie Harrison,30/03/2017,124.7,16471.68
Leslie Harrison,31/03/2017,109.1,14404.09
Leslie Harrison,01/04/2017,104.1,13746.53
Leslie Harrison,02/04/2017,102.3,13513.74
Leslie Harrison,03/04/2017,101.5,13403.6
Leslie Harrison,04/04/2017,101,13334
Leslie Harrison,05/04/2017,100.6,13290.43
Leslie Harrison,06/04/2017,100.6,13278.8
Leslie Harrison,07/04/2017,100.4,13255.53
Leslie Harrison,08/04/2017,100.2,13229.32
Leslie Harrison,09/04/2017,100.1,13220.58
Leslie Harrison,10/04/2017,100.1,13214.75
Leslie Harrison,11/04/2017,99.8,13179.73
Leslie Harrison,12/04/2017,99.7,13165.11
Leslie Harrison,13/04/2017,99.6,13153.42
Leslie Harrison,14/04/2017,99.5,13144.64
Leslie Harrison,15/04/2017,99.5,13135.86
Leslie Harrison,16/04/2017,99.4,13121.22
Leslie Harrison,17/04/2017,99.2,13106.58
Leslie Harrison,18/04/2017,99.1,13091.93
Leslie Harrison,19/04/2017,99,13077.27
Leslie Harrison,20/04/2017,98.9,13062.61
Leslie Harrison,21/04/2017,98.8,13047.94
Leslie Harrison,22/04/2017,98.8,13050.87
Leslie Harrison,23/04/2017,98.7,13036.2
Leslie Harrison,24/04/2017,98.7,13030.33
Leslie Harrison,25/04/2017,98.6,13018.59
Leslie Harrison,26/04/2017,98.6,13018.59
Leslie Harrison,27/04/2017,98.4,13000.98
Leslie Harrison,28/04/2017,98.3,12986.31
Leslie Harrison,29/04/2017,98.2,12962.82
Leslie Harrison,30/04/2017,98.1,12951.08
Leslie Harrison,01/05/2017,98,12942.27
Leslie Harrison,02/05/2017,97.9,12930.53
Leslie Harrison,03/05/2017,97.8,12918.79
Leslie Harrison,04/05/2017,97.7,12907.05
Leslie Harrison,05/05/2017,97.6,12886.52
Leslie Harrison,06/05/2017,97.5,12874.79
Leslie Harrison,07/05/2017,97.4,12860.13
Leslie Harrison,08/05/2017,97.6,12889.45
Leslie Harrison,09/05/2017,97.5,12871.86
Leslie Harrison,10/05/2017,97.5,12874.79
Leslie Harrison,11/05/2017,97.4,12865.99
Leslie Harrison,12/05/2017,97.3,12851.34
Leslie Harrison,13/05/2017,97.2,12839.62
Leslie Harrison,14/05/2017,97.2,12842.55
Leslie Harrison,15/05/2017,97.2,12836.69
Leslie Harrison,16/05/2017,97.1,12822.04
Leslie Harrison,17/05/2017,97,12807.41
Leslie Harrison,18/05/2017,96.9,12798.63
Leslie Harrison,19/05/2017,97,12816.19
Leslie Harrison,20/05/2017,97,12813.26
Leslie Harrison,21/05/2017,97,12804.48
Leslie Harrison,22/05/2017,96.9,12795.71
Leslie Harrison,23/05/2017,96.8,12781.09
Leslie Harrison,24/05/2017,96.7,12769.4
Leslie Harrison,25/05/2017,96.6,12754.8
Leslie Harrison,26/05/2017,96.5,12740.21
Leslie Harrison,27/05/2017,96.4,12728.55
Leslie Harrison,28/05/2017,96.3,12716.89
Leslie Harrison,29/05/2017,96.2,12705.24
Leslie Harrison,30/05/2017,96.1,12690.69
Leslie Harrison,31/05/2017,96,12673.26
Leslie Harrison,01/06/2017,95.8,12650.04
Leslie Harrison,02/06/2017,95.7,12632.65
Leslie Harrison,03/06/2017,95.5,12615.29
Leslie Harrison,04/06/2017,95.4,12600.85
Leslie Harrison,05/06/2017,95.3,12586.42
Leslie Harrison,06/06/2017,95.2,12572.01
Leslie Harrison,07/06/2017,95,12546.12
Leslie Harrison,08/06/2017,94.9,12534.64
Leslie Harrison,09/06/2017,94.8,12517.45
Leslie Harrison,10/06/2017,94.7,12506
Leslie Harrison,11/06/2017,95.4,12595.07
Leslie Harrison,12/06/2017,95.7,12635.55
Leslie Harrison,13/06/2017,96.2,12705.24
Leslie Harrison,14/06/2017,98.2,12974.56
Leslie Harrison,15/06/2017,98.9,13065.54
Leslie Harrison,16/06/2017,99.2,13097.79
Leslie Harrison,17/06/2017,99.3,13115.37
Leslie Harrison,18/06/2017,99.4,13121.22
Leslie Harrison,19/06/2017,99.3,13112.44
Leslie Harrison,20/06/2017,99.2,13103.65
Leslie Harrison,21/06/2017,99.1,13091.93
Leslie Harrison,22/06/2017,99.1,13083.13
Leslie Harrison,23/06/2017,99,13074.34
Leslie Harrison,24/06/2017,98.9,13062.61
Leslie Harrison,25/06/2017,98.9,13056.74
Leslie Harrison,26/06/2017,98.8,13045.01
Leslie Harrison,27/06/2017,98.7,13039.14
Leslie Harrison,28/06/2017,98.6,13027.4
