Name,Date,Last Observation (%),Last Observation (ML)
Little Nerang,04/03/2017,94.7,6352.19
Little Nerang,05/03/2017,95,6372.14
Little Nerang,06/03/2017,95.1,6374.19
Little Nerang,07/03/2017,95,6367.02
Little Nerang,08/03/2017,94.9,6362.41
Little Nerang,09/03/2017,94.8,6358.32
Little Nerang,10/03/2017,94.9,6364.97
Little Nerang,11/03/2017,95,6370.09
Little Nerang,12/03/2017,95,6371.11
Little Nerang,13/03/2017,95.2,6385.49
Little Nerang,14/03/2017,95.4,6398.35
Little Nerang,15/03/2017,103.2,6918.64
Little Nerang,16/03/2017,100.9,6762.63
Little Nerang,17/03/2017,100.5,6736.19
Little Nerang,18/03/2017,101.5,6804.48
Little Nerang,19/03/2017,101.9,6830.43
Little Nerang,20/03/2017,103.8,6961.61
Little Nerang,21/03/2017,102.1,6844.19
Little Nerang,22/03/2017,101.8,6824.19
Little Nerang,23/03/2017,101.5,6804.03
Little Nerang,24/03/2017,101.3,6790.03
Little Nerang,25/03/2017,101,6774.55
Little Nerang,26/03/2017,100.8,6760.32
Little Nerang,27/03/2017,100.8,6761.7
Little Nerang,28/03/2017,100.7,6755.25
Little Nerang,29/03/2017,101.9,6829.98
Little Nerang,30/03/2017,125.2,8397.27
Little Nerang,31/03/2017,103.1,6910.81
Little Nerang,01/04/2017,101.9,6833.99
Little Nerang,02/04/2017,101.4,6799.97
Little Nerang,03/04/2017,101.3,6790.93
Little Nerang,04/04/2017,101.4,6796.36
Little Nerang,05/04/2017,101.3,6793.2
Little Nerang,06/04/2017,101.2,6788.21
Little Nerang,07/04/2017,101.2,6785.94
Little Nerang,08/04/2017,101.1,6776.38
Little Nerang,09/04/2017,101.1,6775.92
Little Nerang,10/04/2017,101,6771.35
Little Nerang,11/04/2017,101,6774.55
Little Nerang,12/04/2017,101.1,6776.83
Little Nerang,13/04/2017,101.1,6776.38
Little Nerang,14/04/2017,101,6773.27
Little Nerang,15/04/2017,101,6773.64
Little Nerang,16/04/2017,101,6769.51
Little Nerang,17/04/2017,100.9,6768.14
Little Nerang,18/04/2017,100.9,6765.84
Little Nerang,19/04/2017,100.8,6758.02
Little Nerang,20/04/2017,100.8,6757.56
Little Nerang,21/04/2017,100.8,6756.17
Little Nerang,22/04/2017,100.7,6754.78
Little Nerang,23/04/2017,100.7,6752.47
Little Nerang,24/04/2017,100.7,6750.62
Little Nerang,25/04/2017,100.6,6747.83
Little Nerang,26/04/2017,100.7,6749.69
Little Nerang,27/04/2017,100.6,6746.91
Little Nerang,28/04/2017,100.6,6743.37
Little Nerang,29/04/2017,100.5,6740.86
Little Nerang,30/04/2017,100.6,6743.19
Little Nerang,01/05/2017,100.6,6745.51
Little Nerang,02/05/2017,100.5,6741.79
Little Nerang,03/05/2017,100.5,6735.72
Little Nerang,04/05/2017,100.5,6737.12
Little Nerang,05/05/2017,100.2,6719.26
Little Nerang,06/05/2017,99.9,6698.3
Little Nerang,07/05/2017,99.5,6670.71
Little Nerang,08/05/2017,98.9,6633.75
Little Nerang,09/05/2017,99.2,6650.1
Little Nerang,10/05/2017,98.7,6617.28
Little Nerang,11/05/2017,98.1,6579.46
Little Nerang,12/05/2017,97.7,6551.44
Little Nerang,13/05/2017,97.1,6512.68
Little Nerang,14/05/2017,96.8,6487.16
Little Nerang,15/05/2017,96.3,6454.61
Little Nerang,16/05/2017,95.9,6431.36
Little Nerang,17/05/2017,95.5,6404.01
Little Nerang,18/05/2017,95.5,6402.47
Little Nerang,19/05/2017,96.9,6494.39
Little Nerang,20/05/2017,97.8,6556.04
Little Nerang,21/05/2017,98,6569.8
Little Nerang,22/05/2017,97.8,6555.53
Little Nerang,23/05/2017,97.3,6526.32
Little Nerang,24/05/2017,96.8,6487.16
Little Nerang,25/05/2017,96.4,6460.82
Little Nerang,26/05/2017,95.8,6422.58
Little Nerang,27/05/2017,95.3,6391.14
Little Nerang,28/05/2017,94.8,6354.74
Little Nerang,29/05/2017,94.1,6309.07
Little Nerang,30/05/2017,93.7,6282.5
Little Nerang,31/05/2017,93.1,6242.02
Little Nerang,01/06/2017,92.7,6218.25
Little Nerang,02/06/2017,92,6165.32
Little Nerang,03/06/2017,91.2,6117
Little Nerang,04/06/2017,90.5,6064.91
Little Nerang,05/06/2017,89.6,6006.62
Little Nerang,06/06/2017,88.9,5961.27
Little Nerang,07/06/2017,88.5,5936.24
Little Nerang,08/06/2017,88.5,5934.66
Little Nerang,09/06/2017,88.7,5947.53
Little Nerang,10/06/2017,89.2,5980.5
Little Nerang,11/06/2017,93.5,6267.1
Little Nerang,12/06/2017,96.2,6448.41
Little Nerang,13/06/2017,101.7,6816.6
Little Nerang,14/06/2017,101.6,6812.56
Little Nerang,15/06/2017,101.2,6788.67
Little Nerang,16/06/2017,101,6772.72
Little Nerang,17/06/2017,101,6773.64
Little Nerang,18/06/2017,100.8,6758.48
Little Nerang,19/06/2017,100.8,6756.17
Little Nerang,20/06/2017,100.8,6755.71
Little Nerang,21/06/2017,100.8,6755.71
Little Nerang,22/06/2017,100.7,6748.76
Little Nerang,23/06/2017,100.6,6744.58
Little Nerang,24/06/2017,100.6,6746.44
Little Nerang,25/06/2017,100.6,6742.72
Little Nerang,26/06/2017,100.5,6741.79
Little Nerang,27/06/2017,100.5,6741.79
