Name,Date,Last Observation (%),Last Observation (ML)
Poona,04/03/2017,82.1,537.74
Poona,05/03/2017,82.5,540.69
Poona,06/03/2017,82.8,542.61
Poona,07/03/2017,82.6,540.86
Poona,08/03/2017,82,537.14
Poona,09/03/2017,82.4,539.94
Poona,10/03/2017,82.5,540.56
Poona,11/03/2017,82.5,540.26
Poona,12/03/2017,82.9,543.12
Poona,13/03/2017,83.1,544.24
Poona,14/03/2017,84.5,553.69
Poona,15/03/2017,83.7,548.09
Poona,16/03/2017,82,537.03
Poona,17/03/2017,80.1,524.48
Poona,18/03/2017,79.1,517.81
Poona,19/03/2017,79.2,518.75
Poona,20/03/2017,79.2,518.6
Poona,21/03/2017,77,504.38
Poona,22/03/2017,77.3,506.63
Poona,23/03/2017,77.5,507.54
Poona,24/03/2017,77.6,507.99
Poona,25/03/2017,77.9,510.25
Poona,26/03/2017,77.2,505.6
Poona,27/03/2017,76.7,502.3
Poona,28/03/2017,77.7,508.76
Poona,29/03/2017,79,517.4
Poona,30/03/2017,88.5,579.37
Poona,31/03/2017,86.4,565.77
Poona,01/04/2017,83.6,547.54
Poona,02/04/2017,81.3,532.77
Poona,03/04/2017,78.7,515.26
Poona,04/04/2017,76.9,503.54
Poona,05/04/2017,76.6,502.05
Poona,06/04/2017,76.9,503.4
Poona,07/04/2017,77.6,508.2
Poona,08/04/2017,78.2,512.48
Poona,09/04/2017,79,517.44
Poona,10/04/2017,79.2,518.99
Poona,11/04/2017,79.4,519.77
Poona,12/04/2017,79.6,521.47
Poona,13/04/2017,80.1,524.42
Poona,14/04/2017,80.5,527.05
Poona,15/04/2017,80.3,525.97
Poona,16/04/2017,80.2,525.35
Poona,17/04/2017,79.9,523.33
Poona,18/04/2017,79.4,520.39
Poona,19/04/2017,78.9,516.82
Poona,20/04/2017,79.6,521.47
Poona,21/04/2017,79.6,521.63
Poona,22/04/2017,79.8,522.56
Poona,23/04/2017,79.9,523.18
Poona,24/04/2017,79.6,521.47
Poona,25/04/2017,79.6,521.32
Poona,26/04/2017,79.5,521.01
Poona,27/04/2017,79.3,519.61
Poona,28/04/2017,79,517.13
Poona,29/04/2017,78.8,516.2
Poona,30/04/2017,78.5,513.88
Poona,01/05/2017,78.3,512.79
Poona,02/05/2017,77.9,510
Poona,03/05/2017,77.5,507.3
Poona,04/05/2017,77.2,505.35
Poona,05/05/2017,76.7,502.35
Poona,06/05/2017,77.7,509.1
Poona,07/05/2017,79.4,520.08
Poona,08/05/2017,80.3,526.28
Poona,09/05/2017,80.1,524.73
Poona,10/05/2017,80.9,530.15
Poona,11/05/2017,81.4,533.41
Poona,12/05/2017,81.8,535.89
Poona,13/05/2017,80.9,529.84
Poona,14/05/2017,80.1,524.73
Poona,15/05/2017,80.2,525.5
Poona,16/05/2017,79.6,521.63
Poona,17/05/2017,78.4,513.41
Poona,18/05/2017,78.7,515.27
Poona,19/05/2017,80.2,525.04
Poona,20/05/2017,80,523.8
Poona,21/05/2017,79.9,523.33
Poona,22/05/2017,79.7,521.78
Poona,23/05/2017,79.1,518.22
Poona,24/05/2017,79.1,517.91
Poona,25/05/2017,78.6,514.96
Poona,26/05/2017,78.6,514.81
Poona,27/05/2017,78.9,516.51
Poona,28/05/2017,79,517.13
Poona,29/05/2017,79,517.13
Poona,30/05/2017,78.7,515.43
Poona,31/05/2017,78.7,515.27
Poona,01/06/2017,78.4,513.41
Poona,02/06/2017,78.6,515.12
Poona,03/06/2017,79.5,520.7
Poona,04/06/2017,79.8,522.4
Poona,05/06/2017,79.7,521.76
Poona,06/06/2017,79.7,522.09
Poona,07/06/2017,80,523.8
Poona,08/06/2017,79.9,523.49
Poona,09/06/2017,80.2,525.19
Poona,10/06/2017,80.1,524.42
Poona,11/06/2017,80.4,526.43
Poona,12/06/2017,79.8,522.4
Poona,13/06/2017,78.7,515.22
Poona,14/06/2017,78.4,513.41
Poona,15/06/2017,79.9,523.64
Poona,16/06/2017,80.8,529.22
Poona,17/06/2017,81.7,535.42
Poona,18/06/2017,82.3,539.14
Poona,19/06/2017,82.8,542.22
Poona,20/06/2017,82.7,541.8
Poona,21/06/2017,83.2,544.84
Poona,22/06/2017,83.7,548.52
Poona,23/06/2017,84.3,552.2
Poona,24/06/2017,85.6,560.36
Poona,25/06/2017,86.8,568.52
Poona,26/06/2017,86.6,567.08
Poona,27/06/2017,86,563.08
Poona,28/06/2017,85.9,562.44
Poona,29/06/2017,86.3,565.16
Poona,30/06/2017,86.8,568.52
Poona,01/07/2017,85.6,560.52
Poona,02/07/2017,85,556.68
Poona,03/07/2017,84.4,553
Poona,04/07/2017,84,550.28
Poona,05/07/2017,84.7,554.92
Poona,06/07/2017,85,556.87
Poona,07/07/2017,85.7,561.16
Poona,08/07/2017,87.5,573.16
Poona,09/07/2017,89.4,585.64
Poona,10/07/2017,90,589.48
Poona,11/07/2017,90.8,594.6
Poona,12/07/2017,91.4,598.92
Poona,13/07/2017,92.1,603.08
Poona,14/07/2017,92.7,607.38
Poona,15/07/2017,94.6,619.62
Poona,16/07/2017,96.5,632.03
Poona,17/07/2017,96.8,633.9
Poona,18/07/2017,96.4,631.18
Poona,19/07/2017,95.8,627.61
Poona,20/07/2017,95.7,626.76
Poona,21/07/2017,96.2,630.33
Poona,22/07/2017,97.6,639
Poona,23/07/2017,98.2,643
Poona,24/07/2017,97,635.43
Poona,25/07/2017,95.1,622.68
Poona,26/07/2017,93,609.08
Poona,27/07/2017,91.6,599.88
Poona,28/07/2017,89.6,586.76
Poona,29/07/2017,88.9,582.28
Poona,30/07/2017,89,582.76
Poona,31/07/2017,87,569.96
Poona,01/08/2017,85,556.68
Poona,02/08/2017,83.2,544.68
Poona,03/08/2017,81.4,532.94
Poona,04/08/2017,80.5,527.52
