Name,Date,Last Observation (%),Last Observation (ML)
"Wyaralong","04-03-2017","97","99823.95"
"Wyaralong","05-03-2017","97.3","100122.92"
"Wyaralong","06-03-2017","97.7","100517.23"
"Wyaralong","07-03-2017","97.8","100590.37"
"Wyaralong","08-03-2017","97.7","100472.64"
"Wyaralong","09-03-2017","97.6","100366.92"
"Wyaralong","10-03-2017","97.5","100320.83"
"Wyaralong","11-03-2017","97.4","100250.93"
"Wyaralong","12-03-2017","97.4","100157.27"
"Wyaralong","13-03-2017","97.4","100242.14"
"Wyaralong","14-03-2017","97.4","100184.18"
"Wyaralong","15-03-2017","97.5","100292.88"
"Wyaralong","16-03-2017","97.5","100294.44"
"Wyaralong","17-03-2017","97.6","100367.47"
"Wyaralong","18-03-2017","97.5","100309.46"
"Wyaralong","19-03-2017","97.7","100465.95"
"Wyaralong","20-03-2017","98.7","101544.9"
"Wyaralong","21-03-2017","101.7","104617.04"
"Wyaralong","22-03-2017","102.2","105097.72"
"Wyaralong","23-03-2017","101.5","104387.05"
"Wyaralong","24-03-2017","102.6","105557.09"
"Wyaralong","25-03-2017","102.1","105016.39"
"Wyaralong","26-03-2017","101.3","104232.86"
"Wyaralong","27-03-2017","100.9","103782.38"
"Wyaralong","28-03-2017","100.6","103479.41"
"Wyaralong","29-03-2017","100.4","103310.72"
"Wyaralong","30-03-2017","113.4","116668.19"
"Wyaralong","31-03-2017","112.1","115371.46"
"Wyaralong","01-04-2017","104.7","107696.96"
"Wyaralong","02-04-2017","102.4","105361.95"
"Wyaralong","03-04-2017","101.5","104441.67"
"Wyaralong","04-04-2017","101.1","104002.64"
"Wyaralong","05-04-2017","100.9","103772.35"
"Wyaralong","06-04-2017","100.7","103566.78"
"Wyaralong","07-04-2017","100.5","103397.99"
"Wyaralong","08-04-2017","100.4","103277.99"
"Wyaralong","09-04-2017","100.3","103170.25"
"Wyaralong","10-04-2017","100.2","103135.41"
"Wyaralong","11-04-2017","100.2","103052.03"
"Wyaralong","12-04-2017","100","102920.2"
"Wyaralong","13-04-2017","100","102897.54"
"Wyaralong","14-04-2017","100","102899.13"
"Wyaralong","15-04-2017","100","102876.47"
"Wyaralong","16-04-2017","100","102926.54"
"Wyaralong","17-04-2017","100","102879.64"
"Wyaralong","18-04-2017","100","102893.35"
"Wyaralong","19-04-2017","100","102882.81"
"Wyaralong","20-04-2017","99.9","102823.81"
"Wyaralong","21-04-2017","100","102837.51"
"Wyaralong","22-04-2017","100","102863.33"
"Wyaralong","23-04-2017","100","102840.68"
"Wyaralong","24-04-2017","99.9","102830.15"
"Wyaralong","25-04-2017","100","102892.32"
"Wyaralong","26-04-2017","100","102881.79"
"Wyaralong","27-04-2017","100","102847.02"
"Wyaralong","28-04-2017","99.9","102795.67"
"Wyaralong","29-04-2017","99.9","102736.63"
"Wyaralong","30-04-2017","99.8","102681.77"
"Wyaralong","01-05-2017","99.8","102659.16"
"Wyaralong","02-05-2017","99.8","102661.19"
"Wyaralong","03-05-2017","99.8","102650.67"
"Wyaralong","04-05-2017","99.8","102664.35"
"Wyaralong","05-05-2017","99.8","102629.64"
"Wyaralong","06-05-2017","99.7","102594.93"
"Wyaralong","07-05-2017","99.7","102572.32"
"Wyaralong","08-05-2017","99.7","102598.09"
"Wyaralong","09-05-2017","99.7","102623.87"
"Wyaralong","10-05-2017","99.7","102589.16"
"Wyaralong","11-05-2017","99.7","102530.28"
"Wyaralong","12-05-2017","99.6","102519.77"
"Wyaralong","13-05-2017","99.6","102509.26"
"Wyaralong","14-05-2017","99.6","102486.66"
"Wyaralong","15-05-2017","99.6","102427.82"
"Wyaralong","16-05-2017","99.5","102369"
"Wyaralong","17-05-2017","99.4","102298.14"
"Wyaralong","18-05-2017","99.4","102227.3"
"Wyaralong","19-05-2017","99.5","102373.74"
"Wyaralong","20-05-2017","99.5","102399.48"
"Wyaralong","21-05-2017","99.5","102401.06"
"Wyaralong","22-05-2017","99.6","102450.96"
"Wyaralong","23-05-2017","99.6","102440.46"
"Wyaralong","24-05-2017","99.6","102442.04"
"Wyaralong","25-05-2017","99.5","102395.3"
"Wyaralong","26-05-2017","99.5","102372.72"
"Wyaralong","27-05-2017","99.4","102313.92"
"Wyaralong","28-05-2017","99.4","102279.29"
"Wyaralong","29-05-2017","99.4","102268.8"
"Wyaralong","30-05-2017","99.4","102222.11"
"Wyaralong","31-05-2017","99.3","102139.25"
"Wyaralong","01-06-2017","99.2","102080.55"
"Wyaralong","02-06-2017","99.2","102021.87"
"Wyaralong","03-06-2017","99.1","101963.21"
"Wyaralong","04-06-2017","99","101904.57"
"Wyaralong","05-06-2017","99","101868.94"
"Wyaralong","06-06-2017","99","101834.73"
"Wyaralong","07-06-2017","98.9","101764.44"
"Wyaralong","08-06-2017","98.9","101718.23"
"Wyaralong","09-06-2017","98.8","101684.05"
"Wyaralong","10-06-2017","98.8","101649.89"
"Wyaralong","11-06-2017","98.9","101759.99"
"Wyaralong","12-06-2017","98.9","101786.33"
"Wyaralong","13-06-2017","99.1","101908.19"
"Wyaralong","14-06-2017","99","101837.87"
"Wyaralong","15-06-2017","99","101815.7"
"Wyaralong","16-06-2017","98.9","101793.53"
"Wyaralong","17-06-2017","98.9","101795.43"
"Wyaralong","18-06-2017","98.9","101731.25"
"Wyaralong","19-06-2017","98.9","101715.03"
"Wyaralong","20-06-2017","98.8","101680.86"
"Wyaralong","21-06-2017","98.8","101658.71"
"Wyaralong","22-06-2017","98.8","101624.55"
"Wyaralong","23-06-2017","98.7","101590.4"
"Wyaralong","24-06-2017","98.7","101592.29"
"Wyaralong","25-06-2017","98.7","101558.14"
"Wyaralong","26-06-2017","98.7","101536.02"
"Wyaralong","27-06-2017","98.6","101465.87"
"Wyaralong","28-06-2017","98.6","101479.76"
"Wyaralong","29-06-2017","98.7","101517.68"
"Wyaralong","30-06-2017","98.8","101639.7"
"Wyaralong","01-07-2017","98.8","101617.56"
"Wyaralong","02-07-2017","98.7","101595.43"
"Wyaralong","03-07-2017","98.7","101549.27"
"Wyaralong","04-07-2017","98.7","101539.15"
"Wyaralong","05-07-2017","98.7","101589.09"
"Wyaralong","06-07-2017","98.7","101530.93"
"Wyaralong","07-07-2017","98.9","101761.18"
"Wyaralong","08-07-2017","98.9","101775.1"
"Wyaralong","09-07-2017","98.9","101716.87"
"Wyaralong","10-07-2017","98.9","101706.74"
"Wyaralong","11-07-2017","98.8","101684.59"
"Wyaralong","12-07-2017","98.8","101674.46"
"Wyaralong","13-07-2017","98.8","101628.28"
"Wyaralong","14-07-2017","98.8","101618.16"
"Wyaralong","15-07-2017","98.8","101632.07"
"Wyaralong","16-07-2017","98.9","101718.11"
"Wyaralong","17-07-2017","98.8","101695.96"
"Wyaralong","18-07-2017","98.9","101710.58"
"Wyaralong","19-07-2017","98.8","101664.92"
"Wyaralong","20-07-2017","98.8","101653.56"
"Wyaralong","21-07-2017","98.7","101583.35"
"Wyaralong","22-07-2017","98.7","101561.22"
"Wyaralong","23-07-2017","98.7","101587.14"
"Wyaralong","24-07-2017","98.7","101504.96"
"Wyaralong","25-07-2017","98.6","101470.83"
"Wyaralong","26-07-2017","98.6","101459.77"
"Wyaralong","27-07-2017","98.6","101422.64"
"Wyaralong","28-07-2017","98.6","101409.5"
"Wyaralong","29-07-2017","98.5","101384.37"
"Wyaralong","30-07-2017","98.5","101347.25"
"Wyaralong","31-07-2017","98.5","101346.12"
"Wyaralong","01-08-2017","98.5","101321"
"Wyaralong","02-08-2017","98.4","101271.91"
"Wyaralong","03-08-2017","98.4","101270.78"
"Wyaralong","04-08-2017","98.4","101233.68"
"Wyaralong","05-08-2017","98.4","101220.57"
"Wyaralong","06-08-2017","98.3","101171.51"
"Wyaralong","07-08-2017","98.3","101146.42"
"Wyaralong","08-08-2017","98.3","101101.35"
"Wyaralong","09-08-2017","98.2","101048.36"
"Wyaralong","10-08-2017","98.2","101016.25"
"Wyaralong","11-08-2017","98.2","100992.03"
"Wyaralong","12-08-2017","98.1","100973.17"
"Wyaralong","13-08-2017","98.1","100941.04"
"Wyaralong","14-08-2017","98.1","100958.94"
"Wyaralong","15-08-2017","98.1","100933.89"
"Wyaralong","16-08-2017","98.1","100913.52"
"Wyaralong","17-08-2017","98.1","100889.79"
"Wyaralong","18-08-2017","98","100870.71"
"Wyaralong","19-08-2017","97.9","100762.01"
"Wyaralong","20-08-2017","97.8","100641.46"
"Wyaralong","21-08-2017","97.8","100580.66"
"Wyaralong","22-08-2017","97.7","100543.74"
"Wyaralong","23-08-2017","97.7","100539.97"
"Wyaralong","24-08-2017","97.8","100577.28"
"Wyaralong","25-08-2017","97.7","100504.57"
"Wyaralong","26-08-2017","97.6","100443.83"
"Wyaralong","27-08-2017","97.6","100406.94"
"Wyaralong","28-08-2017","97.6","100370.07"
"Wyaralong","29-08-2017","97.5","100277.64"
"Wyaralong","30-08-2017","97.5","100272.52"
"Wyaralong","31-08-2017","97.4","100188.07"
"Wyaralong","01-09-2017","97.3","100151.25"
"Wyaralong","02-09-2017","97.3","100090.65"
"Wyaralong","03-09-2017","97.3","100065.74"
"Wyaralong","04-09-2017","97.3","100088.4"
"Wyaralong","05-09-2017","97.2","100015.94"
"Wyaralong","06-09-2017","97.1","99943.52"
"Wyaralong","07-09-2017","97.1","99907.57"
"Wyaralong","08-09-2017","97","99834.39"
"Wyaralong","09-09-2017","96.9","99738.33"
"Wyaralong","10-09-2017","96.9","99677.9"
"Wyaralong","11-09-2017","96.9","99662.92"
"Wyaralong","12-09-2017","96.9","99651.54"
"Wyaralong","13-09-2017","96.8","99633.97"
"Wyaralong","14-09-2017","96.8","99614.15"
"Wyaralong","15-09-2017","96.7","99470.86"
"Wyaralong","16-09-2017","96.6","99422.38"
"Wyaralong","17-09-2017","96.6","99373.92"
"Wyaralong","18-09-2017","96.6","99367.78"
"Wyaralong","19-09-2017","96.5","99312.53"
"Wyaralong","20-09-2017","96.5","99299.59"
"Wyaralong","21-09-2017","96.5","99262.55"
"Wyaralong","22-09-2017","96.5","99272.26"
"Wyaralong","23-09-2017","96.4","99178.02"
"Wyaralong","24-09-2017","96.4","99176.9"
"Wyaralong","25-09-2017","96.4","99140.34"
"Wyaralong","26-09-2017","96.3","99103.79"
"Wyaralong","27-09-2017","96.3","99090.86"
"Wyaralong","28-09-2017","96.3","99066.13"
"Wyaralong","29-09-2017","96.2","98970.58"
"Wyaralong","30-09-2017","96.2","98934.07"
"Wyaralong","01-10-2017","96.1","98909.37"
"Wyaralong","02-10-2017","96.2","98990.84"
"Wyaralong","03-10-2017","96.4","99202.32"
"Wyaralong","04-10-2017","96.4","99185.2"
"Wyaralong","05-10-2017","96.3","99105.57"
"Wyaralong","06-10-2017","96.4","99141.89"
"Wyaralong","07-10-2017","96.3","99126.97"
"Wyaralong","08-10-2017","96.3","99081.22"
"Wyaralong","09-10-2017","96.3","99042.07"
"Wyaralong","10-10-2017","96.3","99040.96"
"Wyaralong","11-10-2017","96.2","99016.23"
"Wyaralong","12-10-2017","96.2","98967.91"
"Wyaralong","13-10-2017","96.2","98943.2"
"Wyaralong","14-10-2017","96.2","98953.89"
"Wyaralong","15-10-2017","96.5","99295.35"
"Wyaralong","16-10-2017","96.5","99302.04"
"Wyaralong","17-10-2017","96.5","99304.94"
"Wyaralong","18-10-2017","96.5","99303.83"
"Wyaralong","19-10-2017","96.5","99243.58"
"Wyaralong","20-10-2017","96.4","99218.83"
"Wyaralong","21-10-2017","96.5","99324.16"
"Wyaralong","22-10-2017","96.5","99303.35"
"Wyaralong","23-10-2017","96.6","99357.4"
"Wyaralong","24-10-2017","96.5","99261.65"
"Wyaralong","25-10-2017","96.5","99272.36"
