Name,Date,Last Observation (%),Last Observation (ML)
"Sideling Creek (Lake Kurwongbah)","04-03-2017","41.7","5913.63"
"Sideling Creek (Lake Kurwongbah)","05-03-2017","42","5957.42"
"Sideling Creek (Lake Kurwongbah)","06-03-2017","41.8","5931.43"
"Sideling Creek (Lake Kurwongbah)","07-03-2017","41.6","5902.34"
"Sideling Creek (Lake Kurwongbah)","08-03-2017","41.4","5871.78"
"Sideling Creek (Lake Kurwongbah)","09-03-2017","41.2","5841.36"
"Sideling Creek (Lake Kurwongbah)","10-03-2017","41","5812.66"
"Sideling Creek (Lake Kurwongbah)","11-03-2017","40.8","5787.24"
"Sideling Creek (Lake Kurwongbah)","12-03-2017","40.6","5766.65"
"Sideling Creek (Lake Kurwongbah)","13-03-2017","40.4","5738.2"
"Sideling Creek (Lake Kurwongbah)","14-03-2017","41","5819.03"
"Sideling Creek (Lake Kurwongbah)","15-03-2017","41","5819.03"
"Sideling Creek (Lake Kurwongbah)","16-03-2017","40.8","5795.18"
"Sideling Creek (Lake Kurwongbah)","17-03-2017","40.6","5768.23"
"Sideling Creek (Lake Kurwongbah)","18-03-2017","40.5","5753.99"
"Sideling Creek (Lake Kurwongbah)","19-03-2017","40.5","5746.1"
"Sideling Creek (Lake Kurwongbah)","20-03-2017","40.4","5738.2"
"Sideling Creek (Lake Kurwongbah)","21-03-2017","40.9","5799.94"
"Sideling Creek (Lake Kurwongbah)","22-03-2017","41.1","5831.78"
"Sideling Creek (Lake Kurwongbah)","23-03-2017","41.2","5854.15"
"Sideling Creek (Lake Kurwongbah)","24-03-2017","41.7","5918.48"
"Sideling Creek (Lake Kurwongbah)","25-03-2017","41.8","5926.57"
"Sideling Creek (Lake Kurwongbah)","26-03-2017","41.7","5916.87"
"Sideling Creek (Lake Kurwongbah)","27-03-2017","41.6","5900.72"
"Sideling Creek (Lake Kurwongbah)","28-03-2017","41.5","5891.06"
"Sideling Creek (Lake Kurwongbah)","29-03-2017","41.4","5879.8"
"Sideling Creek (Lake Kurwongbah)","30-03-2017","76","10781.91"
"Sideling Creek (Lake Kurwongbah)","31-03-2017","84.9","12049.29"
"Sideling Creek (Lake Kurwongbah)","01-04-2017","83.1","11789.85"
"Sideling Creek (Lake Kurwongbah)","02-04-2017","80.7","11459.62"
"Sideling Creek (Lake Kurwongbah)","03-04-2017","78.5","11144.54"
"Sideling Creek (Lake Kurwongbah)","04-04-2017","76.7","10884.96"
"Sideling Creek (Lake Kurwongbah)","05-04-2017","75.2","10674.2"
"Sideling Creek (Lake Kurwongbah)","06-04-2017","73.8","10478.15"
"Sideling Creek (Lake Kurwongbah)","07-04-2017","72.5","10291.24"
"Sideling Creek (Lake Kurwongbah)","08-04-2017","71.4","10133.62"
"Sideling Creek (Lake Kurwongbah)","09-04-2017","70.4","9996.55"
"Sideling Creek (Lake Kurwongbah)","10-04-2017","69.6","9871.63"
"Sideling Creek (Lake Kurwongbah)","11-04-2017","68.7","9753.15"
"Sideling Creek (Lake Kurwongbah)","12-04-2017","68","9650.13"
"Sideling Creek (Lake Kurwongbah)","13-04-2017","67.5","9583.38"
"Sideling Creek (Lake Kurwongbah)","14-04-2017","67","9504.97"
"Sideling Creek (Lake Kurwongbah)","15-04-2017","66.4","9429.2"
"Sideling Creek (Lake Kurwongbah)","16-04-2017","65.9","9356.1"
"Sideling Creek (Lake Kurwongbah)","17-04-2017","65.5","9295.02"
"Sideling Creek (Lake Kurwongbah)","18-04-2017","65","9231.85"
"Sideling Creek (Lake Kurwongbah)","19-04-2017","64.5","9152.71"
"Sideling Creek (Lake Kurwongbah)","20-04-2017","64.1","9104.06"
"Sideling Creek (Lake Kurwongbah)","21-04-2017","63.8","9055.61"
"Sideling Creek (Lake Kurwongbah)","22-04-2017","63.6","9021.12"
"Sideling Creek (Lake Kurwongbah)","23-04-2017","63.3","8984.43"
"Sideling Creek (Lake Kurwongbah)","24-04-2017","63","8947.86"
"Sideling Creek (Lake Kurwongbah)","25-04-2017","62.8","8913.68"
"Sideling Creek (Lake Kurwongbah)","26-04-2017","62.6","8886.4"
"Sideling Creek (Lake Kurwongbah)","27-04-2017","62.3","8845.59"
"Sideling Creek (Lake Kurwongbah)","28-04-2017","62.1","8807.18"
"Sideling Creek (Lake Kurwongbah)","29-04-2017","61.9","8777.89"
"Sideling Creek (Lake Kurwongbah)","30-04-2017","61.7","8757.66"
"Sideling Creek (Lake Kurwongbah)","01-05-2017","61.6","8737.46"
"Sideling Creek (Lake Kurwongbah)","02-05-2017","61.4","8719.53"
"Sideling Creek (Lake Kurwongbah)","03-05-2017","61.3","8699.4"
"Sideling Creek (Lake Kurwongbah)","04-05-2017","61.1","8677.06"
"Sideling Creek (Lake Kurwongbah)","05-05-2017","61","8650.32"
"Sideling Creek (Lake Kurwongbah)","06-05-2017","60.8","8625.86"
"Sideling Creek (Lake Kurwongbah)","07-05-2017","60.6","8605.88"
"Sideling Creek (Lake Kurwongbah)","08-05-2017","60.5","8592.58"
"Sideling Creek (Lake Kurwongbah)","09-05-2017","60.4","8577.09"
"Sideling Creek (Lake Kurwongbah)","10-05-2017","60.4","8574.87"
"Sideling Creek (Lake Kurwongbah)","11-05-2017","60.3","8552.78"
"Sideling Creek (Lake Kurwongbah)","12-05-2017","60.1","8535.13"
"Sideling Creek (Lake Kurwongbah)","13-05-2017","60","8521.91"
"Sideling Creek (Lake Kurwongbah)","14-05-2017","59.9","8506.51"
"Sideling Creek (Lake Kurwongbah)","15-05-2017","59.8","8482.35"
"Sideling Creek (Lake Kurwongbah)","16-05-2017","59.6","8464.81"
"Sideling Creek (Lake Kurwongbah)","17-05-2017","59.5","8447.3"
"Sideling Creek (Lake Kurwongbah)","18-05-2017","59.5","8442.93"
"Sideling Creek (Lake Kurwongbah)","19-05-2017","60.2","8550.57"
"Sideling Creek (Lake Kurwongbah)","20-05-2017","60.2","8548.36"
"Sideling Creek (Lake Kurwongbah)","21-05-2017","60.1","8528.52"
"Sideling Creek (Lake Kurwongbah)","22-05-2017","60","8510.91"
"Sideling Creek (Lake Kurwongbah)","23-05-2017","59.9","8495.52"
"Sideling Creek (Lake Kurwongbah)","24-05-2017","59.8","8482.35"
"Sideling Creek (Lake Kurwongbah)","25-05-2017","59.6","8460.43"
"Sideling Creek (Lake Kurwongbah)","26-05-2017","59.5","8438.56"
"Sideling Creek (Lake Kurwongbah)","27-05-2017","59.3","8421.08"
"Sideling Creek (Lake Kurwongbah)","28-05-2017","59.2","8401.46"
"Sideling Creek (Lake Kurwongbah)","29-05-2017","59","8379.7"
"Sideling Creek (Lake Kurwongbah)","30-05-2017","58.9","8357.98"
"Sideling Creek (Lake Kurwongbah)","31-05-2017","58.7","8329.81"
"Sideling Creek (Lake Kurwongbah)","01-06-2017","58.5","8306.03"
"Sideling Creek (Lake Kurwongbah)","02-06-2017","58.4","8282.31"
"Sideling Creek (Lake Kurwongbah)","03-06-2017","58.1","8241.44"
"Sideling Creek (Lake Kurwongbah)","04-06-2017","57.9","8217.86"
"Sideling Creek (Lake Kurwongbah)","05-06-2017","57.8","8202.88"
"Sideling Creek (Lake Kurwongbah)","06-06-2017","57.6","8177.24"
"Sideling Creek (Lake Kurwongbah)","07-06-2017","57.4","8149.55"
"Sideling Creek (Lake Kurwongbah)","08-06-2017","57.2","8124.06"
"Sideling Creek (Lake Kurwongbah)","09-06-2017","57.1","8100.75"
"Sideling Creek (Lake Kurwongbah)","10-06-2017","56.9","8081.73"
"Sideling Creek (Lake Kurwongbah)","11-06-2017","57.4","8143.17"
