Name,Date,Last Observation (%),Last Observation (ML)
"Lake Macdonald (Six Mile Creek)","04-03-2017","53.4","4283.28"
"Lake Macdonald (Six Mile Creek)","05-03-2017","53.5","4293.58"
"Lake Macdonald (Six Mile Creek)","06-03-2017","53.4","4282.1"
"Lake Macdonald (Six Mile Creek)","07-03-2017","53.2","4267.27"
"Lake Macdonald (Six Mile Creek)","08-03-2017","53","4245.74"
"Lake Macdonald (Six Mile Creek)","09-03-2017","52.7","4222.53"
"Lake Macdonald (Six Mile Creek)","10-03-2017","52.4","4201.01"
"Lake Macdonald (Six Mile Creek)","11-03-2017","52.2","4186.18"
"Lake Macdonald (Six Mile Creek)","12-03-2017","52","4168"
"Lake Macdonald (Six Mile Creek)","13-03-2017","51.7","4146.47"
"Lake Macdonald (Six Mile Creek)","14-03-2017","52.8","4230.52"
"Lake Macdonald (Six Mile Creek)","15-03-2017","56.1","4500.42"
"Lake Macdonald (Six Mile Creek)","16-03-2017","57.1","4579.42"
"Lake Macdonald (Six Mile Creek)","17-03-2017","57.2","4589.65"
"Lake Macdonald (Six Mile Creek)","18-03-2017","57.3","4593.25"
"Lake Macdonald (Six Mile Creek)","19-03-2017","57.8","4637.04"
"Lake Macdonald (Six Mile Creek)","20-03-2017","58.7","4709.35"
"Lake Macdonald (Six Mile Creek)","21-03-2017","59.4","4766.68"
"Lake Macdonald (Six Mile Creek)","22-03-2017","59.8","4793.75"
"Lake Macdonald (Six Mile Creek)","23-03-2017","60.3","4836"
"Lake Macdonald (Six Mile Creek)","24-03-2017","62.3","4992.54"
"Lake Macdonald (Six Mile Creek)","25-03-2017","63.9","5125.35"
"Lake Macdonald (Six Mile Creek)","26-03-2017","64.5","5172.8"
"Lake Macdonald (Six Mile Creek)","27-03-2017","64.8","5196.71"
"Lake Macdonald (Six Mile Creek)","28-03-2017","64.9","5205.61"
"Lake Macdonald (Six Mile Creek)","29-03-2017","67.3","5392.6"
"Lake Macdonald (Six Mile Creek)","30-03-2017","115.2","9237.64"
"Lake Macdonald (Six Mile Creek)","31-03-2017","106.3","8523.65"
"Lake Macdonald (Six Mile Creek)","01-04-2017","103.8","8320.16"
"Lake Macdonald (Six Mile Creek)","02-04-2017","102.8","8243.36"
