Name,Date,Last Observation (%),Last Observation (ML)
"Maroon","04-03-2017","96.9","42963.75"
"Maroon","05-03-2017","97","43006.98"
"Maroon","06-03-2017","97","42987.02"
"Maroon","07-03-2017","96.9","42960.42"
"Maroon","08-03-2017","96.8","42913.88"
"Maroon","09-03-2017","96.8","42893.94"
"Maroon","10-03-2017","96.7","42850.74"
"Maroon","11-03-2017","96.6","42824.17"
"Maroon","12-03-2017","96.6","42800.92"
"Maroon","13-03-2017","96.7","42847.42"
"Maroon","14-03-2017","96.7","42854.07"
"Maroon","15-03-2017","96.7","42854.07"
"Maroon","16-03-2017","96.8","42887.3"
"Maroon","17-03-2017","96.8","42887.3"
"Maroon","18-03-2017","96.7","42877.33"
"Maroon","19-03-2017","97.4","43146.78"
"Maroon","20-03-2017","99.2","43951.45"
"Maroon","21-03-2017","100.2","44386.44"
"Maroon","22-03-2017","100.2","44420.16"
"Maroon","23-03-2017","100.8","44656.66"
"Maroon","24-03-2017","100.6","44568.7"
"Maroon","25-03-2017","100.1","44379.69"
"Maroon","26-03-2017","99.8","44251.56"
"Maroon","27-03-2017","99.8","44217.83"
"Maroon","28-03-2017","99.7","44207.71"
"Maroon","29-03-2017","99.7","44200.97"
"Maroon","30-03-2017","117.1","51918.66"
"Maroon","31-03-2017","117.6","52114.97"
"Maroon","01-04-2017","113.8","50439.22"
"Maroon","02-04-2017","109.5","48548.05"
"Maroon","03-04-2017","105","46531.76"
"Maroon","04-04-2017","101.1","44799"
"Maroon","05-04-2017","100","44325.82"
"Maroon","06-04-2017","100.1","44373.32"
"Maroon","07-04-2017","100.2","44400.59"
"Maroon","08-04-2017","100.2","44400.89"
"Maroon","09-04-2017","100.2","44404.56"
"Maroon","10-04-2017","100.1","44350.96"
"Maroon","11-04-2017","100","44327.6"
"Maroon","12-04-2017","99.9","44284.06"
"Maroon","13-04-2017","99.8","44247.27"
"Maroon","14-04-2017","99.8","44247.56"
"Maroon","15-04-2017","99.9","44254.61"
"Maroon","16-04-2017","99.8","44241.41"
"Maroon","17-04-2017","99.8","44234.97"
"Maroon","18-04-2017","99.8","44225.15"
"Maroon","19-04-2017","99.8","44222.07"
"Maroon","20-04-2017","99.8","44222.37"
"Maroon","21-04-2017","99.8","44209.18"
"Maroon","22-04-2017","99.8","44209.47"
"Maroon","23-04-2017","99.7","44206.4"
"Maroon","24-04-2017","99.7","44206.7"
"Maroon","25-04-2017","99.7","44206.99"
"Maroon","26-04-2017","99.8","44214.04"
"Maroon","27-04-2017","99.8","44221.08"
"Maroon","28-04-2017","99.7","44204.51"
"Maroon","29-04-2017","99.7","44204.81"
"Maroon","30-04-2017","99.7","44181.5"
"Maroon","01-05-2017","99.7","44185.17"
"Maroon","02-05-2017","99.7","44182.1"
"Maroon","03-05-2017","99.7","44182.39"
"Maroon","04-05-2017","99.6","44159.08"
"Maroon","05-05-2017","99.6","44162.75"
"Maroon","06-05-2017","99.6","44149.56"
"Maroon","07-05-2017","99.6","44149.86"
"Maroon","08-05-2017","99.6","44133.29"
"Maroon","09-05-2017","99.6","44130.14"
"Maroon","10-05-2017","99.6","44120.03"
"Maroon","11-05-2017","99.5","44104.83"
"Maroon","12-05-2017","99.5","44093.05"
"Maroon","13-05-2017","99.5","44093.05"
"Maroon","14-05-2017","99.5","44093.05"
"Maroon","15-05-2017","99.5","44103.16"
"Maroon","16-05-2017","99.5","44082.93"
"Maroon","17-05-2017","99.4","44069.44"
"Maroon","18-05-2017","99.4","44045.84"
"Maroon","19-05-2017","99.5","44082.93"
"Maroon","20-05-2017","99.5","44116.65"
"Maroon","21-05-2017","99.6","44123.4"
"Maroon","22-05-2017","99.6","44130.14"
"Maroon","23-05-2017","99.6","44123.4"
"Maroon","24-05-2017","99.6","44120.03"
"Maroon","25-05-2017","99.5","44109.91"
"Maroon","26-05-2017","99.5","44103.16"
"Maroon","27-05-2017","99.5","44089.68"
"Maroon","28-05-2017","99.5","44089.68"
"Maroon","29-05-2017","99.4","44072.82"
"Maroon","30-05-2017","99.4","44055.96"
"Maroon","31-05-2017","99.4","44035.72"
"Maroon","01-06-2017","99.3","44008.75"
"Maroon","02-06-2017","99.3","43991.9"
"Maroon","03-06-2017","99.2","43975.04"
"Maroon","04-06-2017","99.2","43958.19"
"Maroon","05-06-2017","99.1","43938.02"
"Maroon","06-06-2017","99.1","43931.23"
"Maroon","07-06-2017","99.1","43911.01"
"Maroon","08-06-2017","99","43892.44"
"Maroon","09-06-2017","99","43887.42"
"Maroon","10-06-2017","99","43870.58"
"Maroon","11-06-2017","99","43884.05"
"Maroon","12-06-2017","99","43897.53"
"Maroon","13-06-2017","99.5","44106.54"
"Maroon","14-06-2017","99.8","44224.58"
"Maroon","15-06-2017","100","44319"
"Maroon","16-06-2017","100","44335.86"
"Maroon","17-06-2017","100","44339.23"
"Maroon","18-06-2017","100.1","44356.09"
"Maroon","19-06-2017","100.1","44342.43"
"Maroon","20-06-2017","100","44308.88"
"Maroon","21-06-2017","100","44302.14"
"Maroon","22-06-2017","99.9","44278.53"
"Maroon","23-06-2017","99.9","44261.67"
"Maroon","24-06-2017","99.9","44275.16"
"Maroon","25-06-2017","99.9","44281.91"
"Maroon","26-06-2017","99.9","44295.4"
"Maroon","27-06-2017","99.9","44295.4"
"Maroon","28-06-2017","100","44308.88"
"Maroon","29-06-2017","100","44319"
"Maroon","30-06-2017","100","44335.86"
"Maroon","01-07-2017","100","44325.74"
"Maroon","02-07-2017","100","44322.37"
"Maroon","03-07-2017","100","44312.26"
"Maroon","04-07-2017","100","44312.26"
"Maroon","05-07-2017","100","44301.36"
"Maroon","06-07-2017","99.9","44288.65"
"Maroon","07-07-2017","100","44312.26"
"Maroon","08-07-2017","100","44312.26"
"Maroon","09-07-2017","99.9","44295.4"
"Maroon","10-07-2017","99.9","44278.53"
"Maroon","11-07-2017","99.9","44261.1"
"Maroon","12-07-2017","99.9","44252.62"
"Maroon","13-07-2017","99.8","44238.07"
"Maroon","14-07-2017","99.8","44227.38"
"Maroon","15-07-2017","99.8","44242.09"
"Maroon","16-07-2017","99.8","44245.48"
"Maroon","17-07-2017","99.8","44243.41"
"Maroon","18-07-2017","99.9","44295.4"
"Maroon","19-07-2017","99.9","44254.93"
"Maroon","20-07-2017","99.9","44256.73"
"Maroon","21-07-2017","99.8","44240.44"
"Maroon","22-07-2017","99.8","44230.48"
"Maroon","23-07-2017","99.8","44218.58"
"Maroon","24-07-2017","99.7","44203.52"
"Maroon","25-07-2017","99.7","44190.19"
"Maroon","26-07-2017","99.7","44176.53"
"Maroon","27-07-2017","99.7","44168.96"
"Maroon","28-07-2017","99.6","44162.47"
"Maroon","29-07-2017","99.6","44153.41"
"Maroon","30-07-2017","99.6","44137.8"
"Maroon","31-07-2017","99.6","44136.97"
"Maroon","01-08-2017","99.6","44123.47"
"Maroon","02-08-2017","99.5","44113.19"
"Maroon","03-08-2017","99.5","44116.65"
"Maroon","04-08-2017","99.5","44113.28"
"Maroon","05-08-2017","99.5","44085.98"
"Maroon","06-08-2017","99.5","44076.19"
"Maroon","07-08-2017","99.5","44079.56"
"Maroon","08-08-2017","99.4","44042.72"
"Maroon","09-08-2017","99.3","44018.54"
"Maroon","10-08-2017","99.3","44012.33"
"Maroon","11-08-2017","99.3","44003.19"
"Maroon","12-08-2017","99.3","43997.92"
"Maroon","13-08-2017","99.2","43984.97"
"Maroon","14-08-2017","99.2","43980.57"
"Maroon","15-08-2017","99.2","43965.68"
"Maroon","16-08-2017","99.2","43955.07"
"Maroon","17-08-2017","99.2","43945.99"
"Maroon","18-08-2017","99.1","43917.13"
"Maroon","19-08-2017","99","43887.42"
"Maroon","20-08-2017","98.9","43852.54"
"Maroon","21-08-2017","98.9","43847"
"Maroon","22-08-2017","98.9","43832.22"
"Maroon","23-08-2017","98.9","43831.87"
"Maroon","24-08-2017","98.9","43818.95"
"Maroon","25-08-2017","98.9","43813.33"
"Maroon","26-08-2017","98.8","43796.49"
"Maroon","27-08-2017","98.7","43764.94"
"Maroon","28-08-2017","98.7","43740.32"
"Maroon","29-08-2017","98.7","43725.15"
"Maroon","30-08-2017","98.6","43712.56"
"Maroon","31-08-2017","98.6","43692.46"
"Maroon","01-09-2017","98.5","43674.71"
"Maroon","02-09-2017","98.5","43656.57"
"Maroon","03-09-2017","98.5","43657.4"
"Maroon","04-09-2017","98.5","43641.77"
"Maroon","05-09-2017","98.4","43614.74"
"Maroon","06-09-2017","98.3","43575.29"
"Maroon","07-09-2017","98.3","43546.6"
"Maroon","08-09-2017","98.2","43531.01"
"Maroon","09-09-2017","98.1","43497.5"
"Maroon","10-09-2017","98.1","43477.4"
"Maroon","11-09-2017","98","43450.26"
"Maroon","12-09-2017","98","43428.03"
"Maroon","13-09-2017","98","43427.18"
"Maroon","14-09-2017","97.9","43397.08"
"Maroon","15-09-2017","97.8","43348.12"
"Maroon","16-09-2017","97.8","43326.39"
"Maroon","17-09-2017","97.7","43304.86"
"Maroon","18-09-2017","97.7","43292.35"
"Maroon","19-09-2017","97.6","43274.32"
"Maroon","20-09-2017","97.6","43257.28"
"Maroon","21-09-2017","97.5","43228.11"
"Maroon","22-09-2017","97.5","43225.44"
"Maroon","23-09-2017","97.5","43210.95"
"Maroon","24-09-2017","97.5","43193.43"
"Maroon","25-09-2017","97.4","43173.43"
"Maroon","26-09-2017","97.3","43143.45"
"Maroon","27-09-2017","97.3","43113.47"
"Maroon","28-09-2017","97.2","43066.87"
"Maroon","29-09-2017","97.2","43060.21"
"Maroon","30-09-2017","97.1","43013.63"
"Maroon","01-10-2017","97","42977.05"
"Maroon","02-10-2017","97","43010.31"
"Maroon","03-10-2017","97.4","43163.44"
"Maroon","04-10-2017","97.5","43190.1"
"Maroon","05-10-2017","97.4","43180.1"
"Maroon","06-10-2017","97.5","43190.1"
"Maroon","07-10-2017","97.5","43190.1"
"Maroon","08-10-2017","97.4","43183.43"
"Maroon","09-10-2017","97.4","43176.77"
"Maroon","10-10-2017","97.4","43156.77"
"Maroon","11-10-2017","97.6","43240.11"
"Maroon","12-10-2017","97.6","43253.46"
"Maroon","13-10-2017","97.6","43243.45"
"Maroon","14-10-2017","97.5","43230.8"
"Maroon","15-10-2017","97.6","43260.27"
"Maroon","16-10-2017","97.7","43300.67"
"Maroon","17-10-2017","97.7","43303.52"
"Maroon","18-10-2017","97.7","43316.87"
"Maroon","19-10-2017","97.7","43316.87"
"Maroon","20-10-2017","97.7","43316.87"
"Maroon","21-10-2017","97.8","43350.28"
"Maroon","22-10-2017","97.9","43373.67"
"Maroon","23-10-2017","98","43413.8"
"Maroon","24-10-2017","98","43427.18"
"Maroon","25-10-2017","98","43427.18"
"Maroon","26-10-2017","98","43440.57"
"Maroon","27-10-2017","98","43443.91"
"Maroon","28-10-2017","98","43430.53"
"Maroon","29-10-2017","98","43430.74"
"Maroon","30-10-2017","98.1","43457.3"
"Maroon","31-10-2017","97.9","43403.76"
"Maroon","01-11-2017","97.9","43407.11"
"Maroon","02-11-2017","97.9","43383.7"
"Maroon","03-11-2017","97.9","43373.67"
"Maroon","04-11-2017","97.9","43373.67"
"Maroon","05-11-2017","97.8","43360.3"
"Maroon","06-11-2017","97.9","43410.45"
"Maroon","07-11-2017","98","43443.91"
"Maroon","08-11-2017","98","43423.83"
"Maroon","09-11-2017","97.9","43397.08"
"Maroon","10-11-2017","97.9","43383.7"
"Maroon","11-11-2017","97.8","43363.64"
"Maroon","12-11-2017","97.8","43353.62"
"Maroon","13-11-2017","97.8","43346.94"
"Maroon","14-11-2017","97.7","43320.21"
"Maroon","15-11-2017","97.7","43313.53"
"Maroon","16-11-2017","97.7","43303.52"
"Maroon","17-11-2017","97.7","43290.16"
"Maroon","18-11-2017","97.8","43336.91"
"Maroon","19-11-2017","97.8","43336.91"
"Maroon","20-11-2017","97.8","43326.89"
"Maroon","21-11-2017","97.7","43316.87"
"Maroon","22-11-2017","97.7","43320.21"
"Maroon","23-11-2017","97.7","43316.87"
"Maroon","24-11-2017","97.7","43300.18"
"Maroon","25-11-2017","97.7","43296.84"
"Maroon","26-11-2017","97.7","43290.16"
"Maroon","27-11-2017","97.7","43280.15"
"Maroon","28-11-2017","97.6","43266.8"
"Maroon","29-11-2017","97.7","43306.86"
"Maroon","30-11-2017","97.9","43390.39"
"Maroon","01-12-2017","97.9","43407.11"
"Maroon","02-12-2017","97.9","43390.39"
"Maroon","03-12-2017","97.9","43403.76"
"Maroon","04-12-2017","98","43420.49"
"Maroon","05-12-2017","98","43430.53"
"Maroon","06-12-2017","97.9","43397.08"
"Maroon","07-12-2017","97.9","43373.67"
"Maroon","08-12-2017","97.9","43377.01"
"Maroon","09-12-2017","97.9","43390.39"
"Maroon","10-12-2017","97.9","43383.7"
"Maroon","11-12-2017","97.9","43366.99"
"Maroon","12-12-2017","97.8","43336.91"
"Maroon","13-12-2017","97.7","43320.21"
"Maroon","14-12-2017","97.7","43300.18"
"Maroon","15-12-2017","97.7","43286.83"
"Maroon","16-12-2017","97.6","43273.48"
"Maroon","17-12-2017","97.6","43250.12"
"Maroon","18-12-2017","97.5","43223.44"
"Maroon","19-12-2017","97.5","43210.1"
"Maroon","20-12-2017","97.4","43183.43"
"Maroon","21-12-2017","97.5","43206.77"
"Maroon","22-12-2017","97.6","43256.79"
"Maroon","23-12-2017","97.6","43253.46"
"Maroon","24-12-2017","97.5","43226.77"
"Maroon","25-12-2017","97.6","43256.79"
"Maroon","26-12-2017","97.9","43377.01"
"Maroon","27-12-2017","97.9","43383.7"
"Maroon","28-12-2017","97.9","43380.36"
"Maroon","29-12-2017","97.9","43380.36"
"Maroon","30-12-2017","97.9","43383.7"
"Maroon","31-12-2017","98","43430.53"
"Maroon","01-01-2018","98","43443.91"
"Maroon","02-01-2018","98.2","43507.55"
"Maroon","03-01-2018","98.3","43584.69"
"Maroon","04-01-2018","98.4","43594.76"
"Maroon","05-01-2018","98.3","43584.69"
"Maroon","06-01-2018","98.3","43581.33"
"Maroon","07-01-2018","98.3","43574.62"
"Maroon","08-01-2018","98.3","43564.56"
"Maroon","09-01-2018","98.3","43547.78"
"Maroon","10-01-2018","98.2","43534.37"
"Maroon","11-01-2018","98.2","43520.96"
"Maroon","12-01-2018","98.2","43514.25"
"Maroon","13-01-2018","98.2","43500.85"
"Maroon","14-01-2018","98.1","43470.7"
"Maroon","15-01-2018","98","43423.83"
"Maroon","16-01-2018","97.9","43377.01"
"Maroon","17-01-2018","97.8","43343.59"
"Maroon","18-01-2018","97.7","43316.87"
"Maroon","19-01-2018","97.7","43280.15"
"Maroon","20-01-2018","97.6","43250.12"
"Maroon","21-01-2018","97.6","43233.44"
"Maroon","22-01-2018","97.5","43206.77"
"Maroon","23-01-2018","97.4","43180.1"
"Maroon","24-01-2018","97.4","43156.77"
"Maroon","25-01-2018","97.3","43133.46"
"Maroon","26-01-2018","97.3","43113.47"
"Maroon","27-01-2018","97.2","43096.83"
"Maroon","28-01-2018","97.2","43073.52"
"Maroon","29-01-2018","97.1","43040.25"
"Maroon","30-01-2018","97.1","43023.61"
"Maroon","31-01-2018","97.2","43070.2"
"Maroon","01-02-2018","97.2","43070.2"
"Maroon","02-02-2018","97.2","43100.16"
"Maroon","03-02-2018","97.2","43100.16"
"Maroon","04-02-2018","97.2","43080.18"
"Maroon","05-02-2018","97.2","43056.88"
"Maroon","06-02-2018","97.1","43053.56"
"Maroon","07-02-2018","97.1","43023.61"
"Maroon","08-02-2018","97","42997"
"Maroon","09-02-2018","97","42977.05"
"Maroon","10-02-2018","97","42973.72"
"Maroon","11-02-2018","97","42977.05"
"Maroon","12-02-2018","96.9","42957.1"
"Maroon","13-02-2018","97","42997"
"Maroon","14-02-2018","97","42973.72"
"Maroon","15-02-2018","96.9","42957.1"
"Maroon","16-02-2018","97.1","43020.28"
"Maroon","17-02-2018","97","42990.35"
"Maroon","18-02-2018","97","42973.72"
"Maroon","19-02-2018","96.9","42947.12"
"Maroon","20-02-2018","96.9","42927.18"
"Maroon","21-02-2018","96.8","42883.97"
"Maroon","22-02-2018","96.7","42850.74"
"Maroon","23-02-2018","97","43003.65"
"Maroon","24-02-2018","97.5","43206.77"
"Maroon","25-02-2018","97.7","43303.52"
"Maroon","26-02-2018","97.9","43366.99"
"Maroon","27-02-2018","97.9","43373.67"
"Maroon","28-02-2018","97.9","43390.39"
"Maroon","01-03-2018","97.9","43403.76"
"Maroon","02-03-2018","97.9","43407.11"
