Name,Date,Last Observation (%),Last Observation (ML)
"Moogerah","04-03-2017","85.9","71967.21"
"Moogerah","05-03-2017","86.4","72400.99"
"Moogerah","06-03-2017","86.4","72370.5"
"Moogerah","07-03-2017","86.3","72309.54"
"Moogerah","08-03-2017","86.2","72233.38"
"Moogerah","09-03-2017","86.1","72142.06"
"Moogerah","10-03-2017","86","72043.2"
"Moogerah","11-03-2017","85.9","71967.21"
"Moogerah","12-03-2017","85.8","71891.27"
"Moogerah","13-03-2017","85.9","71944.42"
"Moogerah","14-03-2017","85.9","71929.23"
"Moogerah","15-03-2017","85.8","71891.27"
"Moogerah","16-03-2017","85.8","71838.14"
"Moogerah","17-03-2017","85.7","71815.37"
"Moogerah","18-03-2017","85.7","71762.28"
"Moogerah","19-03-2017","85.9","71967.21"
"Moogerah","20-03-2017","89.4","74927.27"
"Moogerah","21-03-2017","92.8","77775.58"
"Moogerah","22-03-2017","93.9","78653.31"
"Moogerah","23-03-2017","95.1","79640.83"
"Moogerah","24-03-2017","95.8","80229.98"
"Moogerah","25-03-2017","96","80448.49"
"Moogerah","26-03-2017","96.2","80586.16"
"Moogerah","27-03-2017","96.3","80667.16"
"Moogerah","28-03-2017","96.4","80731.98"
"Moogerah","29-03-2017","96.4","80772.49"
"Moogerah","30-03-2017","122","102153.28"
"Moogerah","31-03-2017","113.9","95403.47"
"Moogerah","01-04-2017","109.1","91351.16"
"Moogerah","02-04-2017","106.3","89073.11"
"Moogerah","03-04-2017","104.9","87846.87"
"Moogerah","04-04-2017","104","87097.55"
"Moogerah","05-04-2017","103.4","86626.84"
"Moogerah","06-04-2017","102.9","86195.05"
"Moogerah","07-04-2017","102.4","85780.77"
"Moogerah","08-04-2017","102.1","85484.63"
"Moogerah","09-04-2017","101.8","85255.99"
"Moogerah","10-04-2017","101.5","85061.1"
"Moogerah","11-04-2017","101.3","84883.28"
"Moogerah","12-04-2017","101.2","84798.86"
"Moogerah","13-04-2017","101.1","84715.84"
"Moogerah","14-04-2017","101.1","84690.96"
"Moogerah","15-04-2017","101","84632.92"
"Moogerah","16-04-2017","101","84574.92"
"Moogerah","17-04-2017","100.9","84508.7"
"Moogerah","18-04-2017","100.8","84467.33"
"Moogerah","19-04-2017","100.8","84409.44"
"Moogerah","20-04-2017","100.7","84359.82"
"Moogerah","21-04-2017","100.7","84326.75"
"Moogerah","22-04-2017","100.6","84277.15"
"Moogerah","23-04-2017","100.6","84260.62"
"Moogerah","24-04-2017","100.6","84244.09"
"Moogerah","25-04-2017","100.5","84194.5"
"Moogerah","26-04-2017","100.5","84219.29"
"Moogerah","27-04-2017","100.5","84177.98"
"Moogerah","28-04-2017","100.4","84111.88"
"Moogerah","29-04-2017","100.4","84078.83"
"Moogerah","30-04-2017","100.3","84054.05"
"Moogerah","01-05-2017","100.3","84012.75"
"Moogerah","02-05-2017","100.3","83996.23"
"Moogerah","03-05-2017","100.2","83971.45"
"Moogerah","04-05-2017","100.2","83946.67"
"Moogerah","05-05-2017","100.1","83888.86"
"Moogerah","06-05-2017","100.1","83847.57"
"Moogerah","07-05-2017","100","83806.29"
"Moogerah","08-05-2017","100","83781.51"
"Moogerah","09-05-2017","100","83765"
"Moogerah","10-05-2017","100","83723.71"
"Moogerah","11-05-2017","99.9","83682.43"
"Moogerah","12-05-2017","99.9","83665.92"
"Moogerah","13-05-2017","99.9","83641.15"
"Moogerah","14-05-2017","99.9","83641.15"
"Moogerah","15-05-2017","99.8","83616.38"
"Moogerah","16-05-2017","99.8","83583.35"
"Moogerah","17-05-2017","99.8","83558.58"
"Moogerah","18-05-2017","99.7","83533.81"
"Moogerah","19-05-2017","99.9","83641.15"
"Moogerah","20-05-2017","99.9","83698.94"
"Moogerah","21-05-2017","99.9","83682.43"
"Moogerah","22-05-2017","99.9","83682.43"
"Moogerah","23-05-2017","99.9","83665.92"
