Name,Date,Last Observation (%),Last Observation (ML)
"Nindooinbah","04-03-2017","101.1","210.36"
"Nindooinbah","05-03-2017","101.2","210.41"
"Nindooinbah","06-03-2017","101.1","210.31"
"Nindooinbah","07-03-2017","101","210.05"
"Nindooinbah","08-03-2017","100.9","209.93"
"Nindooinbah","09-03-2017","100.8","209.72"
"Nindooinbah","10-03-2017","100.8","209.59"
"Nindooinbah","11-03-2017","100.7","209.44"
"Nindooinbah","12-03-2017","100.6","209.31"
"Nindooinbah","13-03-2017","100.8","209.57"
"Nindooinbah","14-03-2017","100.7","209.44"
"Nindooinbah","15-03-2017","101.1","210.21"
"Nindooinbah","16-03-2017","101.3","210.62"
"Nindooinbah","17-03-2017","101.2","210.52"
"Nindooinbah","18-03-2017","101.2","210.41"
"Nindooinbah","19-03-2017","101.2","210.57"
"Nindooinbah","20-03-2017","102.8","213.83"
"Nindooinbah","21-03-2017","103","214.24"
"Nindooinbah","22-03-2017","103","214.29"
"Nindooinbah","23-03-2017","103","214.19"
"Nindooinbah","24-03-2017","103","214.14"
"Nindooinbah","25-03-2017","102.9","214.06"
"Nindooinbah","26-03-2017","102.9","213.96"
"Nindooinbah","27-03-2017","102.8","213.86"
"Nindooinbah","28-03-2017","102.8","213.83"
"Nindooinbah","29-03-2017","102.8","213.83"
"Nindooinbah","30-03-2017","133.1","276.8"
"Nindooinbah","31-03-2017","133.7","278.13"
"Nindooinbah","01-04-2017","133.3","277.27"
"Nindooinbah","02-04-2017","133","276.57"
"Nindooinbah","03-04-2017","132.5","275.63"
"Nindooinbah","04-04-2017","132","274.54"
"Nindooinbah","05-04-2017","131.7","273.95"
"Nindooinbah","06-04-2017","131.4","273.28"
"Nindooinbah","07-04-2017","131.1","272.61"
"Nindooinbah","08-04-2017","130.7","271.89"
"Nindooinbah","09-04-2017","130.4","271.25"
"Nindooinbah","10-04-2017","130.1","270.55"
"Nindooinbah","11-04-2017","129.7","269.78"
"Nindooinbah","12-04-2017","129.4","269.11"
"Nindooinbah","13-04-2017","129","268.42"
"Nindooinbah","14-04-2017","128.8","267.83"
"Nindooinbah","15-04-2017","128.4","267.16"
"Nindooinbah","16-04-2017","128","266.21"
"Nindooinbah","17-04-2017","127.7","265.57"
"Nindooinbah","18-04-2017","127.5","265.11"
"Nindooinbah","19-04-2017","127.1","264.44"
"Nindooinbah","20-04-2017","126.8","263.72"
"Nindooinbah","21-04-2017","126.5","263.05"
"Nindooinbah","22-04-2017","126.2","262.43"
"Nindooinbah","23-04-2017","125.8","261.74"
"Nindooinbah","24-04-2017","125.5","261.1"
"Nindooinbah","25-04-2017","125.2","260.43"
"Nindooinbah","26-04-2017","124.9","259.86"
"Nindooinbah","27-04-2017","124.6","259.12"
"Nindooinbah","28-04-2017","124.2","258.37"
"Nindooinbah","29-04-2017","123.9","257.75"
"Nindooinbah","30-04-2017","123.6","257.09"
"Nindooinbah","01-05-2017","123.3","256.39"
"Nindooinbah","02-05-2017","123","255.78"
"Nindooinbah","03-05-2017","122.7","255.18"
"Nindooinbah","04-05-2017","122.4","254.59"
"Nindooinbah","05-05-2017","122.1","254"
"Nindooinbah","06-05-2017","121.8","253.39"
"Nindooinbah","07-05-2017","121.5","252.82"
"Nindooinbah","08-05-2017","121.3","252.2"
"Nindooinbah","09-05-2017","121","251.69"
"Nindooinbah","10-05-2017","120.7","251.12"
"Nindooinbah","11-05-2017","120.4","250.48"
"Nindooinbah","12-05-2017","120.2","249.94"
"Nindooinbah","13-05-2017","119.9","249.35"
"Nindooinbah","14-05-2017","119.6","248.83"
"Nindooinbah","15-05-2017","119.4","248.29"
"Nindooinbah","16-05-2017","119.1","247.67"
"Nindooinbah","17-05-2017","118.8","247.13"
"Nindooinbah","18-05-2017","118.5","246.54"
"Nindooinbah","19-05-2017","118.5","246.51"
"Nindooinbah","20-05-2017","118.4","246.2"
"Nindooinbah","21-05-2017","118.1","245.6"
"Nindooinbah","22-05-2017","117.9","245.17"
"Nindooinbah","23-05-2017","117.6","244.57"
"Nindooinbah","24-05-2017","117.3","244.03"
"Nindooinbah","25-05-2017","117","243.44"
"Nindooinbah","26-05-2017","116.8","242.84"
"Nindooinbah","27-05-2017","116.5","242.28"
"Nindooinbah","28-05-2017","116.2","241.71"
"Nindooinbah","29-05-2017","115.9","241.12"
"Nindooinbah","30-05-2017","115.6","240.5"
"Nindooinbah","31-05-2017","115.3","239.88"
"Nindooinbah","01-06-2017","115","239.26"
"Nindooinbah","02-06-2017","114.7","238.61"
"Nindooinbah","03-06-2017","114.4","238.05"
"Nindooinbah","04-06-2017","114.2","237.45"
"Nindooinbah","05-06-2017","113.9","236.89"
"Nindooinbah","06-06-2017","113.6","236.29"
"Nindooinbah","07-06-2017","113.3","235.67"
"Nindooinbah","08-06-2017","113","235.03"
"Nindooinbah","09-06-2017","112.7","234.49"
"Nindooinbah","10-06-2017","112.5","234.02"
"Nindooinbah","11-06-2017","112.5","234.07"
"Nindooinbah","12-06-2017","112.4","233.71"
"Nindooinbah","13-06-2017","112.3","233.58"
"Nindooinbah","14-06-2017","112","233.06"
"Nindooinbah","15-06-2017","111.8","232.47"
"Nindooinbah","16-06-2017","111.5","231.96"
"Nindooinbah","17-06-2017","111.3","231.49"
"Nindooinbah","18-06-2017","111","230.98"
"Nindooinbah","19-06-2017","110.8","230.41"
"Nindooinbah","20-06-2017","110.5","229.89"
"Nindooinbah","21-06-2017","110.2","229.25"
"Nindooinbah","22-06-2017","110","228.76"
"Nindooinbah","23-06-2017","109.7","228.21"
"Nindooinbah","24-06-2017","109.4","227.65"
"Nindooinbah","25-06-2017","109.2","227.11"
"Nindooinbah","26-06-2017","108.9","226.54"
"Nindooinbah","27-06-2017","108.7","226.05"
"Nindooinbah","28-06-2017","108.4","225.56"
"Nindooinbah","29-06-2017","108.2","224.99"
"Nindooinbah","30-06-2017","108.1","224.81"
"Nindooinbah","01-07-2017","107.8","224.29"
"Nindooinbah","02-07-2017","107.6","223.72"
"Nindooinbah","03-07-2017","107.3","223.11"
"Nindooinbah","04-07-2017","107","222.59"
"Nindooinbah","05-07-2017","106.8","222.05"
"Nindooinbah","06-07-2017","106.5","221.48"
"Nindooinbah","07-07-2017","106.4","221.27"
"Nindooinbah","08-07-2017","106.1","220.73"
"Nindooinbah","09-07-2017","105.8","220.11"
"Nindooinbah","10-07-2017","105.6","219.55"
"Nindooinbah","11-07-2017","105.2","218.9"
"Nindooinbah","12-07-2017","104.9","218.28"
"Nindooinbah","13-07-2017","104.7","217.69"
"Nindooinbah","14-07-2017","104.3","217.02"
"Nindooinbah","15-07-2017","104.1","216.58"
