Name,Date,Last Observation (%),Last Observation (ML)
"SEQ Water Grid","04-03-2017","70.9","1562083.85"
"SEQ Water Grid","05-03-2017","70.9","1562306.1500000001"
"SEQ Water Grid","06-03-2017","70.8","1560544.5599999998"
"SEQ Water Grid","07-03-2017","70.7","1557157.48"
"SEQ Water Grid","08-03-2017","70.6","1554735.7000000002"
"SEQ Water Grid","09-03-2017","70.5","1552058.5399999998"
"SEQ Water Grid","10-03-2017","70.4","1550411.6000000003"
"SEQ Water Grid","11-03-2017","70.3","1548306.61"
"SEQ Water Grid","12-03-2017","70.3","1548512.4100000001"
"SEQ Water Grid","13-03-2017","70.2","1547389.3399999999"
"SEQ Water Grid","14-03-2017","70.7","1557291.72"
"SEQ Water Grid","15-03-2017","70.6","1555592.05"
"SEQ Water Grid","16-03-2017","70.9","1560659.7999999998"
"SEQ Water Grid","17-03-2017","70.7","1556764.18"
"SEQ Water Grid","18-03-2017","70.9","1561669.3199999998"
"SEQ Water Grid","19-03-2017","71","1563634.6099999999"
"SEQ Water Grid","20-03-2017","71.4","1572348.4200000002"
"SEQ Water Grid","21-03-2017","71.5","1574902.2000000002"
"SEQ Water Grid","22-03-2017","71.6","1577234.27"
"SEQ Water Grid","23-03-2017","71.6","1576950.6399999997"
"SEQ Water Grid","24-03-2017","71.6","1577349.0599999998"
"SEQ Water Grid","25-03-2017","71.7","1579500.7999999998"
"SEQ Water Grid","26-03-2017","71.6","1577799.3599999999"
"SEQ Water Grid","27-03-2017","71.6","1576036.96"
"SEQ Water Grid","28-03-2017","71.4","1573744.01"
"SEQ Water Grid","29-03-2017","71.6","1576356.3200000003"
"SEQ Water Grid","30-03-2017","76.2","1678047.6199999999"
"SEQ Water Grid","31-03-2017","78.1","1721202.9000000001"
"SEQ Water Grid","01-04-2017","78.8","1734831.2999999998"
"SEQ Water Grid","02-04-2017","78.8","1736771.4200000002"
"SEQ Water Grid","03-04-2017","78.8","1735686.0899999999"
"SEQ Water Grid","04-04-2017","78.8","1736044.2499999998"
"SEQ Water Grid","05-04-2017","78.8","1735680.86"
"SEQ Water Grid","06-04-2017","78.7","1733747.6099999999"
"SEQ Water Grid","07-04-2017","78.7","1732834.1199999999"
"SEQ Water Grid","08-04-2017","78.6","1731969.92"
"SEQ Water Grid","09-04-2017","78.7","1732687.05"
"SEQ Water Grid","10-04-2017","78.5","1729591.7599999998"
"SEQ Water Grid","11-04-2017","78.5","1728638.1900000002"
"SEQ Water Grid","12-04-2017","78.5","1728195.27"
"SEQ Water Grid","13-04-2017","78.4","1727238.4300000002"
"SEQ Water Grid","14-04-2017","78.4","1726323.99"
"SEQ Water Grid","15-04-2017","78.3","1725142.7199999997"
"SEQ Water Grid","16-04-2017","78.3","1724574.66"
"SEQ Water Grid","17-04-2017","78.3","1723844.44"
"SEQ Water Grid","18-04-2017","78.2","1722303.2"
"SEQ Water Grid","19-04-2017","78.1","1720911.9"
"SEQ Water Grid","20-04-2017","78","1718924.7400000002"
"SEQ Water Grid","21-04-2017","78","1718522.9100000001"
"SEQ Water Grid","22-04-2017","78","1717544.9200000002"
"SEQ Water Grid","23-04-2017","77.9","1716610.16"
"SEQ Water Grid","24-04-2017","77.9","1716012.09"
"SEQ Water Grid","25-04-2017","77.9","1715049.12"
"SEQ Water Grid","26-04-2017","77.8","1714500.51"
"SEQ Water Grid","27-04-2017","77.8","1713705.9899999998"
"SEQ Water Grid","28-04-2017","77.7","1712261.88"
"SEQ Water Grid","29-04-2017","77.7","1711311.83"
"SEQ Water Grid","30-04-2017","77.6","1709986.06"
"SEQ Water Grid","01-05-2017","77.6","1708943.1899999997"
"SEQ Water Grid","02-05-2017","77.6","1708275.9900000002"
"SEQ Water Grid","03-05-2017","77.5","1706647.9099999997"
"SEQ Water Grid","04-05-2017","77.4","1705432.12"
"SEQ Water Grid","05-05-2017","77.4","1704416.5299999998"
"SEQ Water Grid","06-05-2017","77.3","1702479"
"SEQ Water Grid","07-05-2017","77.2","1701363.5499999998"
"SEQ Water Grid","08-05-2017","77.2","1699946.45"
"SEQ Water Grid","09-05-2017","77.2","1700215.1900000002"
"SEQ Water Grid","10-05-2017","77.2","1700009.0500000003"
"SEQ Water Grid","11-05-2017","77.3","1702171.5800000003"
"SEQ Water Grid","12-05-2017","77.2","1699765.5499999998"
"SEQ Water Grid","13-05-2017","77.1","1697590.79"
"SEQ Water Grid","14-05-2017","77.1","1697667.15"
