Name,Date,Last Observation (%),Last Observation (ML)
"Somerset","04-03-2017","74.5","283050.73"
"Somerset","05-03-2017","74.5","282958.84"
"Somerset","06-03-2017","74.5","282868.69"
"Somerset","07-03-2017","74.5","282835.44"
"Somerset","08-03-2017","74.3","282237.43"
"Somerset","09-03-2017","74.3","282237.43"
"Somerset","10-03-2017","74.2","281971.96"
"Somerset","11-03-2017","74.2","281691.92"
"Somerset","12-03-2017","74.2","281673.55"
"Somerset","13-03-2017","74.1","281574.13"
"Somerset","14-03-2017","74.1","281541"
"Somerset","15-03-2017","74.2","281839.3"
"Somerset","16-03-2017","74.3","282111.92"
"Somerset","17-03-2017","74.3","282071.49"
"Somerset","18-03-2017","74.3","282172.01"
"Somerset","19-03-2017","74.2","281971.96"
"Somerset","20-03-2017","74.3","282403.45"
"Somerset","21-03-2017","74.4","282569.54"
"Somerset","22-03-2017","74.5","282835.44"
"Somerset","23-03-2017","74.5","282901.95"
"Somerset","24-03-2017","74.5","282835.44"
"Somerset","25-03-2017","74.4","282669.23"
"Somerset","26-03-2017","74.4","282735.71"
"Somerset","27-03-2017","74.4","282436.66"
"Somerset","28-03-2017","74.3","282370.24"
"Somerset","29-03-2017","72.1","273986.21"
"Somerset","30-03-2017","72.1","273792.63"
"Somerset","31-03-2017","72.4","274891.18"
"Somerset","01-04-2017","75.1","285169.66"
"Somerset","02-04-2017","75.8","287986.74"
"Somerset","03-04-2017","76","288591.21"
"Somerset","04-04-2017","76.1","289062.16"
"Somerset","05-04-2017","76.2","289264.63"
"Somerset","06-04-2017","76.2","289467.21"
"Somerset","07-04-2017","76.2","289602.33"
"Somerset","08-04-2017","76.2","289602.38"
"Somerset","09-04-2017","76.3","289906.52"
"Somerset","10-04-2017","76.3","289703.82"
"Somerset","11-04-2017","76.3","289872.82"
"Somerset","12-04-2017","76.3","289872.87"
"Somerset","13-04-2017","76.3","289839.12"
"Somerset","14-04-2017","76.3","289839.17"
"Somerset","15-04-2017","76.3","289805.42"
"Somerset","16-04-2017","76.3","289805.47"
"Somerset","17-04-2017","76.3","289771.73"
"Somerset","18-04-2017","76.3","289670.43"
"Somerset","19-04-2017","76.2","289535.38"
"Somerset","20-04-2017","76.1","289231.62"
"Somerset","21-04-2017","76.2","289332.92"
"Somerset","22-04-2017","76.2","289299.22"
"Somerset","23-04-2017","76.1","289198.03"
"Somerset","24-04-2017","76.2","289265.57"
"Somerset","25-04-2017","76.2","289299.36"
"Somerset","26-04-2017","76.1","289164.44"
"Somerset","27-04-2017","76.1","289029.56"
"Somerset","28-04-2017","76.1","288928.44"
"Somerset","29-04-2017","76","288726.24"
"Somerset","30-04-2017","76","288726.28"
"Somerset","01-05-2017","76","288658.94"
"Somerset","02-05-2017","76","288658.99"
"Somerset","03-05-2017","75.9","288456.91"
"Somerset","04-05-2017","75.9","288355.93"
"Somerset","05-05-2017","75.9","288254.98"
"Somerset","06-05-2017","75.8","288086.75"
"Somerset","07-05-2017","75.8","288053.15"
"Somerset","08-05-2017","75.8","287851.36"
"Somerset","09-05-2017","75.9","288255.18"
"Somerset","10-05-2017","75.9","288288.89"
"Somerset","11-05-2017","76","288524.67"
"Somerset","12-05-2017","75.9","288423.67"
"Somerset","13-05-2017","76","288625.83"
"Somerset","14-05-2017","76.1","288929.23"
"Somerset","15-05-2017","76","288760.72"
"Somerset","16-05-2017","76","288794.48"
"Somerset","17-05-2017","76","288693.42"
"Somerset","18-05-2017","76","288659.77"
"Somerset","19-05-2017","76","288862.05"
"Somerset","20-05-2017","76.1","289064.42"
"Somerset","21-05-2017","76.1","289098.2"
"Somerset","22-05-2017","76.1","289233.2"
"Somerset","23-05-2017","76.2","289300.74"
"Somerset","24-05-2017","76.2","289402.05"
"Somerset","25-05-2017","76.2","289334.59"
"Somerset","26-05-2017","76.2","289334.64"
"Somerset","27-05-2017","76.2","289300.94"
"Somerset","28-05-2017","76.2","289368.49"
"Somerset","29-05-2017","76.2","289469.82"
"Somerset","30-05-2017","76.2","289334.84"
"Somerset","31-05-2017","76.1","289098.69"
"Somerset","01-06-2017","76.1","289065.01"
"Somerset","02-06-2017","76.1","289031.33"
"Somerset","03-06-2017","76","288829.07"
"Somerset","04-06-2017","76","288795.41"
"Somerset","05-06-2017","76","288761.76"
"Somerset","06-06-2017","76","288627.01"
"Somerset","07-06-2017","76","288525.99"
"Somerset","08-06-2017","75.9","288458.68"
"Somerset","09-06-2017","75.9","288290.36"
"Somerset","10-06-2017","75.9","288290.41"
"Somerset","11-06-2017","75.9","288391.47"
"Somerset","12-06-2017","75.9","288189.52"
"Somerset","13-06-2017","75.9","288324.24"
"Somerset","14-06-2017","76.2","289268.08"
"Somerset","15-06-2017","76.3","289842.23"
"Somerset","16-06-2017","76.4","290146.55"
"Somerset","17-06-2017","76.5","290417.27"
"Somerset","18-06-2017","76.5","290620.44"
"Somerset","19-06-2017","76.4","290282.01"
"Somerset","20-06-2017","76.5","290485.11"
"Somerset","21-06-2017","76.6","290789.95"
"Somerset","22-06-2017","76.6","290857.76"
"Somerset","23-06-2017","76.6","290891.7"
"Somerset","24-06-2017","76.6","290891.75"
"Somerset","25-06-2017","76.6","290891.8"
"Somerset","26-06-2017","76.6","290959.63"
"Somerset","27-06-2017","76.6","290925.78"
"Somerset","28-06-2017","76.6","291027.52"
"Somerset","29-06-2017","76.6","290993.67"
"Somerset","30-06-2017","76.6","291027.62"
"Somerset","01-07-2017","76.6","290925.98"
"Somerset","02-07-2017","76.6","290892.14"
"Somerset","03-07-2017","76.6","290959.97"
"Somerset","04-07-2017","76.6","290980.4"
"Somerset","05-07-2017","76.6","291027.53"
"Somerset","06-07-2017","76.6","290960.12"
"Somerset","07-07-2017","76.7","291468.94"
"Somerset","08-07-2017","76.7","291197.56"
"Somerset","09-07-2017","76.7","291265.45"
"Somerset","10-07-2017","76.6","291129.83"
"Somerset","11-07-2017","76.7","291197.71"
