Name,Date,Last Observation (%),Last Observation (ML)
"Wappa","04-03-2017","83.7","3929.2"
"Wappa","05-03-2017","83.6","3924.16"
"Wappa","06-03-2017","83.3","3912.4"
"Wappa","07-03-2017","83.1","3900.64"
"Wappa","08-03-2017","82.8","3887.2"
"Wappa","09-03-2017","82.5","3874.88"
"Wappa","10-03-2017","82.3","3862"
"Wappa","11-03-2017","82","3848"
"Wappa","12-03-2017","81.8","3840.16"
"Wappa","13-03-2017","81.5","3827.84"
"Wappa","14-03-2017","84.7","3977.92"
"Wappa","15-03-2017","87.3","4099.44"
"Wappa","16-03-2017","89.7","4212.01"
"Wappa","17-03-2017","91.9","4312.76"
"Wappa","18-03-2017","92.3","4331.8"
"Wappa","19-03-2017","92.6","4346.36"
"Wappa","20-03-2017","95","4459.67"
"Wappa","21-03-2017","98.1","4606.8"
"Wappa","22-03-2017","101.7","4774.16"
"Wappa","23-03-2017","101.1","4747.25"
"Wappa","24-03-2017","101.3","4753.19"
"Wappa","25-03-2017","101.4","4762.05"
"Wappa","26-03-2017","101.3","4753.19"
"Wappa","27-03-2017","101","4741.39"
"Wappa","28-03-2017","100.8","4729.87"
"Wappa","29-03-2017","101.2","4751.02"
"Wappa","30-03-2017","106.6","5002.01"
"Wappa","31-03-2017","101.6","4770.05"
"Wappa","01-04-2017","101","4741.92"
"Wappa","02-04-2017","100.7","4725.57"
"Wappa","03-04-2017","100.5","4719.48"
"Wappa","04-04-2017","100.4","4714.27"
"Wappa","05-04-2017","100.4","4711.65"
"Wappa","06-04-2017","100.3","4707.44"
"Wappa","07-04-2017","100.2","4703.72"
"Wappa","08-04-2017","100.1","4699.97"
"Wappa","09-04-2017","100.1","4700.51"
"Wappa","10-04-2017","100.1","4697.27"
"Wappa","11-04-2017","100.1","4697.27"
"Wappa","12-04-2017","100.1","4696.73"
"Wappa","13-04-2017","100","4694.55"
"Wappa","14-04-2017","100","4694.55"
"Wappa","15-04-2017","100","4696.19"
"Wappa","16-04-2017","100.1","4697.27"
"Wappa","17-04-2017","100.1","4696.73"
"Wappa","18-04-2017","100.1","4697.81"
"Wappa","19-04-2017","100.1","4697.27"
"Wappa","20-04-2017","100.2","4703.72"
"Wappa","21-04-2017","100.3","4706.38"
"Wappa","22-04-2017","100.2","4705.32"
"Wappa","23-04-2017","100.2","4702.66"
"Wappa","24-04-2017","100.2","4701.59"
"Wappa","25-04-2017","100.2","4701.59"
"Wappa","26-04-2017","100.2","4701.59"
"Wappa","27-04-2017","100.1","4700.51"
"Wappa","28-04-2017","100.1","4697.81"
"Wappa","29-04-2017","100.1","4697.27"
"Wappa","30-04-2017","100.1","4696.73"
"Wappa","01-05-2017","100.1","4696.73"
"Wappa","02-05-2017","100","4696.19"
"Wappa","03-05-2017","100","4695.09"
"Wappa","04-05-2017","100","4695.64"
"Wappa","05-05-2017","100","4695.64"
"Wappa","06-05-2017","99.9","4690.14"
"Wappa","07-05-2017","99.7","4681.16"
"Wappa","08-05-2017","99.6","4676.05"
"Wappa","09-05-2017","99.9","4690.14"
"Wappa","10-05-2017","100.3","4706.38"
"Wappa","11-05-2017","100.4","4710.6"
"Wappa","12-05-2017","100.3","4706.91"
"Wappa","13-05-2017","100.3","4708.5"
"Wappa","14-05-2017","100.3","4707.44"
"Wappa","15-05-2017","100.3","4705.85"
"Wappa","16-05-2017","100.2","4705.32"
"Wappa","17-05-2017","100.3","4706.14"
"Wappa","18-05-2017","100.3","4709.55"
"Wappa","19-05-2017","100.6","4720.52"
"Wappa","20-05-2017","100.6","4720.52"
"Wappa","21-05-2017","100.5","4717.92"
"Wappa","22-05-2017","100.4","4714.27"
"Wappa","23-05-2017","100.4","4711.65"
"Wappa","24-05-2017","100.3","4709.02"
"Wappa","25-05-2017","100.3","4707.97"
"Wappa","26-05-2017","100.3","4709.02"
"Wappa","27-05-2017","100.3","4708.88"
"Wappa","28-05-2017","100.3","4708.95"
"Wappa","29-05-2017","100.3","4709.02"
"Wappa","30-05-2017","100.3","4709.48"
"Wappa","31-05-2017","100.3","4708.35"
"Wappa","01-06-2017","100.3","4707.23"
"Wappa","02-06-2017","100.3","4707.16"
"Wappa","03-06-2017","100.3","4707.09"
"Wappa","04-06-2017","100.3","4706.49"
"Wappa","05-06-2017","100.3","4706.22"
"Wappa","06-06-2017","100.2","4704.22"
"Wappa","07-06-2017","100.2","4704.15"
"Wappa","08-06-2017","100.2","4702.77"
