Name,Date,Last Observation (%),Last Observation (ML)
"Wivenhoe","04-03-2017","69.1","805549.25"
"Wivenhoe","05-03-2017","69.1","805708.33"
"Wivenhoe","06-03-2017","69","804436.4"
"Wivenhoe","07-03-2017","68.8","801989.35"
"Wivenhoe","08-03-2017","68.7","800868.05"
"Wivenhoe","09-03-2017","68.6","798812.37"
"Wivenhoe","10-03-2017","68.5","798022.91"
"Wivenhoe","11-03-2017","68.4","796839.93"
"Wivenhoe","12-03-2017","68.4","797470.67"
"Wivenhoe","13-03-2017","68.4","796839.93"
"Wivenhoe","14-03-2017","69.1","805233.09"
"Wivenhoe","15-03-2017","68.7","800235.06"
"Wivenhoe","16-03-2017","69","803635.51"
"Wivenhoe","17-03-2017","68.6","799523.46"
"Wivenhoe","18-03-2017","69","804198.09"
"Wivenhoe","19-03-2017","68.9","802610.92"
"Wivenhoe","20-03-2017","68.5","798733.4"
"Wivenhoe","21-03-2017","68.2","795107.55"
"Wivenhoe","22-03-2017","68.2","794321.15"
"Wivenhoe","23-03-2017","68.1","793928.19"
"Wivenhoe","24-03-2017","68.1","793849.62"
"Wivenhoe","25-03-2017","68.3","796052.09"
"Wivenhoe","26-03-2017","68.2","794399.76"
"Wivenhoe","27-03-2017","68.1","793142.77"
"Wivenhoe","28-03-2017","67.9","791103.69"
"Wivenhoe","29-03-2017","68.8","801422.26"
"Wivenhoe","30-03-2017","72.4","843910.43"
"Wivenhoe","31-03-2017","75","874483.93"
"Wivenhoe","01-04-2017","75.3","877044.61"
"Wivenhoe","02-04-2017","75.2","876125.06"
"Wivenhoe","03-04-2017","75.1","874654.46"
"Wivenhoe","04-04-2017","75.1","874825.01"
"Wivenhoe","05-04-2017","75.1","874533.91"
"Wivenhoe","06-04-2017","74.9","872524.8"
"Wivenhoe","07-04-2017","74.8","871653.65"
"Wivenhoe","08-04-2017","74.7","870994.05"
"Wivenhoe","09-04-2017","74.8","871589.08"
"Wivenhoe","10-04-2017","74.6","868871.64"
"Wivenhoe","11-04-2017","74.5","868264.61"
"Wivenhoe","12-04-2017","74.5","868108.61"
"Wivenhoe","13-04-2017","74.4","867430.84"
"Wivenhoe","14-04-2017","74.4","866753.5"
"Wivenhoe","15-04-2017","74.3","865907.45"
"Wivenhoe","16-04-2017","74.3","865569.22"
"Wivenhoe","17-04-2017","74.2","865160.12"
"Wivenhoe","18-04-2017","74.2","864048.58"
"Wivenhoe","19-04-2017","74.1","863120.4"
"Wivenhoe","20-04-2017","73.9","861687.62"
"Wivenhoe","21-04-2017","73.9","861434.99"
"Wivenhoe","22-04-2017","73.9","860593.34"
"Wivenhoe","23-04-2017","73.8","860004.61"
"Wivenhoe","24-04-2017","73.8","859584.29"
"Wivenhoe","25-04-2017","73.7","858828.18"
"Wivenhoe","26-04-2017","73.7","858576.27"
"Wivenhoe","27-04-2017","73.7","858408.37"
"Wivenhoe","28-04-2017","73.6","857401.54"
"Wivenhoe","29-04-2017","73.5","856982.34"
"Wivenhoe","30-04-2017","73.5","855893.25"
"Wivenhoe","01-05-2017","73.4","855139.97"
"Wivenhoe","02-05-2017","73.4","854715"
"Wivenhoe","03-05-2017","73.3","853574.83"
"Wivenhoe","04-05-2017","73.2","852728.65"
"Wivenhoe","05-05-2017","73.1","852132.73"
"Wivenhoe","06-05-2017","73","850632.59"
"Wivenhoe","07-05-2017","72.9","849883.39"
"Wivenhoe","08-05-2017","72.8","848802.23"
"Wivenhoe","09-05-2017","72.8","848636"
"Wivenhoe","10-05-2017","72.8","848303.63"
"Wivenhoe","11-05-2017","73","850382.79"
"Wivenhoe","12-05-2017","72.8","848303.63"
"Wivenhoe","13-05-2017","72.6","846063.12"
"Wivenhoe","14-05-2017","72.6","845980.23"
"Wivenhoe","15-05-2017","72.6","845400.25"
"Wivenhoe","16-05-2017","72.5","844737.83"
"Wivenhoe","17-05-2017","72.4","843827.73"
"Wivenhoe","18-05-2017","72.4","843414.33"
"Wivenhoe","19-05-2017","72.3","843001.11"
"Wivenhoe","20-05-2017","72.3","842918.48"
"Wivenhoe","21-05-2017","72.3","842010.08"
"Wivenhoe","22-05-2017","72.2","841762.48"
"Wivenhoe","23-05-2017","72.2","841349.95"
"Wivenhoe","24-05-2017","72.2","840937.59"
"Wivenhoe","25-05-2017","72.1","840195.79"
"Wivenhoe","26-05-2017","72.1","839619.22"
"Wivenhoe","27-05-2017","72","838796.13"
"Wivenhoe","28-05-2017","71.9","838138.16"
"Wivenhoe","29-05-2017","71.9","837481.7"
"Wivenhoe","30-05-2017","71.8","836823.53"
"Wivenhoe","31-05-2017","71.7","835838.71"
"Wivenhoe","01-06-2017","71.7","834936.83"
"Wivenhoe","02-06-2017","71.6","834281.43"
"Wivenhoe","03-06-2017","71.5","833708.31"
"Wivenhoe","04-06-2017","71.5","833053.72"
"Wivenhoe","05-06-2017","71.4","832481.31"
"Wivenhoe","06-06-2017","71.4","831582.49"
"Wivenhoe","07-06-2017","71.3","830847.69"
"Wivenhoe","08-06-2017","71.2","830195"
"Wivenhoe","09-06-2017","71.2","829705.77"
"Wivenhoe","10-06-2017","71.1","828890.92"
"Wivenhoe","11-06-2017","71.2","829216.78"
"Wivenhoe","12-06-2017","71.2","829112.17"
"Wivenhoe","13-06-2017","71.2","829542.75"
"Wivenhoe","14-06-2017","71.1","828320.92"
"Wivenhoe","15-06-2017","71.1","828239.52"
"Wivenhoe","16-06-2017","71","827751.26"
"Wivenhoe","17-06-2017","71","827588.55"
"Wivenhoe","18-06-2017","71","827344.55"
"Wivenhoe","19-06-2017","70.9","825881.81"
"Wivenhoe","20-06-2017","70.9","825963.02"
"Wivenhoe","21-06-2017","70.9","825638.23"
"Wivenhoe","22-06-2017","70.8","825151.25"
"Wivenhoe","23-06-2017","70.8","824502.32"
"Wivenhoe","24-06-2017","70.7","823691.76"
"Wivenhoe","25-06-2017","70.6","822860.53"
"Wivenhoe","26-06-2017","70.6","822477.17"
"Wivenhoe","27-06-2017","70.5","821910.88"
"Wivenhoe","28-06-2017","70.5","821668.28"
"Wivenhoe","29-06-2017","70.5","821273.28"
"Wivenhoe","30-06-2017","70.4","820536.94"
"Wivenhoe","01-07-2017","70.4","820133.21"
"Wivenhoe","02-07-2017","70.3","819648.94"
"Wivenhoe","03-07-2017","70.3","819164.92"
"Wivenhoe","04-07-2017","70.3","818681.13"
"Wivenhoe","05-07-2017","70.2","818197.59"
"Wivenhoe","06-07-2017","70.2","817633.75"
"Wivenhoe","07-07-2017","70.2","817604.15"
"Wivenhoe","08-07-2017","70.1","817070.23"
"Wivenhoe","09-07-2017","70.1","816828.82"
"Wivenhoe","10-07-2017","70.1","816265.77"
"Wivenhoe","11-07-2017","70","815703.04"
"Wivenhoe","12-07-2017","70","815220.95"
"Wivenhoe","13-07-2017","69.9","814498.27"
"Wivenhoe","14-07-2017","69.9","814097"
"Wivenhoe","15-07-2017","69.8","813776.11"
"Wivenhoe","16-07-2017","69.8","813455.32"
"Wivenhoe","17-07-2017","69.8","812974.34"
"Wivenhoe","18-07-2017","69.8","812974.34"
"Wivenhoe","19-07-2017","69.7","812275.97"
"Wivenhoe","20-07-2017","69.6","811212.75"
"Wivenhoe","21-07-2017","69.5","810253.22"
"Wivenhoe","22-07-2017","69.5","809933.59"
"Wivenhoe","23-07-2017","69.5","809374.48"
"Wivenhoe","24-07-2017","69.4","808975.32"
"Wivenhoe","25-07-2017","69.4","808257.23"
"Wivenhoe","26-07-2017","69.3","807300.61"
"Wivenhoe","27-07-2017","69.2","806925.91"
"Wivenhoe","28-07-2017","69.2","806504.14"
"Wivenhoe","29-07-2017","69.1","805469.72"
"Wivenhoe","30-07-2017","69","804356.96"
"Wivenhoe","31-07-2017","68.9","803404.18"
"Wivenhoe","01-08-2017","68.9","802690.22"
"Wivenhoe","02-08-2017","68.8","802214.54"
"Wivenhoe","03-08-2017","68.8","802135.28"
"Wivenhoe","04-08-2017","68.8","801659.87"
"Wivenhoe","05-08-2017","68.7","801026.36"
"Wivenhoe","06-08-2017","68.8","801580.66"
"Wivenhoe","07-08-2017","68.8","801501.46"
"Wivenhoe","08-08-2017","68.7","800788.91"
"Wivenhoe","09-08-2017","68.7","800155.97"
"Wivenhoe","10-08-2017","68.4","796761.11"
"Wivenhoe","11-08-2017","68.2","794714.27"
"Wivenhoe","12-08-2017","68.2","794557"
"Wivenhoe","13-08-2017","68.1","793535.4"
"Wivenhoe","14-08-2017","68.1","793142.77"
"Wivenhoe","15-08-2017","68","792593.36"
"Wivenhoe","16-08-2017","68","792201.12"
"Wivenhoe","17-08-2017","67.9","791260.39"
"Wivenhoe","18-08-2017","67.9","790633.75"
"Wivenhoe","19-08-2017","67.8","789459.91"
"Wivenhoe","20-08-2017","67.7","788365.61"
"Wivenhoe","21-08-2017","67.6","787818.92"
"Wivenhoe","22-08-2017","67.6","787194.52"
"Wivenhoe","23-08-2017","67.5","786414.57"
"Wivenhoe","24-08-2017","67.5","786759.02"
"Wivenhoe","25-08-2017","67.5","786258.66"
"Wivenhoe","26-08-2017","67.4","785791.07"
"Wivenhoe","27-08-2017","67.4","785323.7"
"Wivenhoe","28-08-2017","67.4","785710.04"
"Wivenhoe","29-08-2017","67.5","786258.66"
"Wivenhoe","30-08-2017","67.4","784923.15"
"Wivenhoe","31-08-2017","67.2","782524.15"
"Wivenhoe","01-09-2017","67.1","781825.51"
"Wivenhoe","02-09-2017","67","781282.46"
"Wivenhoe","03-09-2017","67","780810.07"
"Wivenhoe","04-09-2017","67","780621.85"
"Wivenhoe","05-09-2017","66.7","776980.67"
"Wivenhoe","06-09-2017","66.5","774480.53"
"Wivenhoe","07-09-2017","66.4","773556.53"
"Wivenhoe","08-09-2017","66.3","773017.92"
"Wivenhoe","09-09-2017","66.2","771787.9"
"Wivenhoe","10-09-2017","66.2","771250.24"
"Wivenhoe","11-09-2017","66.1","770636.13"
"Wivenhoe","12-09-2017","66.1","770099.09"
"Wivenhoe","13-09-2017","66.1","769771.6"
"Wivenhoe","14-09-2017","65.9","767703.6"
"Wivenhoe","15-09-2017","65.7","765889.75"
"Wivenhoe","16-09-2017","65.7","765007.59"
"Wivenhoe","17-09-2017","65.6","764058.68"
"Wivenhoe","18-09-2017","65.5","763601.47"
"Wivenhoe","19-09-2017","65.5","763128.43"
"Wivenhoe","20-09-2017","65.4","761850.85"
"Wivenhoe","21-09-2017","65.3","761394.7"
"Wivenhoe","22-09-2017","65.2","760304.64"
"Wivenhoe","23-09-2017","65.2","759951.71"
"Wivenhoe","24-09-2017","65.2","759724.07"
"Wivenhoe","25-09-2017","65.3","760331.23"
"Wivenhoe","26-09-2017","65.4","761850.85"
